closure_wave,priority,area,service_group,canonical_disposition,python_runtime_resolution,java_cpp_binding_resolution,hosted_fedpro_resolution,pitch_202x_resolution,backend_resolution_reference,row_count,delta_breakdown,closure_goal,acceptance_gate
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Declaration management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,12,carry-forward=12,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,1,carry-forward=1,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,24,carry-forward=24,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,2,carry-forward=2,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,10,carry-forward=10,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,15,carry-forward=15,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Ownership management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,18,carry-forward=18,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,22,carry-forward=22,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,6,carry-forward=6,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Time management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,23,carry-forward=23,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema enumerations and value domains,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,15,verification=15,Keep the covered row set aligned with recorded parser/validator fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema identity and reference constraints,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,14,verification=14,Keep the covered row set aligned with recorded parser/validator fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Array data type table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,modified=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Attribute table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,1,new=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Data type tables,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,4,modified=3; new=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Dimension table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,6,modified=3; new=3,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Directed interaction table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,2,modified=2,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Interaction class structure table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,3,modified=3,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object class structure table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,4,modified=3; new=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object model identification table,covered,"parser/validator/import-export closure, not backend-runtime ownership",n/a: standard bindings are not the owning proof surface for this OMT bucket,n/a: hosted FedPro route is not the owning proof surface for this OMT bucket,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/omt.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,5,modified=4; new=1,Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries.,"Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
