id,area,service_group,service_or_check,clause,page,delta_type,harmonization_disposition,priority,closure_wave,known_seed_slice,official_java_surface,official_cpp_surface,official_fedpro_surface,unsupported_boundary_candidate,suggested_repo_evidence_path,closure_task,disposition_rationale
HLA2025-FI-SVC-024,Federate Interface service catalog,Federation management,Query Federation Save Status,4.25,71,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-025,Federate Interface service catalog,Federation management,Federation Save Status Response †,4.26,72,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-026,Federate Interface service catalog,Federation management,Request Federation Restore,4.27,72,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-027,Federate Interface service catalog,Federation management,Confirm Federation Restoration Request †,4.28,73,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-028,Federate Interface service catalog,Federation management,Federation Restore Begun †,4.29,74,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-029,Federate Interface service catalog,Federation management,Initiate Federate Restore †,4.30,75,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-030,Federate Interface service catalog,Federation management,Federate Restore Complete,4.31,76,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-031,Federate Interface service catalog,Federation management,Federation Restored †,4.32,76,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-032,Federate Interface service catalog,Federation management,Abort Federation Restore,4.33,77,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-033,Federate Interface service catalog,Federation management,Query Federation Restore Status,4.34,78,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-034,Federate Interface service catalog,Federation management,Federation Restore Status Response †,4.35,79,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-035,Federate Interface service catalog,Declaration management,Publish Object Class Attributes,5.2,90,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-publication-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-publication-services.
HLA2025-FI-SVC-036,Federate Interface service catalog,Declaration management,Unpublish Object Class Attributes,5.3,91,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-publication-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-publication-services.
HLA2025-FI-SVC-037,Federate Interface service catalog,Declaration management,Publish Interaction Class,5.4,93,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-publication-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-publication-services.
HLA2025-FI-SVC-038,Federate Interface service catalog,Declaration management,Unpublish Interaction Class,5.5,93,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-publication-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-publication-services.
HLA2025-FI-SVC-039,Federate Interface service catalog,Declaration management,Publish Object Class Directed Interactions,5.6,94,new,covered,P0,1-fi-service-and-binding-disposition,2025-directed-interaction-boundary,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-directed-interaction-boundary.
HLA2025-FI-SVC-040,Federate Interface service catalog,Declaration management,Unpublish Object Class Directed Interactions,5.7,95,new,covered,P0,1-fi-service-and-binding-disposition,2025-directed-interaction-boundary,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-directed-interaction-boundary.
HLA2025-FI-SVC-041,Federate Interface service catalog,Declaration management,Subscribe Object Class Attributes,5.8,96,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-subscription-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-subscription-services.
HLA2025-FI-SVC-042,Federate Interface service catalog,Declaration management,Unsubscribe Object Class Attributes,5.9,97,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-subscription-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-subscription-services.
HLA2025-FI-SVC-043,Federate Interface service catalog,Declaration management,Subscribe Interaction Class,5.10,99,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-subscription-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-subscription-services.
HLA2025-FI-SVC-044,Federate Interface service catalog,Declaration management,Unsubscribe Interaction Class,5.11,100,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-declaration-subscription-services,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-declaration-subscription-services.
HLA2025-FI-SVC-045,Federate Interface service catalog,Declaration management,Subscribe Object Class Directed Interactions,5.12,101,new,covered,P0,1-fi-service-and-binding-disposition,2025-directed-interaction-boundary,present,present,present,no,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/scenarios/test_object_management_backend_matrix.py; tests/transport/test_grpc_transport_2025.py; packages/hla-rti1516-2025/src/hla/rti1516_2025/rti_ambassador.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-directed-interaction-boundary.
