closure_wave,priority,area,service_group,canonical_disposition,pitch_202x_resolution,pitch_202x_owner_doc,pitch_202x_evidence_packet,pitch_202x_primary_command,pitch_202x_scope_note
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Declaration management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Federation management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Object management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Ownership management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Support services,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Time management,covered,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,Bounded adapter-route comparison only. Current concrete Pitch 202X evidence is limited to the committed micro-certification packet and does not prove clause-complete IEEE 1516.1-2025 vendor conformance.
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema enumerations and value domains,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P0,OMT validator-negative conformance,Schema identity and reference constraints,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Array data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Attribute table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Data type tables,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Dimension table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Directed interaction table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Interaction class structure table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object class structure table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object model identification table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Object model root,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Reference data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Switches table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Time representation table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P1,OMT component-level conformance,Variant record data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Array data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Attribute table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Data type tables,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Dimension table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Enumerated data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Fixed record data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Interaction class structure table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Notes table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object class structure table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object model identification table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Object model root,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Parameter table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Switches table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Synchronization table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Time representation table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Transportation type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Update rate table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,User-supplied tag table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
2-omt-field-and-validator-fixtures,P2,OMT component-level conformance,Variant record data type table,covered,"n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Not a Pitch 202X runtime-ownership bucket. Keep parser and validator closure in the OMT owner docs unless a future vendor-specific parser lane is added.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Data distribution management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Declaration management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Federation management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Object management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Ownership management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Support services,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
3-som-fom-service-usage-crosscheck,P1,SOM/FOM service-usage requirements,Time management,covered,n/a at grouped service-usage level unless a mirrored FI owner artifact explicitly records Pitch proto HLA 4 / 202X support or divergence,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,,,Service-usage rows inherit Pitch 202X relevance only where a mirrored FI owner claim exists; the current micro-certification packet is not a full service-usage conformance packet.
