packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-MOM-11_2_1-OBJ-009,HLA1516.1-MOM-11.2.1-002,IEEE 1516.1-2010 (2010 edition),11.2.1,MOM-NO-RTI-SUBSCRIBE-OBJ,OBJ,The RTI shall not subscribe to standard MOM object classes as an ordinary federate subscriber.,static design review,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_uses_no_hidden_rti_side_subscriptions,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2_1-OBJ-010,HLA1516.1-MOM-11.2.1-003,IEEE 1516.1-2010 (2010 edition),11.2.1,MOM-NO-DIVEST,OBJ,The RTI shall not divest ownership of the standard attributes of its MOM object instances.,ownership negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_object_instances_remain_rti_owned_without_non_rti_attribute_owners,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-011,HLA1516.1-MOM-11.3-001,IEEE 1516.1-2010 (2010 edition),11.3,MOM-INTERACTION-ROLES,INT,"The RTI shall implement MOM interaction roles for requests, reports, adjustments, and service invocations according to the standard MOM interaction hierarchy.",MOM interaction integration test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-012,HLA1516.1-MOM-11.3-003;HLA1516.1-MOM-11.3-004,IEEE 1516.1-2010 (2010 edition),11.3,MOM-REQUEST-REPORT,INT,"When a valid MOM request interaction is received, the RTI shall generate the corresponding MOM report interaction where the standard defines a report response.",request/report integration test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange;tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-013,HLA1516.1-MOM-11.3-002,IEEE 1516.1-2010 (2010 edition),11.3,MOM-ADJUSTMENT,INT,"When a valid MOM adjustment interaction is received, the RTI shall adjust the corresponding MOM reporting or management setting according to the standard semantics.",adjustment interaction test,tests/mom/test_mom_catalog_validation_v012.py::test_strict_mom_rejects_invalid_boolean_payload_and_accepts_valid_service_reporting_adjust,mapped,mom_actions,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3-INT-014,HLA1516.1-MOM-11.3-005,IEEE 1516.1-2010 (2010 edition),11.3,MOM-SERVICE-INVOCATION,INT,"When a valid MOM service interaction requests an HLA service on behalf of a federate and all standard conditions are satisfied, the RTI shall invoke the corresponding service behavior.",service interaction test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_actions,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-OVERVIEW-016,HLA1516.1-MOM-11.3-001;HLA1516.1-MOM-11.3-002;HLA1516.1-MOM-11.3-003;HLA1516.1-MOM-11.3-004;HLA1516.1-MOM-11.3-005;HLA1516.1-MOM-11.3.1-001;HLA1516.1-MOM-11.3.1-002,IEEE 1516.1-2010 (2010 edition),11.3,MOM-INTERACTIONS,OVW,"RTI shall process standard MOM request, adjustment, report, and service interactions according to their role.",design review + integration test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix;tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters;tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_actions,hla_1516_requirements_master_v1_0.csv,"This imported MOM interaction overview row is directly covered by the current request/report, adjust, and service-action evidence."
HLA1516.1-MOM-11_3_1-INT-015,HLA1516.1-MOM-11.3.1-001,IEEE 1516.1-2010 (2010 edition),11.3.1,MOM-LEAF-PUBLISH,INT,The RTI shall publish standard MOM report interactions at leaf interaction-class level where required.,MOM publication static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_3_1-INT-016,HLA1516.1-MOM-11.3.1-002,IEEE 1516.1-2010 (2010 edition),11.3.1,MOM-IGNORE-EXT-PARAMS,INT,The RTI shall ignore nonstandard added parameters in received MOM interactions when processing the standard MOM portion of the interaction.,extension compatibility test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_receive_path_ignores_added_nonstandard_parameters_in_non_strict_mode,mapped,mom_actions,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4-RTI-017,HLA1516.1-MOM-11.4-001;HLA1516.1-MOM-11.4.1-005;HLA1516.1-MOM-11.4.1-006;HLA1516.1-MOM-11.4.1-008;HLA1516.1-MOM-11.4.1-009,IEEE 1516.1-2010 (2010 edition),11.4,MOM-RTI-CHARACTERISTICS,RTI,The RTI shall apply the MOM-specific RTI characteristics defined by the standard rather than treating itself as a normal joined federate.,requirements review,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_does_not_join_as_time_managed_federate;tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata;tests/mom/test_mom_catalog_validation_v012.py::test_mom_classes_reject_ddm_region_services,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,"Current repo-native MOM runtime tests directly prove the RTI-specific Clause 11 characteristics as one coherent contract: no RTI-side joined federate, no hidden subscriptions, receive-order reliable MOM traffic without time metadata, and DDM rejection for MOM classes."
HLA1516.1-MOM-11_4_1-RTI-018,HLA1516.1-MOM-11.4.1-001;HLA1516.1-MOM-11.4.1-002;HLA1516.1-MOM-11.4.1-003,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-PUBLISH-REQUIRED,RTI,The RTI shall publish all standard MOM leaf object and interaction classes designated as RTI-published.,MIM publication static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-019,HLA1516.1-MOM-11.4.1-004,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-SUBSCRIBE-REQUIRED,RTI,The RTI shall subscribe to standard MOM leaf interaction classes designated as RTI-subscribed.,MIM subscription static test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-020,HLA1516.1-MOM-11.4.1-005,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-NOT-TIME-MANAGED,RTI,The RTI shall be neither time-regulating nor time-constrained for MOM traffic.,MOM time-state negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_does_not_join_as_time_managed_federate,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-021,HLA1516.1-MOM-11.4.1-006,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-NO-TIMESTAMPS,RTI,The RTI shall not provide timestamps or retraction handles for MOM messages unless a standard-specific exception applies.,MOM timestamp negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-022,HLA1516.1-MOM-11.4.1-009,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-NO-DDM,RTI,The RTI shall not use DDM services with MOM except where the standard specifically defines DDM use.,MOM DDM negative test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_classes_reject_ddm_region_services,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_4_1-RTI-023,HLA1516.1-MOM-11.4.1-008,IEEE 1516.1-2010 (2010 edition),11.4.1,MOM-NO-ORDER-TRANSPORT-CHANGE,RTI,The RTI shall not modify the standard transportation or order type of MOM attributes or interactions.,MIM static validation,tests/mom/test_mom_catalog_validation_v012.py::test_mom_internal_traffic_uses_receive_order_reliable_transport_and_no_time_metadata,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-024,HLA1516.1-MOM-11.5-002,IEEE 1516.1-2010 (2010 edition),11.5,MOM-SERVICE-REPORTING-SWITCH,SRV,The RTI shall determine service-reporting behavior for each federate from the applicable MOM service-reporting switch state.,service reporting switch test,tests/mom/test_mom_catalog_validation_v012.py::test_strict_mom_rejects_invalid_boolean_payload_and_accepts_valid_service_reporting_adjust,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-025,HLA1516.1-MOM-11.5-001,IEEE 1516.1-2010 (2010 edition),11.5,MOM-SERVICE-REPORTS,SRV,"When service reporting is enabled, the RTI shall send standard MOM service-invocation reports for reportable HLA service invocations.",service report integration test,tests/time/test_mom_mim_time_management_v010.py::test_service_reporting_switch_exposes_service_invocation_reports;tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_5-SRV-026,HLA1516.1-MOM-11.5-004;HLA1516.1-MOM-11.5-003,IEEE 1516.1-2010 (2010 edition),11.5,MOM-EXCEPTION-REPORTS,SRV,"When exception reporting is enabled, the RTI shall report standard MOM exception information for reportable service failures.",exception report integration test,tests/mom/test_mom_catalog_validation_v012.py::test_rejected_mom_adjustment_emits_exception_but_not_service_invocation_report;tests/verification/test_compliance_slice_v011.py::test_mom_set_switches_service_reporting_conflict_is_reported,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-OVERVIEW-017,HLA1516.1-MOM-11.5-001;HLA1516.1-MOM-11.5-002;HLA1516.1-MOM-11.5-003;HLA1516.1-MOM-11.5-004,IEEE 1516.1-2010 (2010 edition),11.5,MOM-SERVICE-REPORTING,OVW,RTI shall emit service-reporting information when service reporting is enabled.,design review + integration test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting;tests/mom/test_mom_catalog_validation_v012.py::test_strict_mom_rejects_invalid_boolean_payload_and_accepts_valid_service_reporting_adjust;tests/mom/test_mom_catalog_validation_v012.py::test_rejected_mom_adjustment_emits_exception_but_not_service_invocation_report,mapped,mom_reporting,hla_1516_requirements_master_v1_0.csv,This imported service-reporting overview row is directly covered by the current MOM reporting and exception-reporting evidence.
HLA1516.1-MIM-ATTR-001,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot` shall expose attribute `HLAprivilegeToDeleteObject` with datatype `HLAtoken`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-002,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAfederateHandle` with datatype `HLAhandle`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-003,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAfederateName` with datatype `HLAunicodeString`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-004,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAfederateType` with datatype `HLAunicodeString`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-005,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAfederateHost` with datatype `HLAunicodeString`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-006,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLARTIversion` with datatype `HLAunicodeString`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-007,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAFOMmoduleDesignatorList` with datatype `HLAmoduleDesignatorList`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-008,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAtimeConstrained` with datatype `HLAboolean`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-009,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAtimeRegulating` with datatype `HLAboolean`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-010,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAasynchronousDelivery` with datatype `HLAboolean`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
HLA1516.1-MIM-ATTR-011,HLA1516.1-MOM-11.6-001;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.6,MIM-OBJECT-ATTRIBUTES,MIM_ATTR,Standard MIM object `HLAobjectRoot.HLAmanager.HLAfederate` shall expose attribute `HLAfederateState` with datatype `HLAfederateState`.,MIM XML parse/static test + MOM attribute reflection test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_mom_table_definitions_without_alteration;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"This imported MIM attribute row is directly covered by exact standard-MIM object-class equality checks, including declared attributes and datatypes."
