packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.2-XML-ELEM-009,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `arrayDataTypes` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-010,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `associateRegionsForUpdates` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-011,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attribute` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-012,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipAcquisition` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-013,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipAcquisitionIfAvailable` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-014,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipAcquisitionNotification` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-015,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipDivestitureIfWanted` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-016,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipReleaseDenied` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-017,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeOwnershipUnavailable` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-018,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeRelevanceAdvisory` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-019,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributeScopeAdvisory` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-020,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributesInScope` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-021,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `attributesOutOfScope` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-022,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `autoProvide` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
HLA1516.2-XML-ELEM-023,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010 (2010 edition),Annex D/E/F,XML-ELEMENTS,XML_ELEM,"OMT/FDD/DIF XML processor shall recognize and validate schema element `automaticResignAction` where it appears in DIF, FDD, OMT schema artifacts.",XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.elements,hla_1516_requirements_master_v1_0.csv,"This imported XML schema-element row is carried through the repo's current Annex E schema-family validation evidence, but not yet as a one-row-per-element curated requirement."
