packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-EXC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,EXC,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,"The RTI shall raise the standard exceptions exposed by `setAutomaticResignDirective` when the corresponding error conditions occur: InvalidResignAction, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,partial,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-MOM-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,MOM,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `setAutomaticResignDirective` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service MOM observer tests directly exercise this packet slice.
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-PRE-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,PRE,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,"The RTI shall validate all standard preconditions for `setAutomaticResignDirective`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,partial,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-SIG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,SIG,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,The implementation shall expose `setAutomaticResignDirective` overload 1 returning `void` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service signature tests directly exercise this packet slice.
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-SVC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,SVC,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,The RTI shall provide the Set Automatic Resign Directive service through the `setAutomaticResignDirective` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-TEST-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,TEST,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `setAutomaticResignDirective`.",test-suite audit,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native support-service tests now give direct positive and negative evidence for this helper family, while mapped signature and MOM rows cover the API-surface and observer slices; transport-mediated delivery is not applicable for these backend-local support-service helpers."
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-ARG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,ARG,SUP-GET_FEDERATE_HANDLE,The implementation shall accept and validate `getFederateHandle` overload 1 arguments: String theName.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-EFF-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,EFF,SUP-GET_FEDERATE_HANDLE,"The RTI shall resolve the requested handle/name mapping consistently with the current FDD, federation execution state, known-object state, or predefined support-service vocabulary.",state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-EXC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,EXC,SUP-GET_FEDERATE_HANDLE,"The RTI shall raise the standard exceptions exposed by `getFederateHandle` when the corresponding error conditions occur: NameNotFound, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,partial,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-MOM-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,MOM,SUP-GET_FEDERATE_HANDLE,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `getFederateHandle` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service MOM observer tests directly exercise this packet slice.
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-PRE-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,PRE,SUP-GET_FEDERATE_HANDLE,"The RTI shall validate all standard preconditions for `getFederateHandle`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,partial,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-SIG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,SIG,SUP-GET_FEDERATE_HANDLE,The implementation shall expose `getFederateHandle` overload 1 returning `FederateHandle` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service signature tests directly exercise this packet slice.
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-SVC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,SVC,SUP-GET_FEDERATE_HANDLE,The RTI shall provide the Get Federate Handle service through the `getFederateHandle` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_4-GETFEDERATEHANDLE-TEST-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.4,getFederateHandle,TEST,SUP-GET_FEDERATE_HANDLE,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `getFederateHandle`.",test-suite audit,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native support-service tests now give direct positive and negative evidence for this helper family, while mapped signature and MOM rows cover the API-surface and observer slices; transport-mediated delivery is not applicable for these backend-local support-service helpers."
HLA1516.1-SUP-10_5-GETFEDERATENAME-ARG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,ARG,SUP-GET_FEDERATE_NAME,The implementation shall accept and validate `getFederateName` overload 1 arguments: FederateHandle theHandle.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_5-GETFEDERATENAME-EFF-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,EFF,SUP-GET_FEDERATE_NAME,"The RTI shall resolve the requested handle/name mapping consistently with the current FDD, federation execution state, known-object state, or predefined support-service vocabulary.",state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_5-GETFEDERATENAME-EXC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,EXC,SUP-GET_FEDERATE_NAME,"The RTI shall raise the standard exceptions exposed by `getFederateName` when the corresponding error conditions occur: InvalidFederateHandle, FederateHandleNotKnown, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,partial,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_5-GETFEDERATENAME-MOM-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,MOM,SUP-GET_FEDERATE_NAME,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `getFederateName` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service MOM observer tests directly exercise this packet slice.
HLA1516.1-SUP-10_5-GETFEDERATENAME-PRE-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,PRE,SUP-GET_FEDERATE_NAME,"The RTI shall validate all standard preconditions for `getFederateName`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,partial,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_5-GETFEDERATENAME-SIG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,SIG,SUP-GET_FEDERATE_NAME,The implementation shall expose `getFederateName` overload 1 returning `String` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service signature tests directly exercise this packet slice.
HLA1516.1-SUP-10_5-GETFEDERATENAME-SVC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,SVC,SUP-GET_FEDERATE_NAME,The RTI shall provide the Get Federate Name service through the `getFederateName` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_5-GETFEDERATENAME-TEST-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.5,getFederateName,TEST,SUP-GET_FEDERATE_NAME,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `getFederateName`.",test-suite audit,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native support-service tests now give direct positive and negative evidence for this helper family, while mapped signature and MOM rows cover the API-surface and observer slices; transport-mediated delivery is not applicable for these backend-local support-service helpers."
HLA1516.1-SUP-10_6-GETOBJECTCLASSHANDLE-ARG-001,HLA1516.1-SUP-10.2-001;HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.6,getObjectClassHandle,ARG,SUP-GET_OBJECT_CLASS_HANDLE,The implementation shall accept and validate `getObjectClassHandle` overload 1 arguments: String theName.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_6-GETOBJECTCLASSHANDLE-EFF-001,HLA1516.1-SUP-10.2-001;HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.6,getObjectClassHandle,EFF,SUP-GET_OBJECT_CLASS_HANDLE,"The RTI shall resolve the requested handle/name mapping consistently with the current FDD, federation execution state, known-object state, or predefined support-service vocabulary.",state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_6-GETOBJECTCLASSHANDLE-EXC-001,HLA1516.1-SUP-10.2-001;HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.6,getObjectClassHandle,EXC,SUP-GET_OBJECT_CLASS_HANDLE,"The RTI shall raise the standard exceptions exposed by `getObjectClassHandle` when the corresponding error conditions occur: NameNotFound, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,partial,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_6-GETOBJECTCLASSHANDLE-MOM-001,HLA1516.1-SUP-10.2-001;HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.6,getObjectClassHandle,MOM,SUP-GET_OBJECT_CLASS_HANDLE,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `getObjectClassHandle` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors;tests/backends/test_python_backend_time_ddm_extended.py::test_support_service_roundtrips_and_callback_controls_have_exact_behavior,mapped,support_lookup,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service MOM observer tests directly exercise this packet slice.
