requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.1-OWN-7.8-001,IEEE 1516.1-2010 (2010 edition),7.8,OWN,RTI shall notify a federate when ownership acquisition fails,shall,ownership_callbacks,integration test,test_python_rti_acquisition_if_available_reports_unavailable_without_transfer,mapped
HLA1516.1-OWN-7.9-001,IEEE 1516.1-2010 (2010 edition),7.9,OWN,RTI shall allow a federate to release ownership in response to acquisition requests,shall,ownership_runtime,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.9-002,IEEE 1516.1-2010 (2010 edition),7.9,OWN,RTI shall not invoke requestAttributeOwnershipRelease when acquisition-if-available cannot proceed immediately and ownership remains with the current owner,shall not,ownership_callbacks,negative integration test,test_python_rti_acquisition_if_available_reports_unavailable_without_transfer,mapped
HLA1516.1-OWN-7.10-001,IEEE 1516.1-2010 (2010 edition),7.10,OWN,RTI shall support cancellation of ownership acquisition attempts,shall,ownership_runtime,integration test,test_python_rti_cancel_attribute_ownership_acquisition_requires_request,mapped
HLA1516.1-OWN-7.11-001,IEEE 1516.1-2010 (2010 edition),7.11,OWN,RTI shall report cancellation confirmation where required,shall,ownership_callbacks,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.12-001,IEEE 1516.1-2010 (2010 edition),7.12,OWN,RTI shall support ownership query for object instance attributes,shall,ownership_runtime,integration test,test_python_rti_query_attribute_ownership_reports_not_owned_after_divestiture,mapped
HLA1516.1-OWN-7.13-001,IEEE 1516.1-2010 (2010 edition),7.13,OWN,RTI shall notify whether an attribute is owned unowned or owned by another federate,shall,ownership_callbacks,integration test,test_name_reservation_ddm_regions_ownership_and_time_support,mapped
HLA1516.1-DDM-9.1-001,IEEE 1516.1-2010 (2010 edition),9.1,DDM,RTI shall support region-based data distribution management,shall,ddm_runtime,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.1-002,IEEE 1516.1-2010 (2010 edition),9.1,DDM,RTI shall use FOM-defined dimensions for DDM routing,shall,ddm_runtime,integration test,test_support_dimension_and_update_rate_helpers,mapped
HLA1516.1-DDM-9.1-003,IEEE 1516.1-2010 (2010 edition),9.1,DDM,RTI shall determine relevance from subscription regions and update/send regions,shall,ddm_filtering,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010 (2010 edition),9.2,DDM,RTI shall provide Create Region,shall,ddm_region_lifecycle,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.3-001,IEEE 1516.1-2010 (2010 edition),9.3,DDM,RTI shall provide Commit Region Modifications,shall,ddm_region_lifecycle,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.4-001,IEEE 1516.1-2010 (2010 edition),9.4,DDM,RTI shall provide Delete Region,shall,ddm_region_lifecycle,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.5-001,IEEE 1516.1-2010 (2010 edition),9.5,DDM,RTI shall support registering object instances with associated regions where applicable,shall,ddm_object_registration,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.6-001,IEEE 1516.1-2010 (2010 edition),9.6,DDM,RTI shall support associating regions with object instance attributes,shall,ddm_object_registration,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.7-001,IEEE 1516.1-2010 (2010 edition),9.7,DDM,RTI shall support unassociating regions from object instance attributes,shall,ddm_object_registration,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.8-001,IEEE 1516.1-2010 (2010 edition),9.8,DDM,RTI shall support subscribing to object-class attributes with regions,shall,ddm_subscription,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.9-001,IEEE 1516.1-2010 (2010 edition),9.9,DDM,RTI shall support unsubscribing object-class attributes with regions,shall,ddm_subscription,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.10-001,IEEE 1516.1-2010 (2010 edition),9.10,DDM,RTI shall support subscribing to interaction classes with regions,shall,ddm_subscription,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.11-001,IEEE 1516.1-2010 (2010 edition),9.11,DDM,RTI shall support unsubscribing interaction classes with regions,shall,ddm_subscription,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.12-001,IEEE 1516.1-2010 (2010 edition),9.12,DDM,RTI shall route attribute updates based on region overlap,shall,ddm_filtering,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-DDM-9.13-001,IEEE 1516.1-2010 (2010 edition),9.13,DDM,RTI shall route interactions based on region overlap where dimensions apply,shall,ddm_filtering,integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle,mapped
HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.1,SUP,RTI shall provide services for name/handle lookup,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.1-002,IEEE 1516.1-2010 (2010 edition),10.1,SUP,RTI shall provide services for advisory switches,shall,support_switches,integration test,test_support_advisory_switches_toggle_and_reject_duplicates,mapped
HLA1516.1-SUP-10.1-003,IEEE 1516.1-2010 (2010 edition),10.1,SUP,RTI shall provide services for ordering transportation and dimension metadata queries,shall,support_lookup,integration test,test_support_dimension_and_update_rate_helpers,mapped
HLA1516.1-SUP-10.2-001,IEEE 1516.1-2010 (2010 edition),10.2,SUP,RTI shall return object class handles by object class name,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.3-001,IEEE 1516.1-2010 (2010 edition),10.3,SUP,RTI shall return object class names by object class handle,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.4-001,IEEE 1516.1-2010 (2010 edition),10.4,SUP,RTI shall return attribute handles by attribute name and class,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.5-001,IEEE 1516.1-2010 (2010 edition),10.5,SUP,RTI shall return attribute names by attribute handle and class,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.6-001,IEEE 1516.1-2010 (2010 edition),10.6,SUP,RTI shall return interaction class handles by interaction class name,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.7-001,IEEE 1516.1-2010 (2010 edition),10.7,SUP,RTI shall return interaction class names by interaction class handle,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.8-001,IEEE 1516.1-2010 (2010 edition),10.8,SUP,RTI shall return parameter handles by parameter name and interaction class,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.9-001,IEEE 1516.1-2010 (2010 edition),10.9,SUP,RTI shall return parameter names by parameter handle and interaction class,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.10-001,IEEE 1516.1-2010 (2010 edition),10.10,SUP,RTI shall return object instance handles by object instance name,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.11-001,IEEE 1516.1-2010 (2010 edition),10.11,SUP,RTI shall return object instance names by object instance handle,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.12-001,IEEE 1516.1-2010 (2010 edition),10.12,SUP,RTI shall return dimension handles by dimension name,shall,support_lookup,integration test,test_support_dimension_and_update_rate_helpers,mapped
HLA1516.1-SUP-10.13-001,IEEE 1516.1-2010 (2010 edition),10.13,SUP,RTI shall return dimension names by dimension handle,shall,support_lookup,integration test,test_support_dimension_and_update_rate_helpers,mapped
HLA1516.1-SUP-10.14-001,IEEE 1516.1-2010 (2010 edition),10.14,SUP,RTI shall return available dimensions for object attributes or interactions,shall,support_lookup,integration test,test_support_dimension_and_update_rate_helpers,mapped
HLA1516.1-SUP-10.15-001,IEEE 1516.1-2010 (2010 edition),10.15,SUP,RTI shall return transportation type handles and names,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.16-001,IEEE 1516.1-2010 (2010 edition),10.16,SUP,RTI shall return order type handles and names,shall,support_lookup,integration test,test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.1-SUP-10.17-001,IEEE 1516.1-2010 (2010 edition),10.17,SUP,RTI shall support enabling and disabling advisory switches,shall,support_switches,integration test,test_support_advisory_switches_toggle_and_reject_duplicates,mapped
HLA1516.1-SUP-10.18-001,IEEE 1516.1-2010 (2010 edition),10.18,SUP,RTI shall provide callbacks for advisory switch changes where required,shall,support_switches,integration test,tests/backends/test_python_backend_support_services.py::test_support_advisory_switches_toggle_and_reject_duplicates;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting,mapped
