test_id,requirement_id,capability,feature,test_level,transport,status,expected_evidence,verification_notes
TEST-FM-4_16-001-NATIVE,HLA1516.1-FM-4_16-001,CAP-FM,FM-REQUEST-FEDERATION-SAVE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_16-001: RTI shall provide the Request Federation Save service.,
TEST-FM-4_17-001-NATIVE,HLA1516.1-FM-4_17-001,CAP-FM,FM-INITIATE-FEDERATE-SAVE-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_17-001: RTI shall issue the Initiate Federate Save callback service.,
TEST-FM-4_18-001-NATIVE,HLA1516.1-FM-4_18-001,CAP-FM,FM-FEDERATE-SAVE-BEGUN-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_18-001: RTI shall provide the Federate Save Begun service.,
TEST-FM-4_19-001-NATIVE,HLA1516.1-FM-4_19-001,CAP-FM,FM-FEDERATE-SAVE-COMPLETE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_19-001: RTI shall provide the Federate Save Complete service.,
TEST-FM-4_20-001-NATIVE,HLA1516.1-FM-4_20-001,CAP-FM,FM-FEDERATION-SAVED-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_20-001: RTI shall issue the Federation Saved callback service.,
TEST-FM-4_21-001-NATIVE,HLA1516.1-FM-4_21-001,CAP-FM,FM-ABORT-FEDERATION-SAVE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_21-001: RTI shall provide the Abort Federation Save service.,
TEST-FM-4_22-001-NATIVE,HLA1516.1-FM-4_22-001,CAP-FM,FM-QUERY-FEDERATION-SAVE-STATUS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_22-001: RTI shall provide the Query Federation Save Status service.,
TEST-FM-4_23-001-NATIVE,HLA1516.1-FM-4_23-001,CAP-FM,FM-FEDERATION-SAVE-STATUS-RESPONSE-CALLBACK,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_23-001: RTI shall issue the Federation Save Status Response callback service.,
TEST-FM-4_24-001-NATIVE,HLA1516.1-FM-4_24-001,CAP-FM,FM-REQUEST-FEDERATION-RESTORE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_24-001: RTI shall provide the Request Federation Restore service.,
TEST-FM-4_25-001-NATIVE,HLA1516.1-FM-4_25-001,CAP-FM,FM-CONFIRM-FEDERATION-RESTORATION-REQUEST-C,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_25-001: RTI shall issue the Confirm Federation Restoration Request callback service.,
TEST-FM-4_26-001-NATIVE,HLA1516.1-FM-4_26-001,CAP-FM,FM-FEDERATION-RESTORE-BEGUN-CALLBACK-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_26-001: RTI shall issue the Federation Restore Begun callback service.,
TEST-FM-4_27-001-NATIVE,HLA1516.1-FM-4_27-001,CAP-FM,FM-INITIATE-FEDERATE-RESTORE-CALLBACK-SERVI,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_27-001: RTI shall issue the Initiate Federate Restore callback service.,
TEST-FM-4_28-001-NATIVE,HLA1516.1-FM-4_28-001,CAP-FM,FM-FEDERATE-RESTORE-COMPLETE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_28-001: RTI shall provide the Federate Restore Complete service.,
TEST-FM-4_29-001-NATIVE,HLA1516.1-FM-4_29-001,CAP-FM,FM-FEDERATION-RESTORED-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_29-001: RTI shall issue the Federation Restored callback service.,
TEST-FM-4_30-001-NATIVE,HLA1516.1-FM-4_30-001,CAP-FM,FM-ABORT-FEDERATION-RESTORE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_30-001: RTI shall provide the Abort Federation Restore service.,
TEST-FM-4_31-001-NATIVE,HLA1516.1-FM-4_31-001,CAP-FM,FM-QUERY-FEDERATION-RESTORE-STATUS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_31-001: RTI shall provide the Query Federation Restore Status service.,
TEST-FM-4_32-001-NATIVE,HLA1516.1-FM-4_32-001,CAP-FM,FM-FEDERATION-RESTORE-STATUS-RESPONSE-CALLB,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_32-001: RTI shall issue the Federation Restore Status Response callback service.,
TEST-DM-5_2-001-NATIVE,HLA1516.1-DM-5_2-001,CAP-DM,DM-PUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_2-001: RTI shall provide the Publish Object Class Attributes service.,
TEST-DM-5_3-001-NATIVE,HLA1516.1-DM-5_3-001,CAP-DM,DM-UNPUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_3-001: RTI shall provide the Unpublish Object Class Attributes service.,
TEST-DM-5_4-001-NATIVE,HLA1516.1-DM-5_4-001,CAP-DM,DM-PUBLISH-INTERACTION-CLASS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_4-001: RTI shall provide the Publish Interaction Class service.,
TEST-DM-5_5-001-NATIVE,HLA1516.1-DM-5_5-001,CAP-DM,DM-UNPUBLISH-INTERACTION-CLASS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_5-001: RTI shall provide the Unpublish Interaction Class service.,
TEST-DM-5_6-001-NATIVE,HLA1516.1-DM-5_6-001,CAP-DM,DM-SUBSCRIBE-OBJECT-CLASS-ATTRIBUTES-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_6-001: RTI shall provide the Subscribe Object Class Attributes service.,
TEST-DM-5_7-001-NATIVE,HLA1516.1-DM-5_7-001,CAP-DM,DM-UNSUBSCRIBE-OBJECT-CLASS-ATTRIBUTES-SERV,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_7-001: RTI shall provide the Unsubscribe Object Class Attributes service.,
TEST-DM-5_8-001-NATIVE,HLA1516.1-DM-5_8-001,CAP-DM,DM-SUBSCRIBE-INTERACTION-CLASS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_8-001: RTI shall provide the Subscribe Interaction Class service.,
TEST-DM-5_9-001-NATIVE,HLA1516.1-DM-5_9-001,CAP-DM,DM-UNSUBSCRIBE-INTERACTION-CLASS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_9-001: RTI shall provide the Unsubscribe Interaction Class service.,
TEST-DM-5_10-001-NATIVE,HLA1516.1-DM-5_10-001,CAP-DM,DM-START-REGISTRATION-FOR-OBJECT-CLASS-CALL,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_10-001: RTI shall issue the Start Registration For Object Class callback service.,
TEST-DM-5_11-001-NATIVE,HLA1516.1-DM-5_11-001,CAP-DM,DM-STOP-REGISTRATION-FOR-OBJECT-CLASS-CALLB,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_11-001: RTI shall issue the Stop Registration For Object Class callback service.,
TEST-DM-5_12-001-NATIVE,HLA1516.1-DM-5_12-001,CAP-DM,DM-TURN-INTERACTIONS-ON-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_12-001: RTI shall issue the Turn Interactions On callback service.,
TEST-DM-5_13-001-NATIVE,HLA1516.1-DM-5_13-001,CAP-DM,DM-TURN-INTERACTIONS-OFF-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-DM-5_13-001: RTI shall issue the Turn Interactions Off callback service.,
TEST-OM-6_2-001-NATIVE,HLA1516.1-OM-6_2-001,CAP-OM,OM-RESERVE-OBJECT-INSTANCE-NAME-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_2-001: RTI shall provide the Reserve Object Instance Name service.,
TEST-OM-6_3-001-NATIVE,HLA1516.1-OM-6_3-001,CAP-OM,OM-OBJECT-INSTANCE-NAME-RESERVED-CALLBACK-S,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_3-001: RTI shall issue the Object Instance Name Reserved callback service.,
TEST-OM-6_4-001-NATIVE,HLA1516.1-OM-6_4-001,CAP-OM,OM-RELEASE-OBJECT-INSTANCE-NAME-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_4-001: RTI shall provide the Release Object Instance Name service.,
TEST-OM-6_5-001-NATIVE,HLA1516.1-OM-6_5-001,CAP-OM,OM-RESERVE-MULTIPLE-OBJECT-INSTANCE-NAMES-S,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_5-001: RTI shall provide the Reserve Multiple Object Instance Names service.,
TEST-OM-6_6-001-NATIVE,HLA1516.1-OM-6_6-001,CAP-OM,OM-MULTIPLE-OBJECT-INSTANCE-NAMES-RESERVED-,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_6-001: RTI shall issue the Multiple Object Instance Names Reserved callback service.,
TEST-OM-6_7-001-NATIVE,HLA1516.1-OM-6_7-001,CAP-OM,OM-RELEASE-MULTIPLE-OBJECT-INSTANCE-NAMES-S,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_7-001: RTI shall provide the Release Multiple Object Instance Names service.,
TEST-OM-6_8-001-NATIVE,HLA1516.1-OM-6_8-001,CAP-OM,OM-REGISTER-OBJECT-INSTANCE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_8-001: RTI shall provide the Register Object Instance service.,
TEST-OM-6_9-001-NATIVE,HLA1516.1-OM-6_9-001,CAP-OM,OM-DISCOVER-OBJECT-INSTANCE-CALLBACK-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_9-001: RTI shall issue the Discover Object Instance callback service.,
TEST-OM-6_10-001-NATIVE,HLA1516.1-OM-6_10-001,CAP-OM,OM-UPDATE-ATTRIBUTE-VALUES-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_10-001: RTI shall provide the Update Attribute Values service.,
TEST-OM-6_11-001-NATIVE,HLA1516.1-OM-6_11-001,CAP-OM,OM-REFLECT-ATTRIBUTE-VALUES-CALLBACK-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_11-001: RTI shall issue the Reflect Attribute Values callback service.,
TEST-OM-6_12-001-NATIVE,HLA1516.1-OM-6_12-001,CAP-OM,OM-SEND-INTERACTION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_12-001: RTI shall provide the Send Interaction service.,
TEST-OM-6_13-001-NATIVE,HLA1516.1-OM-6_13-001,CAP-OM,OM-RECEIVE-INTERACTION-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_13-001: RTI shall issue the Receive Interaction callback service.,
TEST-OM-6_14-001-NATIVE,HLA1516.1-OM-6_14-001,CAP-OM,OM-DELETE-OBJECT-INSTANCE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_14-001: RTI shall provide the Delete Object Instance service.,
TEST-OM-6_15-001-NATIVE,HLA1516.1-OM-6_15-001,CAP-OM,OM-REMOVE-OBJECT-INSTANCE-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_15-001: RTI shall issue the Remove Object Instance callback service.,
TEST-OM-6_16-001-NATIVE,HLA1516.1-OM-6_16-001,CAP-OM,OM-LOCAL-DELETE-OBJECT-INSTANCE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_16-001: RTI shall provide the Local Delete Object Instance service.,
TEST-OM-6_17-001-NATIVE,HLA1516.1-OM-6_17-001,CAP-OM,OM-ATTRIBUTES-IN-SCOPE-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_17-001: RTI shall issue the Attributes In Scope callback service.,
TEST-OM-6_18-001-NATIVE,HLA1516.1-OM-6_18-001,CAP-OM,OM-ATTRIBUTES-OUT-OF-SCOPE-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_18-001: RTI shall issue the Attributes Out Of Scope callback service.,
TEST-OM-6_19-001-NATIVE,HLA1516.1-OM-6_19-001,CAP-OM,OM-REQUEST-ATTRIBUTE-VALUE-UPDATE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_19-001: RTI shall provide the Request Attribute Value Update service.,
TEST-OM-6_20-001-NATIVE,HLA1516.1-OM-6_20-001,CAP-OM,OM-PROVIDE-ATTRIBUTE-VALUE-UPDATE-CALLBACK-,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_20-001: RTI shall issue the Provide Attribute Value Update callback service.,
TEST-OM-6_21-001-NATIVE,HLA1516.1-OM-6_21-001,CAP-OM,OM-TURN-UPDATES-ON-FOR-OBJECT-INSTANCE-CALL,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_21-001: RTI shall issue the Turn Updates On For Object Instance callback service.,
TEST-OM-6_22-001-NATIVE,HLA1516.1-OM-6_22-001,CAP-OM,OM-TURN-UPDATES-OFF-FOR-OBJECT-INSTANCE-CAL,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_22-001: RTI shall issue the Turn Updates Off For Object Instance callback service.,
TEST-OM-6_23-001-NATIVE,HLA1516.1-OM-6_23-001,CAP-OM,OM-REQUEST-ATTRIBUTE-TRANSPORTATION-TYPE-CH,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_23-001: RTI shall provide the Request Attribute Transportation Type Change service.,
TEST-OM-6_24-001-NATIVE,HLA1516.1-OM-6_24-001,CAP-OM,OM-CONFIRM-ATTRIBUTE-TRANSPORTATION-TYPE-CH,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_24-001: RTI shall issue the Confirm Attribute Transportation Type Change callback service.,
TEST-OM-6_25-001-NATIVE,HLA1516.1-OM-6_25-001,CAP-OM,OM-QUERY-ATTRIBUTE-TRANSPORTATION-TYPE-SERV,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_25-001: RTI shall provide the Query Attribute Transportation Type service.,
TEST-OM-6_26-001-NATIVE,HLA1516.1-OM-6_26-001,CAP-OM,OM-REPORT-ATTRIBUTE-TRANSPORTATION-TYPE-CAL,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_26-001: RTI shall issue the Report Attribute Transportation Type callback service.,
TEST-OM-6_27-001-NATIVE,HLA1516.1-OM-6_27-001,CAP-OM,OM-REQUEST-INTERACTION-TRANSPORTATION-TYPE-,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_27-001: RTI shall provide the Request Interaction Transportation Type Change service.,
TEST-OM-6_28-001-NATIVE,HLA1516.1-OM-6_28-001,CAP-OM,OM-CONFIRM-INTERACTION-TRANSPORTATION-TYPE-,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_28-001: RTI shall issue the Confirm Interaction Transportation Type Change callback service.,
TEST-OM-6_29-001-NATIVE,HLA1516.1-OM-6_29-001,CAP-OM,OM-QUERY-INTERACTION-TRANSPORTATION-TYPE-SE,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_29-001: RTI shall provide the Query Interaction Transportation Type service.,
TEST-OM-6_30-001-NATIVE,HLA1516.1-OM-6_30-001,CAP-OM,OM-REPORT-INTERACTION-TRANSPORTATION-TYPE-C,unit + federate integration test,native,planned,Verify HLA1516.1-OM-6_30-001: RTI shall issue the Report Interaction Transportation Type callback service.,
TEST-OWN-7_2-001-NATIVE,HLA1516.1-OWN-7_2-001,CAP-OWN,OWN-UNCONDITIONAL-ATTRIBUTE-OWNERSHIP-DIVEST,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_2-001: RTI shall provide the Unconditional Attribute Ownership Divestiture service.,
TEST-OWN-7_3-001-NATIVE,HLA1516.1-OWN-7_3-001,CAP-OWN,OWN-NEGOTIATED-ATTRIBUTE-OWNERSHIP-DIVESTITU,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_3-001: RTI shall provide the Negotiated Attribute Ownership Divestiture service.,
TEST-OWN-7_4-001-NATIVE,HLA1516.1-OWN-7_4-001,CAP-OWN,OWN-REQUEST-ATTRIBUTE-OWNERSHIP-ASSUMPTION-C,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_4-001: RTI shall issue the Request Attribute Ownership Assumption callback service.,
TEST-OWN-7_5-001-NATIVE,HLA1516.1-OWN-7_5-001,CAP-OWN,OWN-REQUEST-DIVESTITURE-CONFIRMATION-CALLBAC,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_5-001: RTI shall issue the Request Divestiture Confirmation callback service.,
TEST-OWN-7_6-001-NATIVE,HLA1516.1-OWN-7_6-001,CAP-OWN,OWN-CONFIRM-DIVESTITURE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_6-001: RTI shall provide the Confirm Divestiture service.,
TEST-OWN-7_7-001-NATIVE,HLA1516.1-OWN-7_7-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-ACQUISITION-NOTIFICA,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_7-001: RTI shall issue the Attribute Ownership Acquisition Notification callback service.,
TEST-OWN-7_8-001-NATIVE,HLA1516.1-OWN-7_8-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-ACQUISITION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_8-001: RTI shall provide the Attribute Ownership Acquisition service.,
TEST-OWN-7_9-001-NATIVE,HLA1516.1-OWN-7_9-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-ACQUISITION-IF-AVAIL,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_9-001: RTI shall provide the Attribute Ownership Acquisition If Available service.,
TEST-OWN-7_10-001-NATIVE,HLA1516.1-OWN-7_10-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-UNAVAILABLE-CALLBACK,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_10-001: RTI shall issue the Attribute Ownership Unavailable callback service.,
TEST-OWN-7_11-001-NATIVE,HLA1516.1-OWN-7_11-001,CAP-OWN,OWN-REQUEST-ATTRIBUTE-OWNERSHIP-RELEASE-CALL,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_11-001: RTI shall issue the Request Attribute Ownership Release callback service.,
TEST-OWN-7_12-001-NATIVE,HLA1516.1-OWN-7_12-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-RELEASE-DENIED-SERVI,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_12-001: RTI shall provide the Attribute Ownership Release Denied service.,
TEST-OWN-7_13-001-NATIVE,HLA1516.1-OWN-7_13-001,CAP-OWN,OWN-ATTRIBUTE-OWNERSHIP-DIVESTITURE-IF-WANTE,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_13-001: RTI shall provide the Attribute Ownership Divestiture If Wanted service.,
TEST-OWN-7_14-001-NATIVE,HLA1516.1-OWN-7_14-001,CAP-OWN,OWN-CANCEL-NEGOTIATED-ATTRIBUTE-OWNERSHIP-DI,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_14-001: RTI shall provide the Cancel Negotiated Attribute Ownership Divestiture service.,
TEST-OWN-7_15-001-NATIVE,HLA1516.1-OWN-7_15-001,CAP-OWN,OWN-CANCEL-ATTRIBUTE-OWNERSHIP-ACQUISITION-S,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_15-001: RTI shall provide the Cancel Attribute Ownership Acquisition service.,
TEST-OWN-7_16-001-NATIVE,HLA1516.1-OWN-7_16-001,CAP-OWN,OWN-CONFIRM-ATTRIBUTE-OWNERSHIP-ACQUISITION-,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_16-001: RTI shall issue the Confirm Attribute Ownership Acquisition Cancellation callback service.,
TEST-OWN-7_17-001-NATIVE,HLA1516.1-OWN-7_17-001,CAP-OWN,OWN-QUERY-ATTRIBUTE-OWNERSHIP-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_17-001: RTI shall provide the Query Attribute Ownership service.,
TEST-OWN-7_18-001-NATIVE,HLA1516.1-OWN-7_18-001,CAP-OWN,OWN-INFORM-ATTRIBUTE-OWNERSHIP-CALLBACK-SERV,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_18-001: RTI shall issue the Inform Attribute Ownership callback service.,
TEST-OWN-7_19-001-NATIVE,HLA1516.1-OWN-7_19-001,CAP-OWN,OWN-IS-ATTRIBUTE-OWNED-BY-FEDERATE-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-OWN-7_19-001: RTI shall provide the Is Attribute Owned By Federate service.,
TEST-TM-8_2-001-NATIVE,HLA1516.1-TM-8_2-001,CAP-TM,TM-ENABLE-TIME-REGULATION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_2-001: RTI shall provide the Enable Time Regulation service.,
TEST-TM-8_3-001-NATIVE,HLA1516.1-TM-8_3-001,CAP-TM,TM-TIME-REGULATION-ENABLED-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_3-001: RTI shall issue the Time Regulation Enabled callback service.,
TEST-TM-8_4-001-NATIVE,HLA1516.1-TM-8_4-001,CAP-TM,TM-DISABLE-TIME-REGULATION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_4-001: RTI shall provide the Disable Time Regulation service.,
TEST-TM-8_5-001-NATIVE,HLA1516.1-TM-8_5-001,CAP-TM,TM-ENABLE-TIME-CONSTRAINED-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_5-001: RTI shall provide the Enable Time Constrained service.,
TEST-TM-8_6-001-NATIVE,HLA1516.1-TM-8_6-001,CAP-TM,TM-TIME-CONSTRAINED-ENABLED-CALLBACK-SERVIC,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_6-001: RTI shall issue the Time Constrained Enabled callback service.,
TEST-TM-8_7-001-NATIVE,HLA1516.1-TM-8_7-001,CAP-TM,TM-DISABLE-TIME-CONSTRAINED-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-TM-8_7-001: RTI shall provide the Disable Time Constrained service.,
