requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note
HLA1516.1-FM-4_25-001,IEEE 1516.1-2010 (2010 edition),4.25,Federate Interface Specification,CAP-FM,FM-CONFIRM-FEDERATION-RESTORATION-REQUEST-C,RTI shall issue the Confirm Federation Restoration Request callback service.,shall,rti.federation_management.confirm_federation_restoration_request,unit + federate integration test,TEST-FM-4_25-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.25. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_26-001,IEEE 1516.1-2010 (2010 edition),4.26,Federate Interface Specification,CAP-FM,FM-FEDERATION-RESTORE-BEGUN-CALLBACK-SERVIC,RTI shall issue the Federation Restore Begun callback service.,shall,rti.federation_management.federation_restore_begun,unit + federate integration test,TEST-FM-4_26-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.26. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_27-001,IEEE 1516.1-2010 (2010 edition),4.27,Federate Interface Specification,CAP-FM,FM-INITIATE-FEDERATE-RESTORE-CALLBACK-SERVI,RTI shall issue the Initiate Federate Restore callback service.,shall,rti.federation_management.initiate_federate_restore,unit + federate integration test,TEST-FM-4_27-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.27. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_28-001,IEEE 1516.1-2010 (2010 edition),4.28,Federate Interface Specification,CAP-FM,FM-FEDERATE-RESTORE-COMPLETE-SERVICE,RTI shall provide the Federate Restore Complete service.,shall,rti.federation_management.federate_restore_complete,unit + federate integration test,TEST-FM-4_28-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.28. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_29-001,IEEE 1516.1-2010 (2010 edition),4.29,Federate Interface Specification,CAP-FM,FM-FEDERATION-RESTORED-CALLBACK-SERVICE,RTI shall issue the Federation Restored callback service.,shall,rti.federation_management.federation_restored,unit + federate integration test,TEST-FM-4_29-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.29. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_30-001,IEEE 1516.1-2010 (2010 edition),4.30,Federate Interface Specification,CAP-FM,FM-ABORT-FEDERATION-RESTORE-SERVICE,RTI shall provide the Abort Federation Restore service.,shall,rti.federation_management.abort_federation_restore,unit + federate integration test,TEST-FM-4_30-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.30. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_31-001,IEEE 1516.1-2010 (2010 edition),4.31,Federate Interface Specification,CAP-FM,FM-QUERY-FEDERATION-RESTORE-STATUS-SERVICE,RTI shall provide the Query Federation Restore Status service.,shall,rti.federation_management.query_federation_restore_status,unit + federate integration test,TEST-FM-4_31-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.31. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-FM-4_32-001,IEEE 1516.1-2010 (2010 edition),4.32,Federate Interface Specification,CAP-FM,FM-FEDERATION-RESTORE-STATUS-RESPONSE-CALLB,RTI shall issue the Federation Restore Status Response callback service.,shall,rti.federation_management.federation_restore_status_response,unit + federate integration test,TEST-FM-4_32-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.32. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_2-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVICE,RTI shall provide the Publish Object Class Attributes service.,shall,rti.declaration_management.publish_object_class_attributes,unit + federate integration test,TEST-DM-5_2-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.2. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_3-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVIC,RTI shall provide the Unpublish Object Class Attributes service.,shall,rti.declaration_management.unpublish_object_class_attributes,unit + federate integration test,TEST-DM-5_3-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.3. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_4-001,IEEE 1516.1-2010 (2010 edition),5.4,Federate Interface Specification,CAP-DM,DM-PUBLISH-INTERACTION-CLASS-SERVICE,RTI shall provide the Publish Interaction Class service.,shall,rti.declaration_management.publish_interaction_class,unit + federate integration test,TEST-DM-5_4-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.4. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_5-001,IEEE 1516.1-2010 (2010 edition),5.5,Federate Interface Specification,CAP-DM,DM-UNPUBLISH-INTERACTION-CLASS-SERVICE,RTI shall provide the Unpublish Interaction Class service.,shall,rti.declaration_management.unpublish_interaction_class,unit + federate integration test,TEST-DM-5_5-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.5. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_6-001,IEEE 1516.1-2010 (2010 edition),5.6,Federate Interface Specification,CAP-DM,DM-SUBSCRIBE-OBJECT-CLASS-ATTRIBUTES-SERVIC,RTI shall provide the Subscribe Object Class Attributes service.,shall,rti.declaration_management.subscribe_object_class_attributes,unit + federate integration test,TEST-DM-5_6-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.6. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_7-001,IEEE 1516.1-2010 (2010 edition),5.7,Federate Interface Specification,CAP-DM,DM-UNSUBSCRIBE-OBJECT-CLASS-ATTRIBUTES-SERV,RTI shall provide the Unsubscribe Object Class Attributes service.,shall,rti.declaration_management.unsubscribe_object_class_attributes,unit + federate integration test,TEST-DM-5_7-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.7. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_8-001,IEEE 1516.1-2010 (2010 edition),5.8,Federate Interface Specification,CAP-DM,DM-SUBSCRIBE-INTERACTION-CLASS-SERVICE,RTI shall provide the Subscribe Interaction Class service.,shall,rti.declaration_management.subscribe_interaction_class,unit + federate integration test,TEST-DM-5_8-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.8. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_9-001,IEEE 1516.1-2010 (2010 edition),5.9,Federate Interface Specification,CAP-DM,DM-UNSUBSCRIBE-INTERACTION-CLASS-SERVICE,RTI shall provide the Unsubscribe Interaction Class service.,shall,rti.declaration_management.unsubscribe_interaction_class,unit + federate integration test,TEST-DM-5_9-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.9. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_10-001,IEEE 1516.1-2010 (2010 edition),5.10,Federate Interface Specification,CAP-DM,DM-START-REGISTRATION-FOR-OBJECT-CLASS-CALL,RTI shall issue the Start Registration For Object Class callback service.,shall,rti.declaration_management.start_registration_for_object_class,unit + federate integration test,TEST-DM-5_10-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.10. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_11-001,IEEE 1516.1-2010 (2010 edition),5.11,Federate Interface Specification,CAP-DM,DM-STOP-REGISTRATION-FOR-OBJECT-CLASS-CALLB,RTI shall issue the Stop Registration For Object Class callback service.,shall,rti.declaration_management.stop_registration_for_object_class,unit + federate integration test,TEST-DM-5_11-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.11. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_12-001,IEEE 1516.1-2010 (2010 edition),5.12,Federate Interface Specification,CAP-DM,DM-TURN-INTERACTIONS-ON-CALLBACK-SERVICE,RTI shall issue the Turn Interactions On callback service.,shall,rti.declaration_management.turn_interactions_on,unit + federate integration test,TEST-DM-5_12-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.12. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-DM-5_13-001,IEEE 1516.1-2010 (2010 edition),5.13,Federate Interface Specification,CAP-DM,DM-TURN-INTERACTIONS-OFF-CALLBACK-SERVICE,RTI shall issue the Turn Interactions Off callback service.,shall,rti.declaration_management.turn_interactions_off,unit + federate integration test,TEST-DM-5_13-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 5.13. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_2-001,IEEE 1516.1-2010 (2010 edition),6.2,Federate Interface Specification,CAP-OM,OM-RESERVE-OBJECT-INSTANCE-NAME-SERVICE,RTI shall provide the Reserve Object Instance Name service.,shall,rti.object_management.reserve_object_instance_name,unit + federate integration test,TEST-OM-6_2-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.2. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_3-001,IEEE 1516.1-2010 (2010 edition),6.3,Federate Interface Specification,CAP-OM,OM-OBJECT-INSTANCE-NAME-RESERVED-CALLBACK-S,RTI shall issue the Object Instance Name Reserved callback service.,shall,rti.object_management.object_instance_name_reserved,unit + federate integration test,TEST-OM-6_3-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.3. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_4-001,IEEE 1516.1-2010 (2010 edition),6.4,Federate Interface Specification,CAP-OM,OM-RELEASE-OBJECT-INSTANCE-NAME-SERVICE,RTI shall provide the Release Object Instance Name service.,shall,rti.object_management.release_object_instance_name,unit + federate integration test,TEST-OM-6_4-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.4. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_5-001,IEEE 1516.1-2010 (2010 edition),6.5,Federate Interface Specification,CAP-OM,OM-RESERVE-MULTIPLE-OBJECT-INSTANCE-NAMES-S,RTI shall provide the Reserve Multiple Object Instance Names service.,shall,rti.object_management.reserve_multiple_object_instance_names,unit + federate integration test,TEST-OM-6_5-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.5. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_6-001,IEEE 1516.1-2010 (2010 edition),6.6,Federate Interface Specification,CAP-OM,OM-MULTIPLE-OBJECT-INSTANCE-NAMES-RESERVED-,RTI shall issue the Multiple Object Instance Names Reserved callback service.,shall,rti.object_management.multiple_object_instance_names_reserved,unit + federate integration test,TEST-OM-6_6-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.6. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_7-001,IEEE 1516.1-2010 (2010 edition),6.7,Federate Interface Specification,CAP-OM,OM-RELEASE-MULTIPLE-OBJECT-INSTANCE-NAMES-S,RTI shall provide the Release Multiple Object Instance Names service.,shall,rti.object_management.release_multiple_object_instance_names,unit + federate integration test,TEST-OM-6_7-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.7. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_8-001,IEEE 1516.1-2010 (2010 edition),6.8,Federate Interface Specification,CAP-OM,OM-REGISTER-OBJECT-INSTANCE-SERVICE,RTI shall provide the Register Object Instance service.,shall,rti.object_management.register_object_instance,unit + federate integration test,TEST-OM-6_8-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.8. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_9-001,IEEE 1516.1-2010 (2010 edition),6.9,Federate Interface Specification,CAP-OM,OM-DISCOVER-OBJECT-INSTANCE-CALLBACK-SERVIC,RTI shall issue the Discover Object Instance callback service.,shall,rti.object_management.discover_object_instance,unit + federate integration test,TEST-OM-6_9-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.9. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_10-001,IEEE 1516.1-2010 (2010 edition),6.10,Federate Interface Specification,CAP-OM,OM-UPDATE-ATTRIBUTE-VALUES-SERVICE,RTI shall provide the Update Attribute Values service.,shall,rti.object_management.update_attribute_values,unit + federate integration test,TEST-OM-6_10-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.10. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_11-001,IEEE 1516.1-2010 (2010 edition),6.11,Federate Interface Specification,CAP-OM,OM-REFLECT-ATTRIBUTE-VALUES-CALLBACK-SERVIC,RTI shall issue the Reflect Attribute Values callback service.,shall,rti.object_management.reflect_attribute_values,unit + federate integration test,TEST-OM-6_11-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.11. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_12-001,IEEE 1516.1-2010 (2010 edition),6.12,Federate Interface Specification,CAP-OM,OM-SEND-INTERACTION-SERVICE,RTI shall provide the Send Interaction service.,shall,rti.object_management.send_interaction,unit + federate integration test,TEST-OM-6_12-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.12. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_13-001,IEEE 1516.1-2010 (2010 edition),6.13,Federate Interface Specification,CAP-OM,OM-RECEIVE-INTERACTION-CALLBACK-SERVICE,RTI shall issue the Receive Interaction callback service.,shall,rti.object_management.receive_interaction,unit + federate integration test,TEST-OM-6_13-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.13. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_14-001,IEEE 1516.1-2010 (2010 edition),6.14,Federate Interface Specification,CAP-OM,OM-DELETE-OBJECT-INSTANCE-SERVICE,RTI shall provide the Delete Object Instance service.,shall,rti.object_management.delete_object_instance,unit + federate integration test,TEST-OM-6_14-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.14. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_15-001,IEEE 1516.1-2010 (2010 edition),6.15,Federate Interface Specification,CAP-OM,OM-REMOVE-OBJECT-INSTANCE-CALLBACK-SERVICE,RTI shall issue the Remove Object Instance callback service.,shall,rti.object_management.remove_object_instance,unit + federate integration test,TEST-OM-6_15-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.15. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_16-001,IEEE 1516.1-2010 (2010 edition),6.16,Federate Interface Specification,CAP-OM,OM-LOCAL-DELETE-OBJECT-INSTANCE-SERVICE,RTI shall provide the Local Delete Object Instance service.,shall,rti.object_management.local_delete_object_instance,unit + federate integration test,TEST-OM-6_16-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.16. Expand with arguments, callbacks, preconditions, and exceptions."
HLA1516.1-OM-6_17-001,IEEE 1516.1-2010 (2010 edition),6.17,Federate Interface Specification,CAP-OM,OM-ATTRIBUTES-IN-SCOPE-CALLBACK-SERVICE,RTI shall issue the Attributes In Scope callback service.,shall,rti.object_management.attributes_in_scope,unit + federate integration test,TEST-OM-6_17-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 6.17. Expand with arguments, callbacks, preconditions, and exceptions."
