scenario,route,status,evidence_scope,requirements,evidence_tests,evidence_artifacts,runtime_provider,implementation_lane,counts_as_python_2025_rti,wrapper_only,notes
mom,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route emits MOM service-invocation report callbacks, reports MIM data for HLArequestMIMdata, reports FOM module data for HLArequestFOMmoduleData, reports object publication/subscription state for HLArequestPublications and HLArequestSubscriptions, reports object instance information and object-instance counts, reports activity counts for updates/reflections/interactions, reports synchronization points/status, proves direct synchronization registration/announce/achieved/federation-synchronized callbacks, proves explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of MOM federation-management save/restore service interactions plus MOM time-management service interactions through the direct 2025 ambassador surface, proves requestRetraction callback delivery after delivered timestamp-order receipt, round-trips 2025 switch services, emits HLAreportMOMexception for failed routed MOM actions, and routes all hosted MOM manager adjust/service command leaves with representative state and callback effects. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
mom,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-FI-001; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the MOM runtime trace through the official API compile artifact gate: service report callback delivery, FOM module data report, MIM data report, and MOM adjust interaction routing for service-reporting switches. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
mom,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-FI-001; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the MOM runtime trace through the official API compile artifact gate: service report callback delivery, FOM module data report, MIM data report, and MOM adjust interaction routing for service-reporting switches. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
mom,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-FI-001; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the MOM runtime trace: service report callback delivery, FOM module data report, MIM data report, and MOM adjust interaction routing for service-reporting switches. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
mom,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-FI-001; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the MOM runtime trace: service report callback delivery, FOM module data report, MIM data report, and MOM adjust interaction routing for service-reporting switches. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
object_exchange,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FR-003; HLA2025-FR-004; HLA2025-FI-001,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers FOM-backed publish/subscribe, passive object and interaction subscribe aliases, universal directed subscribe alias, discovery, attribute reflection, interaction receipt, and directed interaction receipt."
object_exchange,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FR-003; HLA2025-FR-004; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers passive object and interaction subscribe aliases, universal directed subscribe alias, object discovery, attribute reflection, interaction receipt, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of direct object discovery, reflection, and interaction receipt through the hosted 2025 ambassador surface, directed interaction receipt, time-managed declaration independence, selective directed set unsubscribe/unpublish, invalid attribute-publication rejection, post-unpublish object/interaction send rejection, and timestamped variants. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
object_exchange,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-BND-001; HLA2025-FI-004,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the two-federate object exchange trace through the official API compile artifact gate: subscribe, discover, publish, reflect attributes, publish/receive interaction, and unsubscribe suppression. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
object_exchange,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-BND-001; HLA2025-FI-004,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the two-federate object exchange trace through the official API compile artifact gate: subscribe, discover, publish, reflect attributes, publish/receive interaction, and unsubscribe suppression. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
object_exchange,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-BND-002; HLA2025-FI-004,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the two-federate object exchange trace: subscribe, discover, publish, reflect attributes, publish/receive interaction, and unsubscribe suppression. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
object_exchange,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-BND-002; HLA2025-FI-004,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the two-federate object exchange trace: subscribe, discover, publish, reflect attributes, publish/receive interaction, and unsubscribe suppression. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-FI-001,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers basic, negotiated, cancellation, unavailable, release-denied, and resign ownership slices, plus save/restore rollback of in-flight acquisition/divestiture state and cross-federate owner-visibility recovery."
ownership,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers unavailable acquisition, basic divest/acquire/query callbacks, non-owner update rejection, negotiated divestiture, confirm-divestiture completion, release requests, release denial, acquisition cancellation, divestiture-if-wanted, RTI-owned MOM attribute ownership query callbacks, and cancel-negotiated-offer callbacks, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the smoke save/restore ownership rollback gauntlet plus owned-attribute reacquisition rejection, non-owner divestiture rejection, unowned query callbacks, fresh acquisition notification, informed-owner query callbacks, restored in-flight ownership negotiation state, and restored cross-federate owner-visibility callbacks through the direct 2025 ambassador surface; save/restore recovery of in-flight ownership negotiation state and restored cross-federate owner-visibility callbacks are also exercised over the hosted FedPro route; resign-time divest/delete/cancel ownership policies are exercised over the FedPro route. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
ownership,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the ownership runtime trace through the official API compile artifact gate: initial ownership, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the ownership runtime trace through the official API compile artifact gate: initial ownership, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the ownership runtime trace: initially owned registered attribute, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks after transfer. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ownership,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-FR-005; HLA2025-FR-008; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the ownership runtime trace: initially owned registered attribute, unavailable acquisition while owned, unconditional divestiture, acquisition notification, and ownership query callbacks after transfer. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers federation save/restore lifecycle, rollback callback slices, callback-delivery runtime-policy preservation, plain object/interaction subscriber-routing rollback, directed DDM subscriber-routing rollback, in-flight ownership and owner-visibility rollback, time/switch-control rollback, saved lookahead recovery, transport/order policy rollback including transportation-type restore persistence, restore failure/abort plus restore-precondition/participant/status negative control flow, exact status-clear transitions back to NO_SAVE_IN_PROGRESS/NO_RESTORE_IN_PROGRESS, full initiate/save/restore callback contracts, local-delete object-known-state recovery, and pre-save queued-TSO redelivery after restore."
save_restore,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers save/restore lifecycle calls, untimed and timed initiateFederateSave callbacks, status callbacks, success/failure callbacks, abort callbacks, restore precondition/failure/abort plus restore participant/status exception control flow, post-resign callback silence for departed federates, object registry rollback, logical-time rollback, time/switch-control rollback, plain object/interaction subscriber-routing rollback, directed DDM subscriber-routing rollback, local-delete object-known-state recovery, transportation-type restore persistence, queued-TSO redelivery after restore, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of the package-owned restore-state, restore-output-resume, and pipeline-resume scenario adapter paths, and bounded radar-window state rollback. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
save_restore,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the save/restore runtime trace through the official API compile artifact gate: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the save/restore runtime trace through the official API compile artifact gate: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
save_restore,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-FI-001; HLA2025-FI-005; HLA2025-REQ-002; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the save/restore runtime trace: two-federate save initiation/status/completion, missing-restore failure, restore initiation/status/completion, logical-time rollback, and object registry rollback. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
