requirement_id,interface,method_name,python_name,document,section,section_ref,title,service_group,source_languages,source_overload_count,declared_exceptions,python_entry_point,implementation_status,verification_status,implementation_refs,positive_test_refs,negative_test_refs,artifact_refs,evidence,negative_expectation_count,negative_executed_count,verification_asset_id,known_gaps
REQ-FED-FM-4_20-federationSaved,FederateAmbassador,federationSaved,federation_saved,IEEE 1516.1-2010 (2010 edition),4.20,IEEE 1516.1-2010 (2010 edition) §4.20,Federation Saved service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_23-federationSaveStatusResponse,FederateAmbassador,federationSaveStatusResponse,federation_save_status_response,IEEE 1516.1-2010 (2010 edition),4.23,IEEE 1516.1-2010 (2010 edition) §4.23,Federation Save Status Response service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_25-requestFederationRestoreFailed,FederateAmbassador,requestFederationRestoreFailed,request_federation_restore_failed,IEEE 1516.1-2010 (2010 edition),4.25,IEEE 1516.1-2010 (2010 edition) §4.25,Confirm Federation Restoration Request service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_restore_request_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_restore_request_failure_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_restore_request_failure_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_restore_request_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_restore_request_failure_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_25-requestFederationRestoreSucceeded,FederateAmbassador,requestFederationRestoreSucceeded,request_federation_restore_succeeded,IEEE 1516.1-2010 (2010 edition),4.25,IEEE 1516.1-2010 (2010 edition) §4.25,Confirm Federation Restoration Request service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_26-federationRestoreBegun,FederateAmbassador,federationRestoreBegun,federation_restore_begun,IEEE 1516.1-2010 (2010 edition),4.26,IEEE 1516.1-2010 (2010 edition) §4.26,Federation Restore Begun service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_27-initiateFederateRestore,FederateAmbassador,initiateFederateRestore,initiate_federate_restore,IEEE 1516.1-2010 (2010 edition),4.27,IEEE 1516.1-2010 (2010 edition) §4.27,Initiate Federate Restore service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_29-federationNotRestored,FederateAmbassador,federationNotRestored,federation_not_restored,IEEE 1516.1-2010 (2010 edition),4.29,IEEE 1516.1-2010 (2010 edition) §4.29,Federation Restored service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_restore_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_restore_failure_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_restore_failure_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_restore_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_restore_failure_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_29-federationRestored,FederateAmbassador,federationRestored,federation_restored,IEEE 1516.1-2010 (2010 edition),4.29,IEEE 1516.1-2010 (2010 edition) §4.29,Federation Restored service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_32-federationRestoreStatusResponse,FederateAmbassador,federationRestoreStatusResponse,federation_restore_status_response,IEEE 1516.1-2010 (2010 edition),4.32,IEEE 1516.1-2010 (2010 edition) §4.32,Federation Restore Status Response service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_4-connectionLost,FederateAmbassador,connectionLost,connection_lost,IEEE 1516.1-2010 (2010 edition),4.4,IEEE 1516.1-2010 (2010 edition) §4.4,Connection Lost service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_8-reportFederationExecutions,FederateAmbassador,reportFederationExecutions,report_federation_executions,IEEE 1516.1-2010 (2010 edition),4.8,IEEE 1516.1-2010 (2010 edition) §4.8,Report Federation Executions service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_lifecycle_backend_matrix.py::test_python_backend_federation_listing_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_federation_listing_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_federation_lifecycle.py::run_federation_listing_scenario; tests/scenarios/test_federation_lifecycle_backend_matrix.py::test_python_backend_federation_listing_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_federation_listing_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-OM-6_11-reflectAttributeValues,FederateAmbassador,reflectAttributeValues,reflect_attribute_values,IEEE 1516.1-2010 (2010 edition),6.11,IEEE 1516.1-2010 (2010 edition) §6.11,Reflect Attribute Values service,Object Management,cpp; java,6,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_request_attribute_value_update_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_request_attribute_value_update_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_exchange.py::run_two_federate_exchange_scenario; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_request_attribute_value_update.py::run_request_attribute_value_update_scenario; tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_request_attribute_value_update_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_request_attribute_value_update_matrix,0,0,ASSET-OBJECT-MGMT-TARGET-RADAR,
REQ-FED-OM-6_13-receiveInteraction,FederateAmbassador,receiveInteraction,receive_interaction,IEEE 1516.1-2010 (2010 edition),6.13,IEEE 1516.1-2010 (2010 edition) §6.13,Receive Interaction service,Object Management,cpp; java,6,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_exchange.py::run_two_federate_exchange_scenario; tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix,0,0,ASSET-OBJECT-MGMT-TARGET-RADAR,
REQ-FED-OM-6_15-removeObjectInstance,FederateAmbassador,removeObjectInstance,remove_object_instance,IEEE 1516.1-2010 (2010 edition),6.15,IEEE 1516.1-2010 (2010 edition) §6.15,Remove Object Instance service,Object Management,cpp; java,6,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_local_delete_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_timed_delete_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_local_delete_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_timed_delete_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_exchange.py::run_two_federate_exchange_scenario; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_local_delete.py::run_local_delete_scenario; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_timed_delete.py::run_timed_delete_scenario; tests/scenarios/test_object_management_backend_matrix.py::test_python_backend_exchange_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_local_delete_matrix; tests/scenarios/test_object_management_backend_matrix.py::test_python_timed_delete_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_exchange_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_local_delete_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_timed_delete_matrix,0,0,ASSET-OBJECT-MGMT-TARGET-RADAR,
REQ-FED-OM-6_17-attributesInScope,FederateAmbassador,attributesInScope,attributes_in_scope,IEEE 1516.1-2010 (2010 edition),6.17,IEEE 1516.1-2010 (2010 edition) §6.17,Attributes In Scope service,Object Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_object_management_backend_matrix.py::test_python_object_scope_relevance_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_object_scope_relevance_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_object_scope.py::run_object_scope_relevance_scenario; tests/scenarios/test_object_management_backend_matrix.py::test_python_object_scope_relevance_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_object_scope_relevance_matrix,0,0,ASSET-OBJECT-MGMT-TARGET-RADAR,
REQ-FED-OM-6_18-attributesOutOfScope,FederateAmbassador,attributesOutOfScope,attributes_out_of_scope,IEEE 1516.1-2010 (2010 edition),6.18,IEEE 1516.1-2010 (2010 edition) §6.18,Attributes Out Of Scope service,Object Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_object_management_backend_matrix.py::test_python_object_scope_relevance_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_object_scope_relevance_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_object_scope.py::run_object_scope_relevance_scenario; tests/scenarios/test_object_management_backend_matrix.py::test_python_object_scope_relevance_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_object_scope_relevance_matrix,0,0,ASSET-OBJECT-MGMT-TARGET-RADAR,
