requirement_id,source_document,clause,canonical_topic,current_artifact_id,implementation_refs,test_refs,artifact_refs,status,notes
HLA1516.1-FM-4.15-001,IEEE 1516.1-2010,4.15,Federation Synchronized callback,HLA1516.1-FM-4.15-001,hla2010/backends/python/federation_sync.py,tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_whole_federation_synchronization_announces_late_joiner_before_completion; tests/verification/test_compliance_slice_v011.py::test_core_time_and_sync_compliance_smoke_covers_late_join_sync_and_time_controls,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level federation-synchronized callback row mapped to exact late-join success-path synchronization coverage.
HLA1516.1-FM-4.15-002,IEEE 1516.1-2010,4.15,Federation Synchronized non-emission before all participants achieve,HLA1516.1-FM-4.15-002,hla2010/backends/python/federation_sync.py,tests/verification/test_compliance_slice_v011.py::test_core_time_and_sync_compliance_smoke_covers_late_join_sync_and_time_controls,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level synchronization row mapped to explicit non-emission evidence before the late joiner achieves the whole-federation synchronization point.
HLA1516.1-FM-4.16-001,IEEE 1516.1-2010,4.16,Request Federation Save,HLA1516.1-FM-4.16-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level save request row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.17-001,IEEE 1516.1-2010,4.17,Initiate Federate Save callback,HLA1516.1-FM-4.17-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_synchronization_points_and_save_status_callbacks; tests/backends/test_python_backend_federation_extended.py::test_save_restore_lifecycle_states_are_visible_in_mom_summary; tests/verification/test_compliance_slice_v011.py::test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level initiate-save callback row mapped to exact immediate save callback delivery and scheduled-save non-emission before the requested logical time.
HLA1516.1-FM-4.18-001,IEEE 1516.1-2010,4.18,Federate Save Begun,HLA1516.1-FM-4.18-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level federate-save-begun row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.19-001,IEEE 1516.1-2010,4.19,Federate Save Complete / Not Complete,HLA1516.1-FM-4.19-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level save-completion row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.20-001,IEEE 1516.1-2010,4.20,Federation Saved / Federation Not Saved callbacks,HLA1516.1-FM-4.20-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_synchronization_points_and_save_status_callbacks; tests/backends/test_python_backend_federation_extended.py::test_save_failure_reports_federation_not_saved_and_clears_status; tests/backends/test_python_backend_federation_extended.py::test_abort_federation_save_reports_aborted_and_clears_status,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level save-outcome callback row mapped to exact success failure and aborted save outcome callbacks.
HLA1516.1-FM-4.21-001,IEEE 1516.1-2010,4.21,Abort Federation Save,HLA1516.1-FM-4.21-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level abort-save row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.22-001,IEEE 1516.1-2010,4.22,Query Federation Save Status,HLA1516.1-FM-4.22-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level query-save-status row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.23-001,IEEE 1516.1-2010,4.23,Federation Save Status Response,HLA1516.1-FM-4.23-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_synchronization_points_and_save_status_callbacks; tests/backends/test_python_backend_federation_extended.py::test_save_failure_reports_federation_not_saved_and_clears_status; tests/backends/test_python_backend_federation_extended.py::test_abort_federation_save_reports_aborted_and_clears_status,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level save-status callback row mapped to exact success failure and aborted save-status response coverage.
HLA1516.1-FM-4.24-001,IEEE 1516.1-2010,4.24,Request Federation Restore,HLA1516.1-FM-4.24-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore request row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.25-001,IEEE 1516.1-2010,4.25,Request Federation Restore Succeeded / Failed,HLA1516.1-FM-4.25-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_request_federation_restore_failed_is_reported_for_unknown_save_label; tests/backends/test_python_backend_federation_extended.py::test_restore_status_response_and_failure_callback_paths,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore-request callback row mapped to explicit success and failure confirmation callback coverage instead of the broad federation-extended suite.
HLA1516.1-FM-4.26-001,IEEE 1516.1-2010,4.26,Federation Restore Begun,HLA1516.1-FM-4.26-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_save_restore_lifecycle_states_are_visible_in_mom_summary,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore-begun callback row mapped to the exact callback and observer-state transition proof.
HLA1516.1-FM-4.27-001,IEEE 1516.1-2010,4.27,Initiate Federate Restore callback,HLA1516.1-FM-4.27-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_restore_status_response_and_failure_callback_paths; tests/backends/test_python_backend_federation_extended.py::test_save_restore_lifecycle_states_are_visible_in_mom_summary,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level initiate-restore callback row mapped to exact restore-callback delivery coverage.
HLA1516.1-FM-4.28-001,IEEE 1516.1-2010,4.28,Federate Restore Complete / Not Complete,HLA1516.1-FM-4.28-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore-completion row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.29-001,IEEE 1516.1-2010,4.29,Federation Restored / Federation Not Restored callbacks,HLA1516.1-FM-4.29-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_restore_status_response_and_failure_callback_paths; tests/backends/test_python_backend_federation_extended.py::test_abort_federation_restore_reports_aborted_and_clears_status; tests/backends/test_python_backend_federation_extended.py::test_save_restore_mom_federate_objects_persist_across_restore_cycles,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore-outcome callback row mapped to exact restored failure and aborted outcome callbacks instead of the broad federation-extended suite.
HLA1516.1-FM-4.30-001,IEEE 1516.1-2010,4.30,Abort Federation Restore,HLA1516.1-FM-4.30-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level abort-restore row mapped to explicit service validation and to the harmonized FM service decomposition.
HLA1516.1-FM-4.31-001,IEEE 1516.1-2010,4.31,Query Federation Restore Status,HLA1516.1-FM-4.31-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_query_federation_restore_status_rejects_not_connected_and_not_joined; tests/backends/test_python_backend_federation_extended.py::test_restore_status_response_and_failure_callback_paths; tests/backends/test_python_backend_federation_extended.py::test_abort_federation_restore_reports_aborted_and_clears_status; tests/backends/test_python_backend_federation_extended.py::test_request_federation_restore_failed_is_reported_for_unknown_save_label,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level query-restore-status row mapped to exact success and negative restore-status query evidence.
HLA1516.1-FM-4.32-001,IEEE 1516.1-2010,4.32,Federation Restore Status Response,HLA1516.1-FM-4.32-001,hla2010/backends/python/save_restore.py,tests/backends/test_python_backend_federation_extended.py::test_restore_status_response_and_failure_callback_paths; tests/backends/test_python_backend_federation_extended.py::test_abort_federation_restore_reports_aborted_and_clears_status; tests/backends/test_python_backend_federation_extended.py::test_request_federation_restore_failed_is_reported_for_unknown_save_label,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level restore-status callback row mapped to exact pending aborted and unknown-label response coverage.
HLA1516.1-FM-4.1.5-001,IEEE 1516.1-2010,4.1.5,Lost-federate detection and MOM reporting,HLA1516.1-FM-4.1.5-001,packages/hla-backend-python1516e/src/hla/backends/python1516e/backend.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/support_control.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/state.py,packages/hla-verification/src/hla.verification/scenario_connection_lost.py::run_connection_lost_callback_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_connection_lost_callback_matrix; packages/hla-verification/src/hla.verification/scenario_lost_federate.py::run_lost_federate_mom_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_lost_federate_mom_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_lost_federate_mom_matrix,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_priority_backend_resolution.csv; analysis/compliance/requirements_matrix_2010.csv,partial,Canonical status stays partial because the runtime split is mixed. See hla1516_1_priority_backend_resolution.csv for the explicit Python/CERTI/Pitch/Portico dispositions and owning shard command.
HLA1516.1-FM-4.1.5-002,IEEE 1516.1-2010,4.1.5,Automatic resign handling for lost federates,HLA1516.1-FM-4.1.5-002,packages/hla-backend-python1516e/src/hla/backends/python1516e/backend.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/support_control.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/state.py,packages/hla-verification/src/hla.verification/scenario_connection_lost.py::run_connection_lost_callback_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_connection_lost_callback_matrix; packages/hla-verification/src/hla.verification/scenario_lost_federate.py::run_lost_federate_mom_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_lost_federate_mom_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_lost_federate_mom_matrix,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_priority_backend_resolution.csv; analysis/compliance/requirements_matrix_2010.csv,partial,Canonical status stays partial because the runtime split is mixed. See hla1516_1_priority_backend_resolution.csv for the explicit Python/CERTI/Pitch/Portico dispositions and owning shard command.
HLA1516.1-TM-001,IEEE 1516.1-2010,Clause 8,Time Management,REQ-RTI-TM-8_2-enableTimeRegulation,hla2010/time_management.py,tests/verification/test_requirements_ledger_v013.py,analysis/compliance/requirements_ledger.csv; analysis/compliance/requirements_matrix_2010.csv,seeded,Section family seed linked to current generated time-management service rows
HLA1516.1-TM-8.1.2-003,IEEE 1516.1-2010,8.1.2,Receive-order messages are not converted into received TSO messages,HLA1516.1-TM-8.1.2-003,packages/hla-backend-python1516e/src/hla/backends/python1516e/time_validation.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/object_delivery_attributes.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/object_delivery_interactions.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/time_queue_delivery.py; packages/hla-backend-common/src/hla/backends/common/time_management.py,packages/hla-verification/src/hla.verification/section8_matrix.py::run_section8_order_override_case; tests/time/test_section8_backend_matrix.py::test_section8_backend_matrix_order_override_services; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_section8_order_override_services_matrix; tests/vendors/test_certi_real_backend_time_matrix.py::test_certi_backend_section8_order_override_matrix,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_priority_backend_resolution.csv; analysis/compliance/requirements_matrix_2010.csv,partial,Canonical status stays partial because the runtime split is mixed. See hla1516_1_priority_backend_resolution.csv for the explicit Python/CERTI/Pitch/Portico dispositions and owning shard command.
HLA1516.1-TM-8.2-001,IEEE 1516.1-2010,8.2,Enable Time Regulation,HLA1516.1-TM-8.2-001,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; analysis/compliance/requirements_ledger.csv,mapped,Clause-level extraction row mapped to explicit enable-time-regulation service success and negative-path evidence
HLA1516.1-TM-8.2-002,IEEE 1516.1-2010,8.2,timeRegulationEnabled callback,HLA1516.1-TM-8.2-002,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_time_ddm_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit success-path timeRegulationEnabled callback evidence
HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,timeRegulationEnabled non-emission on failure,HLA1516.1-TM-8.2-003,hla2010/backends/python/time_services.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit non-emission evidence for failed Enable Time Regulation requests
HLA1516.1-TM-8.5-001,IEEE 1516.1-2010,8.5,Enable Time Constrained,HLA1516.1-TM-8.5-001,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level extraction row mapped to explicit enable-time-constrained service evidence
HLA1516.1-TM-8.5-002,IEEE 1516.1-2010,8.5,timeConstrainedEnabled callback,HLA1516.1-TM-8.5-002,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_time_ddm_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit success-path timeConstrainedEnabled callback evidence
HLA1516.1-TM-8.5-003,IEEE 1516.1-2010,8.5,timeConstrainedEnabled non-emission on failure,HLA1516.1-TM-8.5-003,hla2010/backends/python/time_services.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit non-emission evidence for failed Enable Time Constrained requests
HLA1516.1-TM-8.8-001,IEEE 1516.1-2010,8.8,Time Advance Request,HLA1516.1-TM-8.8-001,hla2010/backends/python/time_services.py; hla2010/backends/python/time_queue.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_time_ddm_extended.py; tests/time/test_time_management_algorithms.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level extraction row mapped to explicit TAR service success and negative-path evidence; now includes focused algorithm proof for strict versus inclusive GALT-bound grant behavior
HLA1516.1-TM-8.8-002,IEEE 1516.1-2010,8.8,Time Advance Grant callback,HLA1516.1-TM-8.8-002,hla2010/backends/python/time_queue.py,tests/time/test_mom_mim_and_time_semantics_v010.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit success-path Time Advance Grant evidence
HLA1516.1-TM-8.8-003,IEEE 1516.1-2010,8.8,Time Advance Grant non-emission before eligibility,HLA1516.1-TM-8.8-003,hla2010/backends/python/time_queue.py,tests/time/test_mom_mim_time_v10.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level callback row mapped to explicit non-emission evidence before a time advance becomes grant-eligible
HLA1516.1-TM-8.16-001,IEEE 1516.1-2010,8.16,Query GALT,HLA1516.1-TM-8.16-001,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_time_v10.py; tests/backends/test_python_backend_time_ddm_extended.py; tests/time/test_time_management_algorithms.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; docs/backend_conformance_matrix.md; docs/rti_options_and_test_matrix.md,mapped,Clause-level extraction row mapped to explicit Query GALT success and negative-path evidence; now includes focused algorithm proof for valid and invalid GALT computation; vendor note: Python and hosted Python RTI cover the intended local semantics; patched CERTI remains partial on the promoted time-query slice; Pitch does not yet have a promoted Query GALT clause proof
HLA1516.1-TM-8.17-001,IEEE 1516.1-2010,8.17,Query Logical Time,HLA1516.1-TM-8.17-001,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_and_time_semantics_v010.py; tests/backends/test_python_backend_time_ddm_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level extraction row mapped to explicit Query Logical Time success and negative-path evidence
HLA1516.1-TM-8.18-001,IEEE 1516.1-2010,8.18,Query LITS,HLA1516.1-TM-8.18-001,hla2010/backends/python/time_services.py,tests/time/test_mom_mim_time_v10.py; tests/backends/test_python_backend_time_ddm_extended.py; tests/time/test_time_management_algorithms.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; analysis/compliance/requirements_ledger.csv; docs/backend_conformance_matrix.md; docs/rti_options_and_test_matrix.md,mapped,Clause-level extraction row mapped to explicit Query LITS success and negative-path evidence; now includes focused algorithm proof for LITS computation from GALT and queued timestamp-order messages; vendor note: Python and hosted Python RTI cover the intended local semantics; patched CERTI remains partial on the promoted time-query slice; Pitch does not yet have a promoted Query LITS clause proof
HLA1516.1-TM-8.19-001,IEEE 1516.1-2010,8.19,Modify Lookahead,HLA1516.1-TM-8.19-001,hla2010/backends/python/time_services.py,tests/time/test_lookahead_backend_matrix.py; tests/time/test_mom_mim_and_time_semantics_v010.py; tests/time/test_time_management_algorithms.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv,mapped,Clause-level extraction row mapped to explicit modify-lookahead success and negative-path evidence; now includes focused algorithm proof for lookahead lower-bound computation on current and pending logical time
HLA1516.1-OWN-001,IEEE 1516.1-2010,Clause 7,Ownership Management,HLA1516.1-OWN-001,hla2010/backends/python/ownership.py; hla2010/backends/python/object.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_federate_interface.csv; requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,seeded,Ownership family seed now linked to the focused Clause 7 extraction tranche
HLA1516.1-OWN-7.1-001,IEEE 1516.1-2010,7.1,Attribute ownership tracking,HLA1516.1-OWN-7.1-001,hla2010/backends/python/ownership.py; hla2010/backends/python/state.py,tests/backends/test_python_backend_time_ddm_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Ownership state is evidenced through explicit owner transfer and query behavior
HLA1516.1-OWN-7.1-002,IEEE 1516.1-2010,7.1,Single owner per attribute,HLA1516.1-OWN-7.1-002,hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Negotiated transfer evidence shows one winning owner for a single attribute at a time
HLA1516.1-OWN-7.1-003,IEEE 1516.1-2010,7.1,Owned-attribute update restriction,HLA1516.1-OWN-7.1-003,hla2010/backends/python/object.py; hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Negative update-path coverage proves non-owners are rejected
HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,Unconditional divestiture,HLA1516.1-OWN-7.2-001,hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Unconditional divestiture path is directly exercised and validated
HLA1516.1-OWN-7.3-001,IEEE 1516.1-2010,7.3,Negotiated divestiture,HLA1516.1-OWN-7.3-001,hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv; docs/backend_conformance_matrix.md; docs/rti_options_and_test_matrix.md; docs/certi_negotiated_ownership_findings.md; docs/evidence/pitch_negotiated_ownership_vendor_bug_2026-06-07.md,mapped,Negotiated ownership flow is covered end to end on the Python reference path; vendor note: current CERTI runs remain partial and current Pitch runs are bridge-divergent or blocked on the promoted negotiated-ownership slice
HLA1516.1-OWN-7.4-001,IEEE 1516.1-2010,7.4,Divestiture request notification,HLA1516.1-OWN-7.4-001,hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Callbacks for assumption and release requests provide the Clause 7.4 notification evidence
HLA1516.1-OWN-7.5-001,IEEE 1516.1-2010,7.5,Attribute ownership acquisition,HLA1516.1-OWN-7.5-001,hla2010/backends/python/ownership.py,tests/backends/test_python_backend_object_ownership_extended.py,requirements/2010/hla1516_1_priority_clauses_7_9_10.csv,mapped,Standard acquisition path is exercised through negotiated transfer scenarios
