packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,source_detail,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.2-OMT-4_11-SEM-011,HLA1516.2-URATE-4.11-001;HLA1516.2-URATE-4.11-002;HLA1516.2-URATE-4.11-003;HLA1516.2-URATE-4.11-004;HLA1516.2-URATE-4.11-005,IEEE 1516.2-2010,4.11,OMT-UPDATERATE,omt_clause_detail,IEEE 1516.2 clause 4.11,OMT parser shall capture update rate designators referenced by attributes and support services.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_update_rate_names;tests/factories/test_fom_omt_parsing.py::test_support_update_rate_lookup_for_attribute_reflects_subscribed_rate;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_undefined_update_rate_reference,mapped,omt.update_rates,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_12-SEM-012,HLA1516.2-SWITCH-4.12-001;HLA1516.2-SWITCH-4.12-002;HLA1516.2-SWITCH-4.12-003,IEEE 1516.2-2010,4.12,OMT-SWITCHES,omt_clause_detail,IEEE 1516.2 clause 4.12,OMT parser shall capture switch definitions and default switch state metadata.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_switch_definition,mapped,omt.switches,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_13-SEM-013,HLA1516.2-DT-4.13-001;HLA1516.2-DT-4.13-002;HLA1516.2-DT-4.13-003;HLA1516.2-DT-4.13-004;HLA1516.2-DT-4.13-005;HLA1516.2-DT-4.13-006;HLA1516.2-DT-4.13-010;HLA1516.2-DT-4.13-011;HLA1516.2-DT-4.13-012;HLA1516.2-DT-4.13-020;HLA1516.2-DT-4.13-021;HLA1516.2-DT-4.13-022;HLA1516.2-DT-4.13-023;HLA1516.2-DT-4.13-024;HLA1516.2-DT-4.13-030;HLA1516.2-DT-4.13-031;HLA1516.2-DT-4.13-032;HLA1516.2-DT-4.13-033;HLA1516.2-DT-4.13-034;HLA1516.2-DT-4.13-040;HLA1516.2-DT-4.13-041;HLA1516.2-DT-4.13-042;HLA1516.2-DT-4.13-043;HLA1516.2-DT-4.13-044;HLA1516.2-DT-4.13-050;HLA1516.2-DT-4.13-051;HLA1516.2-DT-4.13-052;HLA1516.2-DT-4.13-053;HLA1516.2-DT-4.13-054,IEEE 1516.2-2010,4.13,OMT-DATATYPES-BASIC,omt_clause_detail,IEEE 1516.2 clause 4.13,"OMT parser shall support basic, simple, enumerated, array, fixed record, and variant record datatypes.",parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_datatype_names;tests/factories/test_fom_omt_parsing.py::test_parse_standard_mim_xml_extracts_structured_datatype_definitions;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_identification_names_and_reference_datatypes;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unresolved_simple_array_fixed_and_variant_datatype_references;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unresolved_array_and_fixed_record_datatype_references;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unresolved_variant_record_datatype_references;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_enumerated_datatype_names;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_enumeration_values;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_invalid_fixed_array_cardinality;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_variant_record_mappings_and_rejects_duplicate_alternatives,mapped,omt.datatypes,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_14-SEM-014,HLA1516.2-NOTE-4.14-001;HLA1516.2-NOTE-4.14-002;HLA1516.2-NOTE-4.14-003,IEEE 1516.2-2010,4.14,OMT-NOTES,omt_clause_detail,IEEE 1516.2 clause 4.14,OMT parser shall preserve notes and non-semantic documentation fields through round trip serialization.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped,omt.notes,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-5-SEM-015,HLA1516.2-OMT-5-001,IEEE 1516.2-2010,5,OMT-LEXICON,omt_clause_detail,IEEE 1516.2 clause 5,OMT implementation shall maintain a FOM/SOM lexicon mapping OMT terms to parsed data structures and validation rules.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,omt.lexicon,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-6-SEM-016,HLA1516.2-OMT-6-001,IEEE 1516.2-2010,6,OMT-CONFORMANCE,omt_clause_detail,IEEE 1516.2 clause 6,"OMT implementation shall distinguish conformant, schema-valid, semantically valid, and implementation-supported object model artifacts.",parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,omt.conformance,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-7-SEM-017,HLA1516.2-OMT-7-001;HLA1516.2-OMT-7-002;HLA1516.2-MERGE-7-001;HLA1516.2-MERGE-7-002;HLA1516.2-MERGE-7.0-001;HLA1516.2-MERGE-7.0-002;HLA1516.2-MERGE-7.0-003;HLA1516.2-MERGE-7.0-004;HLA1516.2-MERGE-7.0-005;HLA1516.2-MERGE-7.0-006;HLA1516.2-MERGE-7.0-007;HLA1516.2-MERGE-7.0-008,IEEE 1516.2-2010,7,OMT-MERGE,omt_clause_detail,IEEE 1516.2 clause 7,FOM/SOM module merger shall combine compatible modules and reject incompatible duplicate or conflicting definitions.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors;tests/factories/test_fom_omt_parsing.py::test_strict_fom_loading_discovers_bundled_fom_and_rejects_unknown_names;tests/factories/test_fom_omt_parsing.py::test_join_fom_time_conflict_is_transactional;tests/factories/test_fom_omt_parsing.py::test_create_federation_execution_with_explicit_mim_uses_requested_module;tests/factories/test_fom_omt_parsing.py::test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped,omt.merge,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-Annex_B-SEM-018,,IEEE 1516.2-2010,Annex B,OMT-NORMALIZATION,omt_clause_detail,IEEE 1516.2 clause Annex B,DDM dimension processing shall support common normalization-function definitions where referenced by object models.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_preserves_dimension_normalization_metadata;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document,partial,omt.normalization_functions,hla_1516_omt_xml_detailed_requirements_v1_0.csv,Current repo-native evidence now directly proves parser/schema recognition and preservation of dimension normalization metadata, but not full executable runtime normalization semantics for DDM routing values.
HLA1516.2-OMT-Annex_C-SEM-019,HLA1516.2-MERGE-PRINCIPLES-031;HLA1516.2-OMT-OMT_NORM_MERGING_PRINCIPLES-028,IEEE 1516.2-2010,Annex C,OMT-MERGE-PRINCIPLES,omt_clause_detail,IEEE 1516.2 clause Annex C,"FOM/SOM module merger shall apply module-merging principles consistently for class hierarchies, datatypes, dimensions, and metadata.",parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_merge_fom_modules_applies_normative_merging_principles_for_compatible_and_incompatible_inputs,mapped,omt.merge_principles,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current merge-principles tests directly prove compatible module composition and rejection of conflicting datatype and logical-time definitions, which is the repo-native execution surface for the Annex C merge-principles statement."
HLA1516.2-OMT-Annex_D-SEM-020,HLA1516.2-MIM-D-001;HLA1516.2-XML-D-001;HLA1516.2-XML-D-002;HLA1516.2-XML-D-003,IEEE 1516.2-2010,Annex D,OMT-DIF,omt_clause_detail,IEEE 1516.2 clause Annex D,OMT XML interchange processor shall support DIF-formatted object model documents for data interchange and round-trip validation.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_mom_request_mim_data_reports_bundled_mim_payload;tests/factories/test_fom_omt_parsing.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors;tests/factories/test_fom_omt_parsing.py::test_java_overload_resolution_and_converter_prepare_vendor_owned_collections;tests/factories/test_fom_omt_parsing.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped,omt.dif,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-Annex_E-SEM-021,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-002;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-E-001,IEEE 1516.2-2010,Annex E,OMT-XSD,omt_clause_detail,IEEE 1516.2 clause Annex E,OMT XML interchange processor shall validate object model documents against the official OMT XML schema artifacts.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped,omt.xsd,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-Annex_F-SEM-022,HLA1516.2-OMT-F-001,IEEE 1516.2-2010,Annex F,OMT-SOM-FIXTURE,omt_clause_detail,IEEE 1516.2 clause Annex F,SOM example artifacts should be maintained as parser regression fixtures.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,mapped,omt.examples,hla_1516_omt_xml_detailed_requirements_v1_0.csv,Current repo-native parser fixtures treat the standard SOM example artifact as a schema-validated regression input.
HLA1516.2-OMT-Annex_G-SEM-023,HLA1516.2-OMT-G-001,IEEE 1516.2-2010,Annex G,OMT-FOM-FIXTURE,omt_clause_detail,IEEE 1516.2 clause Annex G,FOM example artifacts should be maintained as parser regression fixtures.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,mapped,omt.examples,hla_1516_omt_xml_detailed_requirements_v1_0.csv,Current repo-native parser fixtures treat the standard FOM example artifact as a schema-validated regression input.
HLA1516.2-XML-SCHEMA-ELEM-0001,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=objectModel; type_or_kind=objectModelType; minOccurs=; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'objectModel' in the OMT schema with declared type/reference objectModelType.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
HLA1516.2-XML-SCHEMA-ELEM-0002,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=modelIdentification; type_or_kind=modelIdentificationType; minOccurs=; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'modelIdentification' in the OMT schema with declared type/reference modelIdentificationType.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
HLA1516.2-XML-SCHEMA-ELEM-0003,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=serviceUtilization; type_or_kind=serviceUtilizationType; minOccurs=0; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'serviceUtilization' in the OMT schema with declared type/reference serviceUtilizationType and occurrence bounds min=0 max=default.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
HLA1516.2-XML-SCHEMA-ELEM-0004,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=objects; type_or_kind=objectsType; minOccurs=; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'objects' in the OMT schema with declared type/reference objectsType.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
HLA1516.2-XML-SCHEMA-ELEM-0005,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=interactions; type_or_kind=interactionsType; minOccurs=; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'interactions' in the OMT schema with declared type/reference interactionsType.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
HLA1516.2-XML-SCHEMA-ELEM-0006,HLA1516.2-OMT-E-001;HLA1516.2-XML-ANNEX-001;HLA1516.2-XML-ANNEX-003;HLA1516.2-XML-ANNEX-004;HLA1516.2-XML-ANNEX-005;HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D/E,XML-SCHEMA-ELEMENTS,xsd_element_detail,schema=OMT; category=element; name=dimensions; type_or_kind=dimensionsType; minOccurs=; maxOccurs=; ref_or_mixed=,OMT/FDD/DIF XML processor shall recognize schema element 'dimensions' in the OMT schema with declared type/reference dimensionsType.,XML schema validation/static test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,partial,omt.xml_schema.validation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native XML/schema tests validate family-level Annex D/E conformance and semantic round-trip behavior, but do not treat each imported XSD element or type as its own direct curated requirement."
