requirement_id,parent_requirement_id,standard,clause,service_group,service,decomposition_kind,requirement_text,source_type,implementation_area,linked_methods,verification_method,test_id,status,notes
HLA1516.1-FM-4.5-TEST-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,TEST,"Create Federation Execution shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.create_federation_execution,createFederationExecution;createFederationExecutionWithMIM,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.6-SIG-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,SIG,RTI shall provide the Destroy Federation Execution service.,seeded-decomposition,federation_lifecycle,destroyFederationExecution,api surface + service verification,test_destroy_federation_execution_requires_no_joined_federates,mapped,The coarse 4.6 row is now split into distinct behavioral slices.
HLA1516.1-FM-4.6-PRE-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,PRE,Destroy Federation Execution shall require a connected ambassador and a target federation execution that has no currently joined federates.,seeded-decomposition,federation_lifecycle,destroyFederationExecution,negative service tests,test_destroy_federation_execution_requires_no_joined_federates,mapped,Missing-federation and joined-federates guards are both implemented.
HLA1516.1-FM-4.6-EFF-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,EFF,Successful Destroy Federation Execution shall remove the target federation execution from the RTI federation catalog.,seeded-decomposition,federation_lifecycle,destroyFederationExecution,stateful integration test,test_destroy_federation_execution_requires_no_joined_federates,mapped,The current test asserts the federation record is removed from engine state.
HLA1516.1-FM-4.6-CB-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,CB,"After successful destruction, callback-based federation listing shall no longer report the destroyed federation execution.",seeded-decomposition,federation_lifecycle,destroyFederationExecution;listFederationExecutions,callback and integration test,test_destroy_federation_execution_removes_destroyed_federation_from_report_callback,mapped,Directly asserts destroyed federations disappear from subsequent Report Federation Executions callbacks.
HLA1516.1-FM-4.6-EXC-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,EXC,Destroy Federation Execution shall report FederatesCurrentlyJoined when members remain and FederationExecutionDoesNotExist when the target federation is unknown.,seeded-decomposition,federation_lifecycle,destroyFederationExecution,negative service tests,test_destroy_federation_execution_requires_no_joined_federates,mapped,The two principal destroy guards are already separated in the test suite.
HLA1516.1-FM-4.6-MOM-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,MOM,Successful destruction should remove the destroyed federation from subsequent MOM-visible federation state and reports.,seeded-decomposition,mom_reporting,destroyFederationExecution,observer verification slice,test_destroy_federation_execution_removes_destroyed_federation_from_report_callback,mapped,Subsequent federation-execution reporting no longer includes the destroyed federation as observer-facing state.
HLA1516.1-FM-4.6-TEST-001,HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,Destroy Federation Execution,TEST,"Destroy Federation Execution shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.destroy_federation_execution,destroyFederationExecution,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.9-SIG-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,SIG,"RTI shall provide the Join Federation Execution service, including the overload shapes that accept generated federate names and optional additional FOM modules.",seeded-decomposition,federation_lifecycle,joinFederationExecution,api surface + service verification,test_requirements_ledger_covers_generated_api_surface,mapped,Current Python API supports the common join call shapes used by the backend.
HLA1516.1-FM-4.9-PRE-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,PRE,"Join Federation Execution shall require a connected ambassador that is not already joined, an existing federation execution, a non-conflicting federate name, and no save or restore already in progress for the federation.",seeded-decomposition,federation_lifecycle,joinFederationExecution,negative service tests,test_join_federation_execution_rejects_save_and_restore_in_progress,mapped,The repo already exercises the main join preconditions through dedicated negative tests.
HLA1516.1-FM-4.9-EFF-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,EFF,"Successful Join Federation Execution shall allocate a federate handle, bind the federate to the target federation, initialize logical time and lookahead state, merge any accepted additional FOM modules, and register the federate in the federation state.",seeded-decomposition,federation_lifecycle,joinFederationExecution,stateful integration test,tests/backends/test_python_backend_federation_extended.py::test_join_federation_execution_applies_full_effect_vector,mapped,Direct lifecycle witness now asserts joined handle allocation federation binding initial logical time and lookahead additional FOM-module merge and federation membership registration.
HLA1516.1-FM-4.9-CB-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,CB,Successful Join Federation Execution shall trigger delivery of any open synchronization-point announcements relevant to the joiner and enable subsequent callback delivery for joined participation.,seeded-decomposition,synchronization,joinFederationExecution,callback and integration test,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped,Late-join synchronization announcement behavior is already verified.
HLA1516.1-FM-4.9-EXC-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,EXC,"Join Federation Execution shall distinguish not-connected, missing-federation, duplicate-federate-name, already-joined, save-in-progress, restore-in-progress, FOM-open, FOM-read, invalid-time-factory, and inconsistent-FOM failures.",seeded-decomposition,federation_lifecycle,joinFederationExecution,negative exception matrix,test_join_federation_execution_distinguishes_open_read_time_and_inconsistent_additional_fom_errors,mapped,The current suite already treats join failures as distinct exception requirements.
HLA1516.1-FM-4.9-MOM-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,MOM,Successful Join Federation Execution shall create or refresh the joined federate's MOM-visible federate object and refresh MOM federation state.,seeded-decomposition,mom_reporting,joinFederationExecution,observer verification slice,test_mom_runtime_uses_no_hidden_rti_side_subscriptions,mapped,MOM federate-object creation and joined-state visibility are already observable.
HLA1516.1-FM-4.9-TEST-001,HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,Join Federation Execution,TEST,"Join Federation Execution shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.join_federation_execution,joinFederationExecution,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.10-SIG-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,SIG,RTI shall provide the Resign Federation Execution service.,seeded-decomposition,federation_lifecycle,resignFederationExecution,api surface + service verification,test_resign_federation_execution_rejects_not_connected_and_not_joined,mapped,The coarse resign row is decomposed into subrequirements for implementation and evidence.
HLA1516.1-FM-4.10-PRE-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,PRE,Resign Federation Execution shall require a connected ambassador that is currently joined and shall validate ownership and pending-acquisition conditions against the selected resign action.,seeded-decomposition,federation_lifecycle,resignFederationExecution,negative service tests,test_resign_federation_execution_rejects_pending_acquisition,mapped,"The current backend enforces joined-state, ownership, and acquisition preconditions."
HLA1516.1-FM-4.10-EFF-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,EFF,"Successful Resign Federation Execution shall remove the federate from federation membership, remove or divest owned objects as directed by the resign action, remove synchronization-point participation, refresh time advancement processing, and clear local publication and subscription state.",seeded-decomposition,federation_lifecycle,resignFederationExecution,stateful integration test,tests/backends/test_python_backend_federation_extended.py::test_resign_federation_execution_applies_full_effect_vector,mapped,Direct lifecycle witness now asserts resign removes federation membership deletes owned objects for the selected directive drops synchronization-point participation processes a blocked time advance and clears local declaration and region state.
HLA1516.1-FM-4.10-CB-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,CB,"After successful resignation, the resigned federate shall no longer receive federation-participation callbacks as a joined member.",seeded-decomposition,callback_control,resignFederationExecution,integration test,test_resign_federation_execution_stops_joined_member_callbacks,mapped,Directly asserts a resigned federate stops receiving subsequent federation save callbacks while remaining connected.
HLA1516.1-FM-4.10-EXC-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,EXC,"Resign Federation Execution shall distinguish not-connected, not-joined, invalid-resign-action, owns-attributes, and ownership-acquisition-pending failures.",seeded-decomposition,federation_lifecycle,resignFederationExecution,negative exception matrix,test_resign_federation_execution_rejects_invalid_action_and_owned_attributes,mapped,The negative-path suite already covers the principal resign exception families.
HLA1516.1-FM-4.10-MOM-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,MOM,Successful Resign Federation Execution shall remove the resigned federate's MOM federate object and refresh MOM federation state for the remaining federation members.,seeded-decomposition,mom_reporting,resignFederationExecution,observer verification slice,test_resign_federation_execution_removes_mom_federate_object_and_refreshes_summary,mapped,Directly asserts resign removes the MOM federate object and refreshes observer-visible MOM summary state.
HLA1516.1-FM-4.10-TEST-001,HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,Resign Federation Execution,TEST,"Resign Federation Execution shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.resign_federation_execution,resignFederationExecution,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.11-SIG-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,SIG,RTI shall provide the Register Federation Synchronization Point.,seeded-decomposition,synchronization,registerFederationSynchronizationPoint,api surface + service verification,test_register_federation_synchronization_point_rejects_not_connected_and_not_joined,mapped,Generated decomposition row anchored to parent requirement HLA1516.1-FM-4.11-001.
HLA1516.1-FM-4.11-PRE-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,PRE,"Register Federation Synchronization Point shall require the caller to satisfy the connected, joined, and in-progress state guards applicable to clause 4.11.",seeded-decomposition,synchronization,registerFederationSynchronizationPoint,negative service test,test_register_federation_synchronization_point_rejects_not_connected_and_not_joined,mapped,Generated precondition slice for clause 4.11 based on the existing engineering seed row.
HLA1516.1-FM-4.11-EFF-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,EFF,Successful Register Federation Synchronization Point processing shall record the synchronization label targets and announcement state so the point becomes visible to subsequent synchronization callbacks.,seeded-decomposition,synchronization,registerFederationSynchronizationPoint,stateful integration test,test_synchronization_lifecycle_states_are_visible_in_mom_summary,mapped,Direct synchronization lifecycle witness now proves registration installs the label target set announced set and open-to-late-joiners state used by later synchronization callbacks.
HLA1516.1-FM-4.11-CB-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,CB,"Register Federation Synchronization Point shall trigger the clause-defined success, failure, or status callbacks to the appropriate federates.",seeded-decomposition,synchronization,registerFederationSynchronizationPoint,callback and integration test,test_register_federation_synchronization_point_rejects_not_connected_and_not_joined,mapped,Generated callback-delivery slice for clause 4.11 tied to the current callback evidence.
HLA1516.1-FM-4.11-EXC-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,EXC,Register Federation Synchronization Point shall distinguish the clause-defined failure modes instead of collapsing them into generic RTIinternalError behavior.,seeded-decomposition,synchronization,registerFederationSynchronizationPoint,negative exception matrix,test_register_federation_synchronization_point_rejects_not_connected_and_not_joined,mapped,Generated failure-category slice for clause 4.11 tied to current negative-path or callback-outcome coverage.
HLA1516.1-FM-4.11-MOM-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,MOM,"Register Federation Synchronization Point effects should remain visible through observer-facing federation status, reporting, or MOM-adjacent state where the implementation exposes such information.",seeded-decomposition,synchronization,registerFederationSynchronizationPoint,observer verification slice,test_synchronization_lifecycle_states_are_visible_in_mom_summary,mapped,Observer summary now exposes synchronization_labels and per-point state immediately after registration.
HLA1516.1-FM-4.11-TEST-001,HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,Register Federation Synchronization Point,TEST,"Register Federation Synchronization Point shall be covered by direct service or callback tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,synchronization,registerFederationSynchronizationPoint,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_synchronization_end_to_end;test_rest_transport_can_host_python_rti_synchronization_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST synchronization replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.12-SIG-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,SIG,RTI shall deliver the federation synchronization point registration success or failure.,seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,callback surface verification,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures,mapped,Generated decomposition row anchored to parent requirement HLA1516.1-FM-4.12-001.
HLA1516.1-FM-4.12-PRE-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,PRE,The Synchronization Point Registration callbacks requirement shall apply only when the synchronization or save/restore preconditions for clause 4.12 are satisfied.,seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,callback trigger test,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures,mapped,Generated precondition slice for clause 4.12 based on the existing engineering seed row.
HLA1516.1-FM-4.12-EFF-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,EFF,Synchronization Point Registration callbacks shall report successful fresh-label registration and failed duplicate-label or invalid-target registration without mutating the established synchronization-point state.,seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,callback and integration test,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures;test_synchronization_lifecycle_states_are_visible_in_mom_summary,mapped,Direct callback witnesses now prove fresh-label registration succeeds while duplicate-label and invalid-target attempts fail without replacing the already established synchronization point state.
HLA1516.1-FM-4.12-CB-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,CB,The Synchronization Point Registration callbacks callback shall be delivered to the appropriate federates with the clause-defined payload and timing semantics.,seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,callback and integration test,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures,mapped,Generated callback-delivery slice for clause 4.12 tied to the current callback evidence.
HLA1516.1-FM-4.12-EXC-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,EXC,Synchronization Point Registration callbacks shall distinguish successful registration from duplicate-label and invalid-target failure reasons through separate succeeded and failed callback payloads.,seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,callback outcome matrix,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures,mapped,Direct callback-outcome witness now proves the repo surfaces succeeded callbacks separately from failed callbacks carrying label-not-unique and synchronization-set-member-not-joined reasons.
HLA1516.1-FM-4.12-MOM-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,MOM,"Synchronization Point Registration callbacks effects should remain visible through observer-facing federation status, reporting, or MOM-adjacent state where the implementation exposes such information.",seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,observer verification slice,test_synchronization_lifecycle_states_are_visible_in_mom_summary,mapped,Registration callbacks now align with observer-visible synchronization point creation and announcement state in the summary.
HLA1516.1-FM-4.12-TEST-001,HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,Synchronization Point Registration callbacks,TEST,"Synchronization Point Registration callbacks shall be covered by direct service or callback tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,synchronization,synchronizationPointRegistrationSucceeded;synchronizationPointRegistrationFailed,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_synchronization_end_to_end;test_rest_transport_can_host_python_rti_synchronization_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST synchronization replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.13-SIG-001,HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,FM,Announce Synchronization Point,SIG,RTI shall announce synchronization points to the appropriate federates.,seeded-decomposition,synchronization,announceSynchronizationPoint,callback surface verification,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped,Generated decomposition row anchored to parent requirement HLA1516.1-FM-4.13-001.
HLA1516.1-FM-4.13-PRE-001,HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,FM,Announce Synchronization Point,PRE,The Announce Synchronization Point requirement shall apply only when the synchronization or save/restore preconditions for clause 4.13 are satisfied.,seeded-decomposition,synchronization,announceSynchronizationPoint,callback trigger test,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped,Generated precondition slice for clause 4.13 based on the existing engineering seed row.
HLA1516.1-FM-4.13-EFF-001,HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,FM,Announce Synchronization Point,EFF,Announce Synchronization Point shall deliver the registered synchronization label and tag to late joiners before federation completion for open whole-federation synchronization points.,seeded-decomposition,synchronization,announceSynchronizationPoint,callback and integration test,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped,Direct late-join synchronization witness now proves a joined-late federate receives the announced label and tag before the federation synchronized callback completes.
HLA1516.1-FM-4.13-CB-001,HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,FM,Announce Synchronization Point,CB,The Announce Synchronization Point callback shall be delivered to the appropriate federates with the clause-defined payload and timing semantics.,seeded-decomposition,synchronization,announceSynchronizationPoint,callback and integration test,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped,Generated callback-delivery slice for clause 4.13 tied to the current callback evidence.
