master_requirement_id,standard,clause,capability,feature,master_requirement_type,harmonization_status,harmonization_source_file,curated_requirement_id,current_test_id,implementation_area,notes
HLA1516-FW-5_2-DET-001,IEEE 1516-2010,5.2,CAP-FW,FW-OBJECT-STATE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,framework.rules,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_2-DET-002,IEEE 1516-2010,5.2,CAP-FW,FW-OBJECT-STATE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,framework.rules,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_2-DET-003,IEEE 1516-2010,5.2,CAP-FW,FW-OBJECT-STATE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,framework.rules,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-RULE_2_FEDERATE_STATE-006,IEEE 1516-2010,5.2,CAP-FW,RULE-2-FEDERATE-STATE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-MOM-11.4-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,rti.state_model,"Current ownership and MOM slices support the architectural direction of Rule 2, but not every implied state-model consequence is directly isolated today."
HLA1516-RULE-002,IEEE 1516-2010,5.2,CAP-FW,FW-OBJECT-STATE,SVC,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,rti.state_model,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_3-DET-001,IEEE 1516-2010,5.3,CAP-FW,FW-DATA-EXCHANGE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,framework.rules,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-5_3-DET-002,IEEE 1516-2010,5.3,CAP-FW,FW-DATA-EXCHANGE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,framework.rules,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-5_3-DET-003,IEEE 1516-2010,5.3,CAP-FW,FW-DATA-EXCHANGE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,framework.rules,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-5_3-DET-004,IEEE 1516-2010,5.3,CAP-FW,FW-DATA-EXCHANGE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,framework.rules,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-RULE_3_RTI_EXCHANGE-007,IEEE 1516-2010,5.3,CAP-FW,RULE-3-RTI-EXCHANGE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,rti.services,"RTI-mediated exchange is directly exercised, but this framework rule remains broader than the current clause-level exchange witnesses."
HLA1516-RULE-003,IEEE 1516-2010,5.3,CAP-FW,FW-DATA-EXCHANGE,SVC,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,rti.transport,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-5_4-DET-001,IEEE 1516-2010,5.4,CAP-FW,FW-INTERFACE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-004;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_7_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings,framework.rules,"The standard federate interface surface is strongly represented by signature audits, but the imported framework statements cover the whole IEEE 1516.1 behavioral contract and remain broader than the current direct proof set."
HLA1516-FW-5_4-DET-002,IEEE 1516-2010,5.4,CAP-FW,FW-INTERFACE,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-004;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_7_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings,framework.rules,"The standard federate interface surface is strongly represented by signature audits, but the imported framework statements cover the whole IEEE 1516.1 behavioral contract and remain broader than the current direct proof set."
HLA1516-FW-RULE_4_INTERFACE-008,IEEE 1516-2010,5.4,CAP-FW,RULE-4-INTERFACE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-004;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings,rti.interface,"Current API-surface audits prove substantial standard-interface coverage, but Rule 4 remains broader than the present clause-by-clause executable witnesses."
HLA1516-RULE-004,IEEE 1516-2010,5.4,CAP-FW,FW-INTERFACE,SVC,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-004;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_7_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings,rti.interface,"The standard federate interface surface is strongly represented by signature audits, but the imported framework statements cover the whole IEEE 1516.1 behavioral contract and remain broader than the current direct proof set."
HLA1516-FW-5_5-DET-001,IEEE 1516-2010,5.5,CAP-FW,FW-OWNERSHIP,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-005;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-OWN-7.10-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,framework.rules,Current ownership-management runtime and callback evidence directly covers single-owner semantics and dynamic acquisition/divestiture support.
HLA1516-FW-5_5-DET-002,IEEE 1516-2010,5.5,CAP-FW,FW-OWNERSHIP,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-005;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-OWN-7.10-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,framework.rules,Current ownership-management runtime and callback evidence directly covers single-owner semantics and dynamic acquisition/divestiture support.
HLA1516-FW-RULE_5_OWNERSHIP-009,IEEE 1516-2010,5.5,CAP-FW,RULE-5-OWNERSHIP,FW_RULE_DETAIL,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-005;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_not_owned_after_divestiture,ownership.registry,The repo directly proves the Rule 5 single-owner ownership constraint for object instance attributes.
HLA1516-RULE-005,IEEE 1516-2010,5.5,CAP-FW,FW-OWNERSHIP,SVC,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-005;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-OWN-7.10-001,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,ownership.registry,Current ownership-management runtime and callback evidence directly covers single-owner semantics and dynamic acquisition/divestiture support.
HLA1516-FW-6_1-DET-001,IEEE 1516-2010,6.1,CAP-FW,FW-SOM,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-006;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-F-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,framework.rules,"The repo parses and preserves SOM example artifacts in OMT form, but the framework-wide claim that each federate carries a complete SOM is broader than the current direct proof set."
HLA1516-FW-6_1-DET-002,IEEE 1516-2010,6.1,CAP-FW,FW-SOM,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-006;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-F-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,framework.rules,"The repo parses and preserves SOM example artifacts in OMT form, but the framework-wide claim that each federate carries a complete SOM is broader than the current direct proof set."
HLA1516-FW-6_1-DET-003,IEEE 1516-2010,6.1,CAP-FW,FW-SOM,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-006;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-F-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,framework.rules,"The repo parses and preserves SOM example artifacts in OMT form, but the framework-wide claim that each federate carries a complete SOM is broader than the current direct proof set."
HLA1516-FW-RULE_6_SOM-010,IEEE 1516-2010,6.1,CAP-FW,RULE-6-SOM,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-006;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-F-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,omt.som,"Current SOM parsing evidence supports the OMT-documented SOM concept, but the framework rule remains broader than the repo’s current federate-specific documentation proofs."
HLA1516-RULE-006,IEEE 1516-2010,6.1,CAP-FW,FW-SOM,SVC,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-006;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-F-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_standard_annex_f_and_g_example_modules_are_maintained_as_parser_regression_fixtures,omt.som,"The repo parses and preserves SOM example artifacts in OMT form, but the framework-wide claim that each federate carries a complete SOM is broader than the current direct proof set."
HLA1516-FW-6_2-DET-001,IEEE 1516-2010,6.2,CAP-FW,FW-SOM-CAPABILITY,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-007;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,framework.rules,"Publish/subscribe and update/interaction runtime behavior is covered, but the SOM capability statement remains broader than the current direct per-federate documentation proof."
HLA1516-FW-6_2-DET-002,IEEE 1516-2010,6.2,CAP-FW,FW-SOM-CAPABILITY,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-007;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,framework.rules,"Publish/subscribe and update/interaction runtime behavior is covered, but the SOM capability statement remains broader than the current direct per-federate documentation proof."
HLA1516-FW-6_2-DET-003,IEEE 1516-2010,6.2,CAP-FW,FW-SOM-CAPABILITY,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-007;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,framework.rules,"Publish/subscribe and update/interaction runtime behavior is covered, but the SOM capability statement remains broader than the current direct per-federate documentation proof."
HLA1516-FW-RULE_7_PUBLISH_SUBSCRIBE-011,IEEE 1516-2010,6.2,CAP-FW,RULE-7-PUBLISH-SUBSCRIBE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-007;HLA1516.1-DM-001;HLA1516.1-OM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,declaration_management,"Declaration and object-management runtime tests support the publish/subscribe rule, but the imported framework row also depends on SOM/FOM consistency that is only partially harmonized."
HLA1516-RULE-007,IEEE 1516-2010,6.2,CAP-FW,FW-PUBSUB,SVC,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-007;HLA1516.1-DM-001;HLA1516.1-OM-001,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,federate.capabilities,"Current clause-level publication and subscription proofs support this capability statement, but not all SOM-facing obligations are isolated directly."
HLA1516-FW-6_3-DET-001,IEEE 1516-2010,6.3,CAP-FW,FW-OWNERSHIP-CAPABILITY,DET,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-008;HLA1516.1-OWN-001;HLA1516.1-OWN-7.10-001,tests/backends/test_python_backend_object_ownership_extended.py::test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows;tests/backends/test_python_backend_object_ownership_extended.py::test_python_rti_cancel_attribute_ownership_acquisition_requires_request,framework.rules,"Dynamic ownership transfer flows are directly exercised, but the broader SOM-description framing of the framework row remains only partially harmonized."
