edition,requirement_id,source_document,clause,page,area,service_group,service_or_check,priority,closure_wave,requirement_text,normative_level,row_kind,parent_requirement_id,canonical_status,canonical_status_reason,owner_doc,primary_test_shard,primary_command,evidence_refs,boundary_note,source_trace_strength,repo_evidence_status,tags
2010,REQ-OMT-4_1-object_model_identification,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.1,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Object model identification,,,Object model identification,,omt-area,,pass,,,,,hla2010/fom.py; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_2-object_class_structure,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.2,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Object class structure table,,,Object class structure table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_3-interaction_class_structure,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.3,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Interaction class structure table,,,Interaction class structure table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_4-attribute_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.4,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Attribute table,,,Attribute table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_5-parameter_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.5,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Parameter table,,,Parameter table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_6-dimension_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.6,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Dimension table,,,Dimension table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_parse_fom_xml_rejects_duplicate_dimension_names; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_7-time_representation_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.7,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Time representation table,,,Time representation table,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_parse_fom_xml_extracts_identification_names_and_reference_datatypes; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_8-user_supplied_tag_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.8,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,User-supplied tag table,,,User-supplied tag table,,omt-area,,pass,,,,,hla2010/backends/python/backend.py; hla2010/fom.py; tests/backends/test_python_backend.py; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_9-synchronization_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.9,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Synchronization table,,,Synchronization table,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_fom_xml_extracts_synchronization_table_and_merge_summary; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_10-transportation_type_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.10,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Transportation type table,,,Transportation type table,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_11-update_rate_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.11,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Update rate table,,,Update rate table,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_12-switches_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.12,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Switches table,,,Switches table,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_13-datatype_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.13,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Datatype tables,,,Datatype tables,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_standard_mim_xml_extracts_structured_datatype_definitions; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-4_14-notes_table,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.14,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Notes table,,,Notes table,,omt-area,,pass,,,,,hla2010/fom.py; test_parse_fom_xml_preserves_notes_and_catalog_notes; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-5-lexicon,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §5,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,FOM/SOM lexicon,,,FOM/SOM lexicon,,omt-area,,pass,,,,,docs/verification/requirements_hierarchy.md; tests/verification/test_requirement_traceability_1516_2_v013.py; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-6-conformance,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §6,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,Conformance,,,Conformance,,omt-area,,pass,,,,,docs/verification/requirements_hierarchy.md; requirements/2010/hla1516_2_priority_omt.csv; tests/verification/test_requirement_traceability_1516_2_v013.py,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-7-merging_rules,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §7,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,FOM module/SOM module merging rules,,,FOM module/SOM module merging rules,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::merge_fom_modules; test_join_fom_time_conflict_is_transactional; test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata; tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_with_explicit_mim_overrides_default_mim; tests/backends/test_python_backend_federation_extended.py::test_join_federation_execution_with_additional_modules_updates_catalog; tests/factories/test_fom_omt_parsing.py; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_conflicting_time_implementations_are_rejected; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-Annex_D-dif,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §Annex D,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,OMT data interchange format,,,OMT data interchange format,,omt-area,,pass,,,,,hla2010/fom.py; tests/factories/test_fom_omt_parsing.py; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,REQ-OMT-Annex_E-schema,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §Annex E,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,OMT conformance XML Schema,,,OMT conformance XML Schema,,omt-area,,pass,,,,,hla2010/fom.py; hla2010/fom.py::validate_fom_xml_schema; test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_unknown_object_model_namespace; tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document; tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification; tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
2010,HLA1516-FW-001,IEEE 1516-2010,IEEE 1516-2010 Framework concepts,,IEEE 1516-2010,Framework concepts,The repo shall present IEEE 1516-2010 as the framework-level standard and keep that layer separated from IEEE 1516.1 RTI services and IEEE 1516.2 OMT structure in the authored hierarchy and reference docs.,,,The repo shall present IEEE 1516-2010 as the framework-level standard and keep that layer separated from IEEE 1516.1 RTI services and IEEE 1516.2 OMT structure in the authored hierarchy and reference docs.,,extracted-requirement,,pass,verification_method=documentation hierarchy audit; Current hierarchy and reference docs explicitly separate the framework layer from the RTI-service and OMT standards.; Framework scope is now a narrow documentation-and-traceability requirement backed directly by the hierarchy and reference docs.,,,,docs/verification/requirements_hierarchy.md; docs/reference/README.md; tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy; analysis/compliance/requirements_matrix_2010.csv; requirements/2010/hla1516_framework_rules.csv,,,,document:ieee-1516-2010; service-group:framework-concepts
2010,HLA1516-OBJ-001,IEEE 1516-2010,IEEE 1516-2010 Object model concepts,,IEEE 1516-2010,Object concepts,The repo shall distinguish HLA object-model structures from programming-language objects by preserving separate OMT object-class and interaction-class catalogs and cross-linking them to the 1516.1 object-service and 1516.2 OMT families.,,,The repo shall distinguish HLA object-model structures from programming-language objects by preserving separate OMT object-class and interaction-class catalogs and cross-linking them to the 1516.1 object-service and 1516.2 OMT families.,,extracted-requirement,,pass,verification_method=parser structure audit + hierarchy cross-link audit; Current parser evidence preserves distinct OMT object and interaction catalogs while the hierarchy docs cross-link those concepts into the 1516.1 and 1516.2 families.; Object-model scope is now a narrow parser-and-hierarchy requirement backed by direct OMT structure parsing plus cross-standard hierarchy links.,,,,hla2010/fom.py; docs/verification/requirements_hierarchy.md; tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim; tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy; analysis/compliance/requirements_matrix_2010.csv; requirements/2010/hla1516_framework_rules.csv,,,,document:ieee-1516-2010; service-group:object-concepts
2010,HLA1516-RULE-001,IEEE 1516-2010,IEEE 1516-2010 Federation and federate rules,,IEEE 1516-2010,Federation/federate rules,The repo shall map federation-level architectural rules to RTI lifecycle behavior and federation-state transitions,,,The repo shall map federation-level architectural rules to RTI lifecycle behavior and federation-state transitions,,extracted-requirement,,pass,verification_method=requirements skeleton; This rule row now names the lifecycle/state-transition scope directly.; Framework rule 1 is now backed directly by the authored framework reconciliation plus explicit create/join lifecycle witnesses that prove the federation FOM contract and membership-state transitions.,,,,packages/hla-backend-python1516e/src/hla/backends/python1516e/federation_creation.py; packages/hla-backend-python1516e/src/hla/backends/python1516e/federation_membership.py; tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_applies_full_effect_vector; tests/backends/test_python_backend_federation_extended.py::test_join_federation_execution_applies_full_effect_vector; analysis/compliance/requirements_matrix_2010.csv; requirements/2010/hla1516_framework_detailed_reconciliation.csv; requirements/2010/hla1516_framework_rules.csv,,,,document:ieee-1516-2010; service-group:federation-federate-rules
2010,HLA1516-RULE-12.1-001,IEEE 1516-2010,IEEE 1516-2010 §12.1,,IEEE 1516-2010,RULE,Federations shall support coordinated save of federation state,,,Federations shall support coordinated save of federation state,,extracted-requirement,,pass,verification_method=architecture plus integration test; Save coordination is traced explicitly through the source Clause 12 ledger and the focused compliance slice,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/federation_sync.py; tests/backends/test_python_backend_federation_extended.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.1-002,IEEE 1516-2010,IEEE 1516-2010 §12.1,,IEEE 1516-2010,RULE,Save coordination shall collect completion or failure from participating federates before declaring the save outcome,,,Save coordination shall collect completion or failure from participating federates before declaring the save outcome,,extracted-requirement,,pass,verification_method=focused integration test; Save completion and failure collection are traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; tests/backends/test_python_backend_federation_extended.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.1-003,IEEE 1516-2010,IEEE 1516-2010 §12.1,,IEEE 1516-2010,RULE,Scheduled save requests shall take effect at the requested logical time when time conditions are satisfied,,,Scheduled save requests shall take effect at the requested logical time when time conditions are satisfied,,extracted-requirement,,pass,verification_method=focused integration test; Scheduled save timing is traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/time_services.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.1-004,IEEE 1516-2010,IEEE 1516-2010 §12.1,,IEEE 1516-2010,RULE,Federations shall support aborting an in progress save,,,Federations shall support aborting an in progress save,,extracted-requirement,,pass,verification_method=service and callback test; Abort-save behavior is traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; tests/backends/test_python_backend_federation_extended.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-001,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Federations shall support coordinated restore from a named saved state,,,Federations shall support coordinated restore from a named saved state,,extracted-requirement,,pass,verification_method=architecture plus integration test; Restore coordination is traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; tests/backends/test_python_backend_federation_extended.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-002,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Restore coordination shall collect completion or failure from participating federates before declaring the restore outcome,,,Restore coordination shall collect completion or failure from participating federates before declaring the restore outcome,,extracted-requirement,,pass,verification_method=focused integration test; Restore completion and failure collection are traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; tests/backends/test_python_backend_federation_extended.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-003,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall reinstate saved logical time state for participating federates,,,Successful restore shall reinstate saved logical time state for participating federates,,extracted-requirement,,pass,verification_method=focused integration test; Restore time-state reinstatement is traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/time_services.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-004,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Federations shall support aborting an in progress restore,,,Federations shall support aborting an in progress restore,,extracted-requirement,,pass,verification_method=service and callback test; Abort-restore behavior is traced explicitly through the source Clause 12 ledger,,,,hla2010/backends/python/save_restore.py; tests/backends/test_python_backend_federation_extended.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-005,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall reinstate saved object instance existence names and attribute values,,,Successful restore shall reinstate saved object instance existence names and attribute values,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows saved object existence name mapping and attribute value state are reinstated after restore,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/object.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-006,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall reinstate saved object ownership and attribute ownership state,,,Successful restore shall reinstate saved object ownership and attribute ownership state,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows saved object ownership and per-attribute ownership state are reinstated after restore,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/ownership.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-007,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall reinstate saved federate runtime flags including asynchronous delivery time-regulation time-constrained and lookahead state,,,Successful restore shall reinstate saved federate runtime flags including asynchronous delivery time-regulation time-constrained and lookahead state,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows saved asynchronous delivery time-regulation time-constrained and lookahead state are reinstated after restore,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/callbacks.py; hla2010/backends/python/time_services.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-008,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall preserve federate automatic resign directives and advisory-switch settings when they are part of the saved local state,,,Successful restore shall preserve federate automatic resign directives and advisory-switch settings when they are part of the saved local state,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows automatic resign directives and advisory-switch settings are reinstated from the saved federate-local snapshot,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/support.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-009,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall preserve federate reporting and conveyance switches when they are part of the saved local state,,,Successful restore shall preserve federate reporting and conveyance switches when they are part of the saved local state,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows service-reporting exception-reporting and conveyance switches are reinstated from the saved federate-local snapshot,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/mom_actions.py; hla2010/backends/python/mom_reporting.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
2010,HLA1516-RULE-12.2-010,IEEE 1516-2010,IEEE 1516-2010 §12.2,,IEEE 1516-2010,RULE,Successful restore shall discard stale pre-restore callback-queue state and reestablish post-restore callback flow from the restored coordination sequence,,,Successful restore shall discard stale pre-restore callback-queue state and reestablish post-restore callback flow from the restored coordination sequence,,extracted-requirement,,pass,verification_method=focused integration test; Focused restore proof now shows pre-restore sentinel callback queue state is discarded and replaced only by post-restore coordination callbacks,,,,hla2010/backends/python/save_restore.py; hla2010/backends/python/callbacks.py; tests/verification/test_compliance_slice_v011.py; requirements/2010/hla1516_clause_12_save_restore.csv,,,,document:ieee-1516-2010; service-group:rule
