requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.1-CPP-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-028,IEEE 1516.1-2010 (2010 edition),5.3,C++ API Binding,CAP-API,API-CPP,The C++ API binding shall declare `RTIambassador::unpublishObjectClassAttributes` with the standard signature and exception surface.,shall,api/cpp,C++ header static validation,TEST-HLA1516_1-CPP-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-028,Draft,P1,v1.0 static extraction from official IEEE 1516.1-2010 (2010 edition) C++ API headers.,CPP_METHOD,,"cpp_api/cpp/src/RTI/RTIambassador.h; signature=virtual void unpublishObjectClassAttributes ( ObjectClassHandle theClass, AttributeHandleSet const & attributeList) throw ( OwnershipAcquisitionPending, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError) = 0;; exceptions=OwnershipAcquisitionPending; AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError",unpublishObjectClassAttributes,binding/API,static/api,No,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-ARG-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall accept and validate `unpublishObjectClass` overload 1 arguments: ObjectClassHandle theClass.,shall,rti/declaration_management,argument validation tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-ARG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,ARG,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Arguments: ObjectClassHandle theClass,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-EFF-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",shall,rti/declaration_management,state-transition integration tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-EFF-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EFF,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Clause 5.3; service=Unpublish Object Class Attributes; effect family,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-EXC-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall raise the standard exceptions exposed by `unpublishObjectClass` when the corresponding error conditions occur: OwnershipAcquisitionPending, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",shall,rti/declaration_management,exception matrix tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-EXC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EXC,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Clause 5.3; Java throws=OwnershipAcquisitionPending; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-MOM-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `unpublishObjectClass` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",shall,rti/mom/service_reporting,MOM observer integration test,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-MOM-001,Draft,P1,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,MOM,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Clause 5.3; MOM service reporting linkage,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-PRE-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall validate all standard preconditions for `unpublishObjectClass`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",shall,rti/declaration_management,negative unit tests + exception tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-PRE-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,PRE,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Clause 5.3; service=Unpublish Object Class Attributes; precondition family,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SIG-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall expose `unpublishObjectClass` overload 1 returning `void` with the standard argument shape.,shall,rti/declaration_management,API signature static test,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-SIG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SIG,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,"Java signature: void unpublishObjectClass(ObjectClassHandle theClass) throws OwnershipAcquisitionPending, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,No,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The RTI shall provide the Unpublish Object Class Attributes service through the `unpublishObjectClass` operation.,shall,rti/declaration_management,unit + integration + API conformance tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SVC,,Clause 5.3; service=Unpublish Object Class Attributes; method=unpublishObjectClass,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-TEST-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `unpublishObjectClass`.",shall,tests/conformance,test-suite audit,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASS-TEST-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,TEST,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,Clause 5.3; test coverage seed,unpublishObjectClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-ARG-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall accept and validate `unpublishObjectClassAttributes` overload 1 arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,shall,rti/declaration_management,argument validation tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-ARG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,ARG,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EFF-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",shall,rti/declaration_management,state-transition integration tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EFF-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EFF,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.3; service=Unpublish Object Class Attributes; effect family,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EXC-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall raise the standard exceptions exposed by `unpublishObjectClassAttributes` when the corresponding error conditions occur: OwnershipAcquisitionPending, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",shall,rti/declaration_management,exception matrix tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EXC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EXC,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.3; Java throws=OwnershipAcquisitionPending; AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-MOM-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `unpublishObjectClassAttributes` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",shall,rti/mom/service_reporting,MOM observer integration test,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-MOM-001,Draft,P1,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,MOM,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.3; MOM service reporting linkage,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-PRE-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall validate all standard preconditions for `unpublishObjectClassAttributes`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",shall,rti/declaration_management,negative unit tests + exception tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-PRE-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,PRE,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.3; service=Unpublish Object Class Attributes; precondition family,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SIG-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall expose `unpublishObjectClassAttributes` overload 1 returning `void` with the standard argument shape.,shall,rti/declaration_management,API signature static test,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SIG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SIG,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,"Java signature: void unpublishObjectClassAttributes(ObjectClassHandle theClass, AttributeHandleSet attributeList) throws OwnershipAcquisitionPending, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,No,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The RTI shall provide the Unpublish Object Class Attributes service through the `unpublishObjectClassAttributes` operation.,shall,rti/declaration_management,unit + integration + API conformance tests,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SVC,,Clause 5.3; service=Unpublish Object Class Attributes; method=unpublishObjectClassAttributes,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-TEST-001,IEEE 1516.1-2010 (2010 edition),5.3,Federate Interface Specification,CAP-DM,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `unpublishObjectClassAttributes`.",shall,tests/conformance,test-suite audit,TEST-HLA1516_1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-TEST-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,TEST,HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.3; test coverage seed,unpublishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-CPP-5_4-PUBLISHINTERACTIONCLASS-029,IEEE 1516.1-2010 (2010 edition),5.4,C++ API Binding,CAP-API,API-CPP,The C++ API binding shall declare `RTIambassador::publishInteractionClass` with the standard signature and exception surface.,shall,api/cpp,C++ header static validation,TEST-HLA1516_1-CPP-5_4-PUBLISHINTERACTIONCLASS-029,Draft,P1,v1.0 static extraction from official IEEE 1516.1-2010 (2010 edition) C++ API headers.,CPP_METHOD,,"cpp_api/cpp/src/RTI/RTIambassador.h; signature=virtual void publishInteractionClass ( InteractionClassHandle theInteraction) throw ( InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError) = 0;; exceptions=InteractionClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError",publishInteractionClass,binding/API,static/api,No,
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-ARG-001,IEEE 1516.1-2010 (2010 edition),5.4,Federate Interface Specification,CAP-DM,DM-PUBLISH_INTERACTION_CLASS,The implementation shall accept and validate `publishInteractionClass` overload 1 arguments: InteractionClassHandle theInteraction.,shall,rti/declaration_management,argument validation tests,TEST-HLA1516_1-DM-5_4-PUBLISHINTERACTIONCLASS-ARG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,ARG,HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-SVC-001,Arguments: InteractionClassHandle theInteraction,publishInteractionClass,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-EFF-001,IEEE 1516.1-2010 (2010 edition),5.4,Federate Interface Specification,CAP-DM,DM-PUBLISH_INTERACTION_CLASS,The RTI shall record the publishing federate's interaction-class declaration and use it when determining whether the federate may send interactions of the declared class.,shall,rti/declaration_management,state-transition integration tests,TEST-HLA1516_1-DM-5_4-PUBLISHINTERACTIONCLASS-EFF-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EFF,HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-SVC-001,Clause 5.4; service=Publish Interaction Class; effect family,publishInteractionClass,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-EXC-001,IEEE 1516.1-2010 (2010 edition),5.4,Federate Interface Specification,CAP-DM,DM-PUBLISH_INTERACTION_CLASS,"The RTI shall raise the standard exceptions exposed by `publishInteractionClass` when the corresponding error conditions occur: InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",shall,rti/declaration_management,exception matrix tests,TEST-HLA1516_1-DM-5_4-PUBLISHINTERACTIONCLASS-EXC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EXC,HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-SVC-001,Clause 5.4; Java throws=InteractionClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,publishInteractionClass,federate-initiated,native/grpc/rest-equivalence,Maybe,
