requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516-FW-6_1-DET-001,IEEE 1516-2010,6.1,Framework and Rules,CAP-FW,FW-SOM,A federate shall have an HLA SOM documented in accordance with the HLA OMT.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_1-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.1 RULE-6,,,native; grpc; rest,indirect,
HLA1516-FW-6_1-DET-002,IEEE 1516-2010,6.1,Framework and Rules,CAP-FW,FW-SOM,"A SOM shall describe object classes, attributes, and interaction classes that the federate can make public.",shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_1-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.1 RULE-6,,,native; grpc; rest,indirect,
HLA1516-FW-6_1-DET-003,IEEE 1516-2010,6.1,Framework and Rules,CAP-FW,FW-SOM,A SOM shall be specified using one or more SOM modules and may include a MIM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_1-DET-003,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.1 RULE-6,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_6_SOM-010,IEEE 1516-2010,6.1,Framework and Rules,CAP-FW,RULE-6-SOM,Each federate shall have an HLA Simulation Object Model documented in accordance with the OMT.,shall,omt.som,SOM validation,TEST-HLA1516-FW-RULE_6_SOM-010,Draft,P1,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 6.1,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-006,IEEE 1516-2010,6.1,Framework and Rules,CAP-FW,FW-SOM,Federates shall define a SOM documented using the HLA OMT.,shall,omt.som,review + integration test,TEST-FW-RULE-006,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-6_2-DET-001,IEEE 1516-2010,6.2,Framework and Rules,CAP-FW,FW-SOM-CAPABILITY,A federate shall be able to update or reflect attributes as specified in its SOM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_2-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.2 RULE-7,,,native; grpc; rest,indirect,
HLA1516-FW-6_2-DET-002,IEEE 1516-2010,6.2,Framework and Rules,CAP-FW,FW-SOM-CAPABILITY,A federate shall be able to send or receive interactions as specified in its SOM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_2-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.2 RULE-7,,,native; grpc; rest,indirect,
HLA1516-FW-6_2-DET-003,IEEE 1516-2010,6.2,Framework and Rules,CAP-FW,FW-SOM-CAPABILITY,Externally visible data exchange capabilities shall be documented in the federate SOM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_2-DET-003,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.2 RULE-7,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_7_PUBLISH_SUBSCRIBE-011,IEEE 1516-2010,6.2,Framework and Rules,CAP-FW,RULE-7-PUBLISH-SUBSCRIBE,Federates shall be able to publish and subscribe to object attributes and interactions consistently with their SOM and the federation FOM.,shall,declaration_management,DM conformance tests,TEST-HLA1516-FW-RULE_7_PUBLISH_SUBSCRIBE-011,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 6.2,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-007,IEEE 1516-2010,6.2,Framework and Rules,CAP-FW,FW-PUBSUB,"Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",shall,federate.capabilities,review + integration test,TEST-FW-RULE-007,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-6_3-DET-001,IEEE 1516-2010,6.3,Framework and Rules,CAP-FW,FW-OWNERSHIP-CAPABILITY,A federate shall be able to transfer or accept ownership dynamically as specified in its SOM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_3-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.3 RULE-8,,,native; grpc; rest,indirect,
HLA1516-FW-6_3-DET-002,IEEE 1516-2010,6.3,Framework and Rules,CAP-FW,FW-OWNERSHIP-CAPABILITY,A SOM shall document attributes whose ownership may be acquired or divested during execution.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_3-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.3 RULE-8,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_8_OWNERSHIP-012,IEEE 1516-2010,6.3,Framework and Rules,CAP-FW,RULE-8-OWNERSHIP,Federates shall be able to transfer and accept ownership of object instance attributes dynamically according to HLA ownership-management rules.,shall,ownership_management,ownership transfer tests,TEST-HLA1516-FW-RULE_8_OWNERSHIP-012,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 6.3,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-008,IEEE 1516-2010,6.3,Framework and Rules,CAP-FW,FW-OWNERSHIP-DYNAMIC,Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,shall,ownership.workflow,review + integration test,TEST-FW-RULE-008,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-6_4-DET-001,IEEE 1516-2010,6.4,Framework and Rules,CAP-FW,FW-UPDATE-CONDITIONS,A federate shall be able to vary update conditions for instance attributes as specified in its SOM.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_4-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.4 RULE-9,,,native; grpc; rest,indirect,
HLA1516-FW-6_4-DET-002,IEEE 1516-2010,6.4,Framework and Rules,CAP-FW,FW-UPDATE-CONDITIONS,A SOM shall document update conditions such as thresholds or rates for attributes produced by the federate.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_4-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.4 RULE-9,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_9_TIME-013,IEEE 1516-2010,6.4,Framework and Rules,CAP-FW,RULE-9-TIME,"Federates that use time management shall conform to the standard time-regulating, time-constrained, lookahead, and time-advance responsibilities.",shall,time_management,time-management tests,TEST-HLA1516-FW-RULE_9_TIME-013,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 6.4,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-009,IEEE 1516-2010,6.4,Framework and Rules,CAP-FW,FW-UPDATE-CONDITIONS,Federates shall be able to vary update conditions described in their SOMs.,shall,declaration.update_rates,review + integration test,TEST-FW-RULE-009,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-6_5-DET-001,IEEE 1516-2010,6.5,Framework and Rules,CAP-FW,FW-TIME,A federate shall manage local time in a way that permits coordinated data exchange with the federation.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_5-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.5 RULE-10,,,native; grpc; rest,indirect,
HLA1516-FW-6_5-DET-002,IEEE 1516-2010,6.5,Framework and Rules,CAP-FW,FW-TIME,Federates shall adhere to the time management approach selected by the federation design.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-6_5-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 6.5 RULE-10,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_10_COMPLIANCE-014,IEEE 1516-2010,6.5,Framework and Rules,CAP-FW,RULE-10-COMPLIANCE,Federates shall manage local behavior so that their use of HLA services remains consistent with the standard rules and the federation object model.,shall,federate_runtime,federate conformance tests,TEST-HLA1516-FW-RULE_10_COMPLIANCE-014,Draft,P1,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 6.5,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-010,IEEE 1516-2010,6.5,Framework and Rules,CAP-FW,FW-TIME,Federates shall manage local time in a manner compatible with federation time coordination.,shall,time_management,review + integration test,TEST-FW-RULE-010,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-RATIONALE-015,IEEE 1516-2010,Annex A,Framework and Rules,CAP-FW,RATIONALE,Project rationale documentation shall preserve traceability from implementation choices to the framework rule rationale where a design decision depends on HLA rule intent.,shall,docs/rationale,documentation review,TEST-HLA1516-FW-RATIONALE-015,Draft,P2,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause Annex A,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-FW-BIBLIOGRAPHY-016,IEEE 1516-2010,Annex B,Framework and Rules,CAP-FW,BIBLIOGRAPHY,Bibliographic references shall be recorded as non-normative source context and not treated as implementation requirements unless referenced normatively elsewhere.,shall,requirements/source_control,requirements review,TEST-HLA1516-FW-BIBLIOGRAPHY-016,Draft,P2,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause Annex B,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516.1-FM-OVERVIEW-001,IEEE 1516.1-2010,4.1,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,"RTI shall manage connected, joined, resigned, and disconnected federate lifecycle states.",shall,rti.federation_management.lifecycle,design review + integration test,TEST-FM-OVERVIEW-001,Draft,P0,Semantic requirement seeded from service-group overview; needs paragraph-level extraction in next pass.,OVW,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-OVERVIEW-002,IEEE 1516.1-2010,4.1,Federate Interface Specification,CAP-FM,FM-MODULES,RTI shall maintain the current FDD as FOM modules and the standard MIM are accepted.,shall,rti.fdd.merge,design review + integration test,TEST-FM-OVERVIEW-002,Draft,P0,Semantic requirement seeded from service-group overview; needs paragraph-level extraction in next pass.,OVW,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-OVERVIEW-003,IEEE 1516.1-2010,4.1,Federate Interface Specification,CAP-FM,FM-LOST,RTI shall detect and handle lost federates according to federation-management rules.,shall,rti.federation_management.lost_federates,design review + integration test,TEST-FM-OVERVIEW-003,Draft,P0,Semantic requirement seeded from service-group overview; needs paragraph-level extraction in next pass.,OVW,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-CPP-4_2-CONNECT-001,IEEE 1516.1-2010,4.2,C++ API Binding,CAP-API,API-CPP,The C++ API binding shall declare `RTIambassador::connect` with the standard signature and exception surface.,shall,api/cpp,C++ header static validation,TEST-HLA1516_1-CPP-4_2-CONNECT-001,Draft,P1,v1.0 static extraction from official IEEE 1516.1-2010 C++ API headers.,CPP_METHOD,,"cpp_api/cpp/src/RTI/RTIambassador.h; signature=virtual void connect ( FederateAmbassador & federateAmbassador, CallbackModel theCallbackModel, std::wstring const & localSettingsDesignator=L"""") throw ( ConnectionFailed, InvalidLocalSettingsDesignator, UnsupportedCallbackModel, AlreadyConnected, CallNotAllowedFromWithinCallback, RTIinternalError) = 0;; exceptions=ConnectionFailed; InvalidLocalSettingsDesignator; UnsupportedCallbackModel; AlreadyConnected; CallNotAllowedFromWithinCallback; RTIinternalError",connect,binding/API,static/api,No,
HLA1516.1-FM-4_2-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-CONNECT-SERVICE,RTI shall provide the Connect service.,shall,rti.federation_management.connect,unit + federate integration test,TEST-FM-4_2-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.2. Expand with arguments, callbacks, preconditions, and exceptions.",SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-4_2-ARG-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall accept and validate supplied argument: Callback model.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-ARG-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,ARG,HLA1516.1-FM-4_2-001,4.2.1 Supplied arguments,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-ARG-002,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall accept and validate supplied argument: Optional local settings designator.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-ARG-002,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,ARG,HLA1516.1-FM-4_2-001,4.2.1 Supplied arguments,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
