standard,clause,title,document_area,normative_status,priority,detail_status_v1_0,rows_in_catalog_v1_0,decomposition_level,next_action,notes
IEEE 1516.1-2010,9,Data distribution management,Federate Interface,normative,P1,detailed decomposition,237,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,10,Support services,Federate Interface,normative,P1,detailed decomposition,656,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,11,Management object model,Federate Interface,normative,P0,detailed decomposition,319,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,12,Programming language mappings,Federate Interface,normative,P1,API artifacts cataloged,400,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,13,Conformance,Federate Interface,normative,P0,conformance seeded,2,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex A,API information,Federate Interface,informative,P2,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex B,Java API,Federate Interface,normative,P1,cataloged,1,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex C,C++ API,Federate Interface,normative,P1,cataloged,1,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex D,Web Services API,Federate Interface,normative,P1,cataloged,1,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex E,Rationale,Federate Interface,informative,P2,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex F,FDD XML Schema declaration,Federate Interface,normative,P0,cataloged,1,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex G,MOM and Initialization Module,Federate Interface,normative,P0,cataloged,1,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex H,Bibliography,Federate Interface,informative,P3,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,Annex I,Figure table,Federate Interface,informative,P3,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,1,Overview,OMT,normative,P1,codified,3,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,2,Normative references,OMT,normative,P2,referenced,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,3,"Definitions, acronyms, and abbreviations",OMT,normative,P1,glossary seeded,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,4,HLA OMT components,OMT,normative,P0,detailed decomposition,40,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,5,FOM/SOM lexicon,OMT,normative,P1,codified,6,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,6,Conformance,OMT,normative,P0,codified,4,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,7,FOM module/SOM module merging rules,OMT,normative,P0,detailed decomposition,2,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex A,Table entry notation,OMT,informative,P2,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex B,Common normalization functions,OMT,normative,P1,codified,2,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex C,FOM/SOM module merging principles,OMT,normative,P0,codified,2,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex D,OMT data interchange format,OMT,normative,P0,schema codified,365,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex E,OMT conformance XML Schema,OMT,normative,P0,schema codified,2,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex F,OMT DIF SOM example,OMT,informative,P2,example tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex G,OMT DIF FOM example,OMT,informative,P2,example tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.2-2010,Annex H,Bibliography,OMT,informative,P3,tracked,0,tracked/no direct rows,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
