packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-TEST-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `publishObjectClassAttributes`.",test-suite audit,tests/backends/test_python_backend_object_ownership_extended.py::test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore;tests/backends/test_python_backend.py::test_two_python_federates_share_in_memory_rti;tests/backends/test_python_backend_time_ddm_extended.py::test_strict_publication_gates_registration_update_and_interaction_sends,mapped,tests/conformance,hla_1516_requirements_master_v1_0.csv,"Direct node-level positive, negative, callback, and observer evidence exists for this declaration service family. Transport-equivalence is not applicable here, and the broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
HLA1516.1-DM-5_2-RTIAPI-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-publishObjectClassAttributes,RTI_API,RTI shall expose RTIambassador method `publishObjectClassAttributes` for the Publish Object Class Attributes service.,api conformance test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.publishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,This imported declaration API-surface row is directly covered by the Clause 5 source-binding signature audit and current service witnesses.
HLA1516.1-DM-5_2-RTIAPI-001-EFF,HLA1516.1-DM-5.2-002,IEEE 1516.1-2010,5.2,DM-publishObjectClassAttributes,EFF,"`publishObjectClassAttributes` shall apply the state, routing, advisory, or lifecycle effects specified for the Publish Object Class Attributes service.",state/effect integration test,test_two_python_federates_share_in_memory_rti,mapped,declaration_management.publishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,Current two-federate flow proves publication enables the intended update path.
HLA1516.1-DM-5_2-RTIAPI-001-EXC,HLA1516.1-DM-5.2-003,IEEE 1516.1-2010,5.2,DM-publishObjectClassAttributes,EXC_API,`publishObjectClassAttributes` shall define and surface applicable exception conditions: AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError.,negative unit/integration tests,test_strict_publication_gates_registration_update_and_interaction_sends,partial,declaration_management.publishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,This imported declaration API-exception row inherits the current Clause 5 negative-path envelope status for the same clause.
HLA1516.1-DM-5_2-RTIAPI-001-MOM,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-publishObjectClassAttributes,MOM_TRACE,"When MOM service reporting is enabled, invocation of `publishObjectClassAttributes` shall be eligible for standard MOM service invocation reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,mom.service_reporting,hla_1516_requirements_master_v1_0.csv,This imported declaration MOM-trace row is directly covered by the Clause 5 MOM service-reporting witness for the same clause.
HLA1516.1-DM-5_2-RTIAPI-001-SIG,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-publishObjectClassAttributes,SIG,`publishObjectClassAttributes` shall use return type `void` and supplied arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,api signature/static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.publishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_3-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVIC,seed,RTI shall provide the Unpublish Object Class Attributes service.,unit + federate integration test,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped,rti.declaration_management.unpublish_object_class_attributes,hla_1516_requirements_master_v1_0.csv,This imported declaration service seed row is aligned to the current Clause 5 service bridge for the same clause.
HLA1516.1-DM-5_3-RTIAPI-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClass,RTI_API,RTI shall expose RTIambassador method `unpublishObjectClass` for the Unpublish Object Class Attributes service.,api conformance test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.unpublishObjectClass,hla_1516_requirements_master_v1_0.csv,This imported declaration API-surface row is directly covered by the Clause 5 source-binding signature audit and current service witnesses.
HLA1516.1-DM-5_3-RTIAPI-001-DUP02,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClassAttributes,RTI_API,RTI shall expose RTIambassador method `unpublishObjectClassAttributes` for the Unpublish Object Class Attributes service.,api conformance test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.unpublishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,This imported declaration API-surface row is directly covered by the Clause 5 source-binding signature audit and current service witnesses.
HLA1516.1-DM-5_3-RTIAPI-001-EFF,HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,DM-unpublishObjectClass,EFF,"`unpublishObjectClass` shall apply the state, routing, advisory, or lifecycle effects specified for the Unpublish Object Class Attributes service.",state/effect integration test,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,declaration_management.unpublishObjectClass,hla_1516_requirements_master_v1_0.csv,Current proof shows post-unpublish strict update authority is removed.
HLA1516.1-DM-5_3-RTIAPI-001-EFF-DUP02,HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,DM-unpublishObjectClassAttributes,EFF,"`unpublishObjectClassAttributes` shall apply the state, routing, advisory, or lifecycle effects specified for the Unpublish Object Class Attributes service.",state/effect integration test,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,declaration_management.unpublishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,Current proof shows post-unpublish strict update authority is removed.
HLA1516.1-DM-5_3-RTIAPI-001-EXC,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClass,EXC_API,`unpublishObjectClass` shall define and surface applicable exception conditions: OwnershipAcquisitionPending; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError.,negative unit/integration tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,declaration_management.unpublishObjectClass,hla_1516_requirements_master_v1_0.csv,This imported declaration API-exception row inherits the current Clause 5 negative-path envelope status for the same clause.
HLA1516.1-DM-5_3-RTIAPI-001-EXC-DUP02,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClassAttributes,EXC_API,`unpublishObjectClassAttributes` shall define and surface applicable exception conditions: OwnershipAcquisitionPending; AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError.,negative unit/integration tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,declaration_management.unpublishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,This imported declaration API-exception row inherits the current Clause 5 negative-path envelope status for the same clause.
HLA1516.1-DM-5_3-RTIAPI-001-MOM,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClass,MOM_TRACE,"When MOM service reporting is enabled, invocation of `unpublishObjectClass` shall be eligible for standard MOM service invocation reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,mom.service_reporting,hla_1516_requirements_master_v1_0.csv,This imported declaration MOM-trace row is directly covered by the Clause 5 MOM service-reporting witness for the same clause.
HLA1516.1-DM-5_3-RTIAPI-001-MOM-DUP02,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClassAttributes,MOM_TRACE,"When MOM service reporting is enabled, invocation of `unpublishObjectClassAttributes` shall be eligible for standard MOM service invocation reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,mom.service_reporting,hla_1516_requirements_master_v1_0.csv,This imported declaration MOM-trace row is directly covered by the Clause 5 MOM service-reporting witness for the same clause.
HLA1516.1-DM-5_3-RTIAPI-001-SIG,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClass,SIG,`unpublishObjectClass` shall use return type `void` and supplied arguments: ObjectClassHandle theClass.,api signature/static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.unpublishObjectClass,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_3-RTIAPI-001-SIG-DUP02,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-unpublishObjectClassAttributes,SIG,`unpublishObjectClassAttributes` shall use return type `void` and supplied arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,api signature/static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management.unpublishObjectClassAttributes,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-ARG-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,ARG,The implementation shall accept and validate `unpublishObjectClass` overload 1 arguments: ObjectClassHandle theClass.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Focused declaration-validation test now proves invalid object-class handles are rejected on the unpublish-object-class path.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-EFF-001,HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,EFF,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",state-transition integration tests,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current proof shows post-unpublish strict update authority is removed.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-EXC-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,EXC,"The RTI shall raise the standard exceptions exposed by `unpublishObjectClass` when the corresponding error conditions occur: OwnershipAcquisitionPending, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,"Connection membership and save/restore guards are exercised, but not the full packet exception surface."
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-MOM-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `unpublishObjectClass` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,Direct MOM observer proof now shows the service invocation is emitted through `HLAreportServiceInvocation` for the coarse unpublish-object-class path.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-PRE-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,PRE,"The RTI shall validate all standard preconditions for `unpublishObjectClass`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current tests cover common declaration-service guards but not every service-specific constraint.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SIG-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,SIG,The implementation shall expose `unpublishObjectClass` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-SVC-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,SVC,The RTI shall provide the Unpublish Object Class Attributes service through the `unpublishObjectClass` operation.,unit + integration + API conformance tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Direct unpublish-object-class-attributes service coverage exists.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-TEST-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `unpublishObjectClass`.",test-suite audit,tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_reject_not_connected_not_joined_and_save_restore;tests/backends/test_python_backend_object_ownership_extended.py::test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,tests/conformance,hla_1516_requirements_master_v1_0.csv,"Direct node-level positive, negative, callback, and observer evidence exists for this declaration service family. Transport-equivalence is not applicable here, and the broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-ARG-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,ARG,The implementation shall accept and validate `unpublishObjectClassAttributes` overload 1 arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Focused declaration-validation test now proves invalid object-class handles are rejected on the unpublish-object-class path.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EFF-001,HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,EFF,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",state-transition integration tests,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current proof shows post-unpublish strict update authority is removed.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-EXC-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,EXC,"The RTI shall raise the standard exceptions exposed by `unpublishObjectClassAttributes` when the corresponding error conditions occur: OwnershipAcquisitionPending, AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,"Connection membership and save/restore guards are exercised, but not the full packet exception surface."
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-MOM-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `unpublishObjectClassAttributes` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,Direct MOM observer proof now shows the service invocation is emitted through `HLAreportServiceInvocation` for the coarse unpublish-object-class path.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-PRE-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,PRE,"The RTI shall validate all standard preconditions for `unpublishObjectClassAttributes`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current tests cover common declaration-service guards but not every service-specific constraint.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SIG-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,SIG,The implementation shall expose `unpublishObjectClassAttributes` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-SVC-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,SVC,The RTI shall provide the Unpublish Object Class Attributes service through the `unpublishObjectClassAttributes` operation.,unit + integration + API conformance tests,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Direct unpublish-object-class-attributes service coverage exists.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASSATTRIBUTES-TEST-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `unpublishObjectClassAttributes`.",test-suite audit,tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_reject_not_connected_not_joined_and_save_restore;tests/backends/test_python_backend_object_ownership_extended.py::test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,tests/conformance,hla_1516_requirements_master_v1_0.csv,"Direct node-level positive, negative, callback, and observer evidence exists for this declaration service family. Transport-equivalence is not applicable here, and the broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
HLA1516.1-DM-5_4-001,HLA1516.1-DM-5.4-001,IEEE 1516.1-2010,5.4,DM-PUBLISH-INTERACTION-CLASS-SERVICE,seed,RTI shall provide the Publish Interaction Class service.,unit + federate integration test,test_publish_unpublish_and_unsubscribe_interaction_tail_reject_not_connected_not_joined_and_save_restore,mapped,rti.declaration_management.publish_interaction_class,hla_1516_requirements_master_v1_0.csv,This imported declaration service seed row is aligned to the current Clause 5 service bridge for the same clause.
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-ARG-001,HLA1516.1-DM-5.4-001,IEEE 1516.1-2010,5.4,DM-PUBLISH_INTERACTION_CLASS,ARG,The implementation shall accept and validate `publishInteractionClass` overload 1 arguments: InteractionClassHandle theInteraction.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Focused declaration-validation test now proves invalid interaction-class handles are rejected on the publish-interaction-class path.
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-EFF-001,HLA1516.1-DM-5.4-002,IEEE 1516.1-2010,5.4,DM-PUBLISH_INTERACTION_CLASS,EFF,The RTI shall record the publishing federate's interaction-class declaration and use it when determining whether the federate may send interactions of the declared class.,state-transition integration tests,test_two_python_federates_share_in_memory_rti,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current two-federate flow proves publication enables interaction send/receive behavior.
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-EXC-001,HLA1516.1-DM-5.4-001,IEEE 1516.1-2010,5.4,DM-PUBLISH_INTERACTION_CLASS,EXC,"The RTI shall raise the standard exceptions exposed by `publishInteractionClass` when the corresponding error conditions occur: InteractionClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_publish_unpublish_and_unsubscribe_interaction_tail_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,"Common guards are exercised, but not the full standard exception surface."
HLA1516.1-DM-5_4-PUBLISHINTERACTIONCLASS-MOM-001,HLA1516.1-DM-5.4-001,IEEE 1516.1-2010,5.4,DM-PUBLISH_INTERACTION_CLASS,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `publishInteractionClass` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,Direct MOM observer proof now shows the publish-interaction-class invocation is emitted through `HLAreportServiceInvocation`.
