requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.2-SYNC-4.9-004,IEEE 1516.2-2010,4.9,SYNC,Validator shall reject duplicate synchronization point definitions,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_synchronization_point_labels,mapped
HLA1516.2-SYNC-4.9-005,IEEE 1516.2-2010,4.9,SYNC,Synchronization definitions shall survive parse/serialize round-trip,shall,xml_serializer,round-trip verification,test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped
HLA1516.2-TRANS-4.10-001,IEEE 1516.2-2010,4.10,TRANS,Object models shall define transportation types,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,mapped
HLA1516.2-TRANS-4.10-002,IEEE 1516.2-2010,4.10,TRANS,Transportation type names shall be unique,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_transportation_names,mapped
HLA1516.2-TRANS-4.10-003,IEEE 1516.2-2010,4.10,TRANS,Parser shall preserve declared transportation type names,shall,fom_parser + python_rti_support,parser plus support-service integration tests,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables; test_support_lookups_round_trip_class_handle_and_name,mapped
HLA1516.2-TRANS-4.10-004,IEEE 1516.2-2010,4.10,TRANS,Attributes shall reference only valid transportation types,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_undefined_attribute_transportation_reference,mapped
HLA1516.2-TRANS-4.10-005,IEEE 1516.2-2010,4.10,TRANS,Interaction classes shall reference only valid transportation types,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_undefined_interaction_transportation_reference,mapped
HLA1516.2-TRANS-4.10-006,IEEE 1516.2-2010,4.10,TRANS,Validator shall reject references to undefined transportation types,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_undefined_attribute_transportation_reference,mapped
HLA1516.2-URATE-4.11-001,IEEE 1516.2-2010,4.11,URATE,Object models shall support update rate designators,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,mapped
HLA1516.2-URATE-4.11-002,IEEE 1516.2-2010,4.11,URATE,Update rate designator names shall be unique,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_update_rate_names,mapped
HLA1516.2-URATE-4.11-003,IEEE 1516.2-2010,4.11,URATE,Parser shall preserve declared update rate names and values,shall,fom_parser + python_rti_support,parser plus support-service integration tests,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables; test_support_update_rate_lookup_for_attribute_reflects_subscribed_rate,mapped
HLA1516.2-URATE-4.11-004,IEEE 1516.2-2010,4.11,URATE,Attributes referencing update rate designators shall reference valid entries,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_undefined_update_rate_reference,mapped
HLA1516.2-URATE-4.11-005,IEEE 1516.2-2010,4.11,URATE,Validator shall reject undefined update rate references,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_undefined_update_rate_reference,mapped
HLA1516.2-SWITCH-4.12-001,IEEE 1516.2-2010,4.12,SWITCH,Object models shall support declaration of switch metadata,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary,mapped
HLA1516.2-SWITCH-4.12-002,IEEE 1516.2-2010,4.12,SWITCH,Parser shall preserve declared switch settings,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary,mapped
HLA1516.2-SWITCH-4.12-003,IEEE 1516.2-2010,4.12,SWITCH,Validator shall ensure switch references are resolvable,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_unknown_switch_definition,mapped
HLA1516.2-DT-4.13-001,IEEE 1516.2-2010,4.13,DT,Object models shall support datatype table declarations,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,mapped
HLA1516.2-DT-4.13-002,IEEE 1516.2-2010,4.13,DT,Basic datatype names shall be unique,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_datatype_names,mapped
HLA1516.2-DT-4.13-003,IEEE 1516.2-2010,4.13,DT,Parser shall preserve endian size encoding and semantics metadata,shall,fom_parser,parser fidelity verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-004,IEEE 1516.2-2010,4.13,DT,Validator shall reject duplicate datatype definitions,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_datatype_names,mapped
HLA1516.2-DT-4.13-005,IEEE 1516.2-2010,4.13,DT,Parser shall preserve declared datatype names from datatype tables,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,mapped
HLA1516.2-DT-4.13-006,IEEE 1516.2-2010,4.13,DT,Parser shall preserve datatype names referenced by attributes and parameters,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_extracts_identification_names_and_reference_datatypes,mapped
HLA1516.2-DT-4.13-010,IEEE 1516.2-2010,4.13,DT,Object models shall support simple datatype aliases,shall,fom_parser,parser verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-011,IEEE 1516.2-2010,4.13,DT,Simple datatypes shall reference valid underlying datatypes,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_unresolved_simple_array_fixed_and_variant_datatype_references,mapped
HLA1516.2-DT-4.13-012,IEEE 1516.2-2010,4.13,DT,Validator shall reject unresolved datatype references,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_unresolved_simple_array_fixed_and_variant_datatype_references; test_parse_fom_xml_rejects_unresolved_array_and_fixed_record_datatype_references; test_parse_fom_xml_rejects_unresolved_variant_record_datatype_references,mapped
HLA1516.2-DT-4.13-020,IEEE 1516.2-2010,4.13,DT,Object models shall support enumerated datatypes,shall,fom_parser,parser verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-021,IEEE 1516.2-2010,4.13,DT,Enumeration names shall be unique,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_enumerated_datatype_names,mapped
HLA1516.2-DT-4.13-022,IEEE 1516.2-2010,4.13,DT,Enumeration values shall be unique within an enumeration,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_enumeration_values,mapped
HLA1516.2-DT-4.13-023,IEEE 1516.2-2010,4.13,DT,Parser shall preserve enumeration literal ordering,shall,fom_parser,parser fidelity verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-024,IEEE 1516.2-2010,4.13,DT,Validator shall reject duplicate enumeration values,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_enumeration_values,mapped
HLA1516.2-DT-4.13-030,IEEE 1516.2-2010,4.13,DT,Object models shall support fixed arrays,shall,fom_parser,parser verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-031,IEEE 1516.2-2010,4.13,DT,Object models shall support variable arrays,shall,fom_parser,parser verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-032,IEEE 1516.2-2010,4.13,DT,Array element types shall reference valid datatypes,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_unresolved_array_and_fixed_record_datatype_references,mapped
HLA1516.2-DT-4.13-033,IEEE 1516.2-2010,4.13,DT,Fixed arrays shall define valid cardinality,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_invalid_fixed_array_cardinality,mapped
HLA1516.2-DT-4.13-034,IEEE 1516.2-2010,4.13,DT,Validator shall reject invalid array dimensions,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_invalid_fixed_array_cardinality,mapped
HLA1516.2-DT-4.13-040,IEEE 1516.2-2010,4.13,DT,Object models shall support fixed record datatypes,shall,fom_parser,parser verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-041,IEEE 1516.2-2010,4.13,DT,Fixed records shall contain ordered fields,shall,fom_parser,parser fidelity verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-042,IEEE 1516.2-2010,4.13,DT,Fixed record fields shall reference valid datatypes,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_unresolved_array_and_fixed_record_datatype_references,mapped
HLA1516.2-DT-4.13-043,IEEE 1516.2-2010,4.13,DT,Parser shall preserve field ordering,shall,fom_parser,parser fidelity verification,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,mapped
HLA1516.2-DT-4.13-044,IEEE 1516.2-2010,4.13,DT,Validator shall reject unresolved field datatype references,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_unresolved_array_and_fixed_record_datatype_references,mapped
HLA1516.2-DT-4.13-050,IEEE 1516.2-2010,4.13,DT,Object models shall support variant record datatypes,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_variant_record_mappings_and_rejects_duplicate_alternatives,mapped
HLA1516.2-DT-4.13-051,IEEE 1516.2-2010,4.13,DT,Variant records shall define a discriminant,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_variant_record_mappings_and_rejects_duplicate_alternatives,mapped
HLA1516.2-DT-4.13-052,IEEE 1516.2-2010,4.13,DT,Alternative branches shall reference valid datatypes,shall,fom_validator,catalog validation test,test_parse_fom_xml_rejects_unresolved_variant_record_datatype_references,mapped
HLA1516.2-DT-4.13-053,IEEE 1516.2-2010,4.13,DT,Parser shall preserve discriminant mappings,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_extracts_variant_record_mappings_and_rejects_duplicate_alternatives,mapped
HLA1516.2-DT-4.13-054,IEEE 1516.2-2010,4.13,DT,Validator shall reject duplicate discriminant alternatives,shall,fom_validator,negative parser validation,test_parse_fom_xml_extracts_variant_record_mappings_and_rejects_duplicate_alternatives,mapped
HLA1516.2-NOTE-4.14-001,IEEE 1516.2-2010,4.14,NOTE,OMT elements may contain note metadata,may,fom_parser,parser fidelity verification,test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped
HLA1516.2-NOTE-4.14-002,IEEE 1516.2-2010,4.14,NOTE,Parser shall preserve note content,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped
HLA1516.2-NOTE-4.14-003,IEEE 1516.2-2010,4.14,NOTE,Serializer shall reproduce note content,shall,xml_serializer,round-trip verification,test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped
HLA1516.2-MIM-D-001,IEEE 1516.2-2010,Annex D,MIM,Standard MIM content shall be available through the active catalog and MOM request report paths,shall,mim_loading,parser plus integration tests,test_mom_request_mim_data_reports_bundled_mim_payload,mapped
HLA1516.2-OMT-7-001,IEEE 1516.2-2010,7,OMT,FOM module merge shall reject conflicting logical time representations,shall,fom_merge,negative integration test,test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped
HLA1516.2-OMT-7-002,IEEE 1516.2-2010,7,OMT,FOM module merge shall combine supported modules into one active federation object model catalog,shall,fom_merge,integration test,test_strict_fom_loading_discovers_bundled_fom_and_rejects_unknown_names,mapped
HLA1516.2-OMT-E-001,IEEE 1516.2-2010,Annex E,OMT,Schema-level XML conformance shall be validated against the standard schema when full schema validation is implemented,shall,schema_validation,schema validation test,test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document,mapped
HLA1516.2-MERGE-7.0-001,IEEE 1516.2-2010,7.0,MERGE,RTI shall support composition of a federation object model from multiple FOM modules,shall,fom_merge,multi-module integration test,test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped
HLA1516.2-MERGE-7.0-002,IEEE 1516.2-2010,7.0,MERGE,Merge process shall preserve class hierarchy consistency,shall,fom_merge,multi-module integration test,test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped
HLA1516.2-MERGE-7.0-003,IEEE 1516.2-2010,7.0,MERGE,Merge process shall preserve datatype consistency,shall,fom_merge,multi-module integration test,test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped
HLA1516.2-MERGE-7.0-004,IEEE 1516.2-2010,7.0,MERGE,Merge process shall preserve dimension consistency,shall,fom_merge,multi-module integration test,test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped
HLA1516.2-MERGE-7.0-005,IEEE 1516.2-2010,7.0,MERGE,Merge process shall detect conflicting definitions,shall,fom_merge,negative integration test,test_join_fom_time_conflict_is_transactional,mapped
HLA1516.2-MERGE-7.0-006,IEEE 1516.2-2010,7.0,MERGE,Merge process shall reject incompatible duplicate definitions,shall,fom_merge,negative integration test,test_join_fom_time_conflict_is_transactional,mapped
HLA1516.2-MERGE-7.0-007,IEEE 1516.2-2010,7.0,MERGE,Merge process shall generate a merged FDD representation,shall,fom_merge,merged catalog verification,test_merge_fom_modules_preserves_class_datatype_and_dimension_consistency,mapped
HLA1516.2-MERGE-7.0-008,IEEE 1516.2-2010,7.0,MERGE,Merge process shall support inclusion of the standard MIM,shall,mim_loader,integration test,test_create_federation_execution_with_explicit_mim_uses_requested_module,mapped
HLA1516.2-XML-ANNEX-001,IEEE 1516.2-2010,Annex E,XML,OMT XML documents shall conform to the published XML schema,shall,schema_validation,schema validation test,test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document,mapped
HLA1516.2-XML-ANNEX-002,IEEE 1516.2-2010,Annex E,XML,Parser shall validate XML namespace usage,shall,fom_parser,namespace validation test,test_parse_fom_xml_rejects_unknown_object_model_namespace,mapped
HLA1516.2-XML-ANNEX-003,IEEE 1516.2-2010,Annex E,XML,Parser shall reject schema-invalid XML documents,shall,schema_validation,negative schema validation test,test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document,mapped
HLA1516.2-XML-ANNEX-004,IEEE 1516.2-2010,Annex E,XML,Serializer shall emit schema-valid XML,shall,xml_serializer,schema validation test,test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification,mapped
HLA1516.2-XML-ANNEX-005,IEEE 1516.2-2010,Annex E,XML,Parse to serialize to parse shall preserve semantic equivalence,shall,xml_serializer,semantic round-trip verification,test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped
HLA1516.2-OMT-4.0-001,IEEE 1516.2-2010,4,OMT,HLA object models shall be represented using the OMT components defined by the standard,shall,fom_parsing,parser verification,test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,mapped
HLA1516.2-OMT-4.0-002,IEEE 1516.2-2010,4,OMT,FOM SOM and MIM parsers shall recognize all standard OMT component tables,shall,fom_parsing,parser verification,test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,mapped
HLA1516.2-OMT-4.0-003,IEEE 1516.2-2010,4,OMT,Validators shall distinguish required optional and conditionally required OMT entries,shall,fom_validation,negative parser validation,test_parse_fom_xml_distinguishes_required_optional_and_conditionally_required_omt_entries,mapped
HLA1516.2-OMID-4.1-001,IEEE 1516.2-2010,4.1,OMID,Object models shall include object model identification information,shall,fom_parsing,parser verification,test_parse_fom_xml_requires_and_preserves_model_identification_metadata,mapped
HLA1516.2-OMID-4.1-002,IEEE 1516.2-2010,4.1,OMID,Parser shall extract object model name and model type identification fields when present,shall,fom_parsing,parser verification,test_parse_fom_xml_extracts_identification_names_and_reference_datatypes,mapped
HLA1516.2-OMID-4.1-003,IEEE 1516.2-2010,4.1,OMID,Implementation shall distinguish FOM SOM and standard MIM object model types,shall,fom_parsing,parser verification,test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped
HLA1516.2-OMID-4.1-004,IEEE 1516.2-2010,4.1,OMID,Implementation shall preserve identification metadata during parse and serialize round trip,shall,fom_serialization,planned verification slice,test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification,mapped
HLA1516.2-OCS-4.2-001,IEEE 1516.2-2010,4.2,OCS,Object models shall define object class hierarchy beneath ObjectRoot,shall,fom_parsing,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-OCS-4.2-002,IEEE 1516.2-2010,4.2,OCS,Each object class except ObjectRoot shall have exactly one immediate superclass,shall,fom_validation,negative parser validation,test_parse_fom_xml_rejects_multiple_top_level_object_classes,mapped
HLA1516.2-OCS-4.2-003,IEEE 1516.2-2010,4.2,OCS,Parser shall preserve parent-child object class relationships,shall,fom_parsing,parser plus integration tests,test_generate_fom_overview_writes_merged_target_radar_summary,mapped
HLA1516.2-OCS-4.2-004,IEEE 1516.2-2010,4.2,OCS,Validator shall reject duplicate object class names in the same object class hierarchy,shall,fom_validation,negative parser validation,test_parse_fom_xml_rejects_duplicate_object_class_names_in_same_hierarchy,mapped
HLA1516.2-OCS-4.2-005,IEEE 1516.2-2010,4.2,OCS,Implementation shall support inherited attributes through superclass traversal,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-ICS-4.3-001,IEEE 1516.2-2010,4.3,ICS,Object models shall define interaction class hierarchy beneath InteractionRoot,shall,fom_parsing,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-ICS-4.3-002,IEEE 1516.2-2010,4.3,ICS,Each interaction class except InteractionRoot shall have exactly one immediate superclass,shall,fom_validation,negative parser validation,test_parse_fom_xml_rejects_multiple_top_level_interaction_classes,mapped
HLA1516.2-ICS-4.3-003,IEEE 1516.2-2010,4.3,ICS,Parser shall preserve parent-child interaction class relationships,shall,fom_parsing,parser plus integration tests,test_generate_fom_overview_writes_merged_target_radar_summary,mapped
HLA1516.2-ICS-4.3-004,IEEE 1516.2-2010,4.3,ICS,Validator shall reject duplicate interaction class names in the same interaction hierarchy,shall,fom_validation,negative parser validation,test_parse_fom_xml_rejects_duplicate_interaction_class_names_in_same_hierarchy,mapped
HLA1516.2-ICS-4.3-005,IEEE 1516.2-2010,4.3,ICS,Implementation shall support inherited parameters through superclass traversal,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-TIME-4.7-001,IEEE 1516.2-2010,4.7,TIME,Object models shall identify logical time representation information where required,shall,fom_parsing,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-TIME-4.7-002,IEEE 1516.2-2010,4.7,TIME,Parser shall extract time datatype and time factory metadata,shall,fom_parsing,parser verification,test_parse_fom_xml_extracts_identification_names_and_reference_datatypes,mapped
HLA1516.2-TIME-4.7-003,IEEE 1516.2-2010,4.7,TIME,RTI integration shall use OMT time representation data to select logical time factories,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-TAG-4.8-001,IEEE 1516.2-2010,4.8,TAG,Object models shall define user-supplied tag datatype information where required,shall,fom_parsing,parser verification,test_parse_fom_xml_extracts_tag_table_and_merge_summary,mapped
HLA1516.2-TAG-4.8-002,IEEE 1516.2-2010,4.8,TAG,Parser shall extract and preserve user-supplied tag representation,shall,fom_parsing,parser fidelity verification,test_parse_fom_xml_extracts_tag_table_and_merge_summary,mapped
HLA1516.2-TAG-4.8-003,IEEE 1516.2-2010,4.8,TAG,RTI services that carry tags shall validate tag values against the declared tag representation where applicable,shall,tag_validation,backend validation test,test_python_backend_validates_declared_user_tag_encoding_for_updates_and_interactions,mapped
HLA1516.2-OMT-5-001,IEEE 1516.2-2010,5,OMT,Implementation documentation shall use the FOM SOM lexicon consistently when naming object model artifacts,shall,traceability,artifact review,test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped
HLA1516.2-OMT-6-001,IEEE 1516.2-2010,6,OMT,Conformance claims shall distinguish implemented subsets from unimplemented or planned OMT behavior,shall,verification_planning,artifact review,test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped
HLA1516.2-MERGE-7-001,IEEE 1516.2-2010,7,MERGE,FOM module merge shall be transactional when rejecting inconsistent logical time representations,shall,fom_merge,negative integration test,test_join_fom_time_conflict_is_transactional,mapped
HLA1516.2-MERGE-7-002,IEEE 1516.2-2010,7,MERGE,Create federation with an explicit MIM shall preserve the requested MIM module as active provenance,shall,fom_merge,integration test,test_create_federation_execution_with_explicit_mim_uses_requested_module,mapped
HLA1516.2-XML-D-001,IEEE 1516.2-2010,Annex D,XML,Parser shall accept OMT XML interchange documents rooted at objectModel,shall,xml_interchange,parser plus integration tests,test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped
HLA1516.2-XML-D-002,IEEE 1516.2-2010,Annex D,XML,Resolver shall normalize XML module designators into backend-consumable URLs or file URIs,shall,xml_interchange,parser plus integration tests,test_java_overload_resolution_and_converter_prepare_vendor_owned_collections,mapped
HLA1516.2-XML-D-003,IEEE 1516.2-2010,Annex D,XML,MIM XML module payloads shall remain available for MOM request and report paths in the active implementation subset,shall,xml_interchange,parser plus integration tests,test_mom_report_payload_uses_exact_mim_catalog_parameters,mapped
HLA1516.2-XML-E-001,IEEE 1516.2-2010,Annex E,XML,Schema-level XML conformance shall be validated against the standard schema when full schema validation is implemented,shall,schema_validation,schema validation test,test_parse_fom_xml_with_omt_schema_validation_accepts_restaurant_reference_module_and_rejects_invalid_document,mapped
