surface_type,item,status,reuse_action,requirement_action,service_group,2010_section_or_location,2025_section_or_location,2010_detail,2025_detail,notes
OMT serviceUtilization,attributesInScope,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.17,6.19,isCallback=true,isCallback=true,"Section changed 6.17 -> 6.19, likely due to inserted 2025 services."
OMT serviceUtilization,attributesOutOfScope,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.18,6.20,isCallback=true,isCallback=true,"Section changed 6.18 -> 6.20, likely due to inserted 2025 services."
OMT serviceUtilization,cancelAttributeOwnershipAcquisition,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.15,7.15,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,cancelNegotiatedAttributeOwnershipDivestiture,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.14,7.14,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,changeAttributeOrderType,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Time Management,8.23,8.24,isCallback=false,isCallback=false,"Section changed 8.23 -> 8.24, likely due to inserted 2025 services."
OMT serviceUtilization,changeDefaultAttributeOrderType,New 2025,Add,Add 2025 requirement,Time Management,,8.25,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,changeDefaultAttributeTransportationType,New 2025,Add,Add 2025 requirement,Object Management,,6.27,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,changeInteractionOrderType,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Time Management,8.24,8.26,isCallback=false,isCallback=false,"Section changed 8.24 -> 8.26, likely due to inserted 2025 services."
OMT serviceUtilization,commitRegionModifications,Same service,Carry forward,Reuse 2010 behavior requirement,Data Distribution Management,9.3,9.3,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,confirmAttributeOwnershipAcquisitionCancellation,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.16,7.16,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,confirmAttributeTransportationTypeChange,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.24,6.26,isCallback=true,isCallback=true,"Section changed 6.24 -> 6.26, likely due to inserted 2025 services."
OMT serviceUtilization,confirmDivestiture,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.6,7.6,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,confirmFederationRestorationRequest,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.25,4.28,isCallback=true,isCallback=true,"Section changed 4.25 -> 4.28, likely due to inserted 2025 services."
OMT serviceUtilization,confirmInteractionTransportationTypeChange,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.28,6.31,isCallback=true,isCallback=true,"Section changed 6.28 -> 6.31, likely due to inserted 2025 services."
OMT serviceUtilization,confirmSynchronizationPointRegistration,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.12,4.15,isCallback=true,isCallback=true,"Section changed 4.12 -> 4.15, likely due to inserted 2025 services."
OMT serviceUtilization,connect,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.2,4.2,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,connectionLost,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.4,4.4,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,createFederationExecution,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.5,4.5,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,createRegion,Same service,Carry forward,Reuse 2010 behavior requirement,Data Distribution Management,9.2,9.2,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,deleteObjectInstance,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.14,6.16,isCallback=false,isCallback=false,"Section changed 6.14 -> 6.16, likely due to inserted 2025 services."
OMT serviceUtilization,deleteRegion,Same service,Carry forward,Reuse 2010 behavior requirement,Data Distribution Management,9.4,9.4,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,destroyFederationExecution,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.6,4.6,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,disableAsynchronousDelivery,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Time Management,8.15,8.16,isCallback=false,isCallback=false,"Section changed 8.15 -> 8.16, likely due to inserted 2025 services."
OMT serviceUtilization,disableAttributeRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.36,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setAttributeRelevanceAdvisorySwitch/getAttributeRelevanceAdvisorySwitch.
OMT serviceUtilization,disableAttributeScopeAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.38,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setAttributeScopeAdvisorySwitch/getAttributeScopeAdvisorySwitch.
OMT serviceUtilization,disableCallbacks,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.44,10.60,isCallback=false,isCallback=false,"Section changed 10.44 -> 10.60, likely due to inserted 2025 services."
OMT serviceUtilization,disableInteractionRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.40,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setInteractionRelevanceAdvisorySwitch/getInteractionRelevanceAdvisorySwitch.
OMT serviceUtilization,disableObjectClassRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.34,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setObjectClassRelevanceAdvisorySwitch/getObjectClassRelevanceAdvisorySwitch.
OMT serviceUtilization,disableTimeConstrained,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.7,8.7,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,disableTimeRegulation,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.4,8.4,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,disconnect,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.3,4.3,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,discoverObjectInstance,Same service,Carry forward,Reuse 2010 behavior requirement,Object Management,6.9,6.9,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,enableAsynchronousDelivery,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Time Management,8.14,8.15,isCallback=false,isCallback=false,"Section changed 8.14 -> 8.15, likely due to inserted 2025 services."
OMT serviceUtilization,enableAttributeRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.35,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setAttributeRelevanceAdvisorySwitch/getAttributeRelevanceAdvisorySwitch.
OMT serviceUtilization,enableAttributeScopeAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.37,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setAttributeScopeAdvisorySwitch/getAttributeScopeAdvisorySwitch.
OMT serviceUtilization,enableCallbacks,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.43,10.59,isCallback=false,isCallback=false,"Section changed 10.43 -> 10.59, likely due to inserted 2025 services."
OMT serviceUtilization,enableInteractionRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.39,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setInteractionRelevanceAdvisorySwitch/getInteractionRelevanceAdvisorySwitch.
OMT serviceUtilization,enableObjectClassRelevanceAdvisorySwitch,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.33,,isCallback=false,,Replace boolean enable/disable requirement with 2025 setObjectClassRelevanceAdvisorySwitch/getObjectClassRelevanceAdvisorySwitch.
OMT serviceUtilization,enableTimeConstrained,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.5,8.5,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,enableTimeRegulation,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.2,8.2,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,evokeCallback,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.41,10.57,isCallback=false,isCallback=false,"Section changed 10.41 -> 10.57, likely due to inserted 2025 services."
OMT serviceUtilization,evokeMultipleCallbacks,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.42,10.58,isCallback=false,isCallback=false,"Section changed 10.42 -> 10.58, likely due to inserted 2025 services."
OMT serviceUtilization,federateResigned,New 2025,Add,Add 2025 requirement,Federation Management,,4.13,,isCallback=true,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,federateRestoreComplete,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.28,4.31,isCallback=false,isCallback=false,"Section changed 4.28 -> 4.31, likely due to inserted 2025 services."
OMT serviceUtilization,federateSaveBegun,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.18,4.21,isCallback=false,isCallback=false,"Section changed 4.18 -> 4.21, likely due to inserted 2025 services."
OMT serviceUtilization,federateSaveComplete,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.19,4.22,isCallback=false,isCallback=false,"Section changed 4.19 -> 4.22, likely due to inserted 2025 services."
OMT serviceUtilization,federationRestoreBegun,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.26,4.29,isCallback=true,isCallback=true,"Section changed 4.26 -> 4.29, likely due to inserted 2025 services."
OMT serviceUtilization,federationRestoreStatusResponse,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.32,4.35,isCallback=true,isCallback=true,"Section changed 4.32 -> 4.35, likely due to inserted 2025 services."
OMT serviceUtilization,federationRestored,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.29,4.32,isCallback=true,isCallback=true,"Section changed 4.29 -> 4.32, likely due to inserted 2025 services."
OMT serviceUtilization,federationSaveStatusResponse,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.23,4.26,isCallback=true,isCallback=true,"Section changed 4.23 -> 4.26, likely due to inserted 2025 services."
OMT serviceUtilization,federationSaved,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.20,4.23,isCallback=true,isCallback=true,"Section changed 4.20 -> 4.23, likely due to inserted 2025 services."
OMT serviceUtilization,federationSynchronized,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.15,4.18,isCallback=true,isCallback=true,"Section changed 4.15 -> 4.18, likely due to inserted 2025 services."
OMT serviceUtilization,flushQueueGrant,New 2025,Add,Add 2025 requirement,Time Management,,8.13,,isCallback=true,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,flushQueueRequest,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.12,8.12,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,getAdvisoriesUseKnownClassSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.54,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getAllowRelaxedDDMSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.55,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getAttributeHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.11,10.9,isCallback=false,isCallback=false,"Section changed 10.11 -> 10.9, likely due to inserted 2025 services."
OMT serviceUtilization,getAttributeName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.12,10.10,isCallback=false,isCallback=false,"Section changed 10.12 -> 10.10, likely due to inserted 2025 services."
OMT serviceUtilization,getAttributeRelevanceAdvisorySwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.36,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getAttributeScopeAdvisorySwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.38,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getAutoProvideSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.52,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getAutomaticResignDirective,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.2,10.44,isCallback=false,isCallback=false,"Section changed 10.2 -> 10.44, likely due to inserted 2025 services."
OMT serviceUtilization,getAvailableDimensionsForClassAttribute,Removed or replaced,Retire or map,Do not carry forward unchanged; map/replace in 2025 requirement set,Support Services,10.23,,isCallback=false,,Replace with getAvailableDimensionsForObjectClass; review DDM query requirements by object class rather than class attribute.
OMT serviceUtilization,getAvailableDimensionsForInteractionClass,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.24,10.22,isCallback=false,isCallback=false,"Section changed 10.24 -> 10.22, likely due to inserted 2025 services."
OMT serviceUtilization,getAvailableDimensionsForObjectClass,Replacement / renamed in 2025,Map existing requirement,Reuse prior requirement with 2025 name and updated semantics,Support Services,,10.21,,isCallback=false,Replacement for getAvailableDimensionsForClassAttribute; update DDM support requirement.
OMT serviceUtilization,getConveyRegionDesignatorSetsSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.42,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getDelaySubscriptionEvaluationSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.53,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getDimensionHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.25,10.23,isCallback=false,isCallback=false,"Section changed 10.25 -> 10.23, likely due to inserted 2025 services."
OMT serviceUtilization,getDimensionHandleSet,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.28,10.26,isCallback=false,isCallback=false,"Section changed 10.28 -> 10.26, likely due to inserted 2025 services."
OMT serviceUtilization,getDimensionName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.26,10.24,isCallback=false,isCallback=false,"Section changed 10.26 -> 10.24, likely due to inserted 2025 services."
OMT serviceUtilization,getDimensionUpperBound,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.27,10.25,isCallback=false,isCallback=false,"Section changed 10.27 -> 10.25, likely due to inserted 2025 services."
OMT serviceUtilization,getExceptionReportingSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.48,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getFederateHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.4,10.2,isCallback=false,isCallback=false,"Section changed 10.4 -> 10.2, likely due to inserted 2025 services."
OMT serviceUtilization,getFederateName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.5,10.3,isCallback=false,isCallback=false,"Section changed 10.5 -> 10.3, likely due to inserted 2025 services."
OMT serviceUtilization,getInteractionClassHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.15,10.13,isCallback=false,isCallback=false,"Section changed 10.15 -> 10.13, likely due to inserted 2025 services."
OMT serviceUtilization,getInteractionClassName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.16,10.14,isCallback=false,isCallback=false,"Section changed 10.16 -> 10.14, likely due to inserted 2025 services."
OMT serviceUtilization,getInteractionRelevanceAdvisorySwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.40,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getKnownObjectClassHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.8,10.6,isCallback=false,isCallback=false,"Section changed 10.8 -> 10.6, likely due to inserted 2025 services."
OMT serviceUtilization,getNonRegulatedGrantSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.56,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getObjectClassHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.6,10.4,isCallback=false,isCallback=false,"Section changed 10.6 -> 10.4, likely due to inserted 2025 services."
OMT serviceUtilization,getObjectClassName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.7,10.5,isCallback=false,isCallback=false,"Section changed 10.7 -> 10.5, likely due to inserted 2025 services."
OMT serviceUtilization,getObjectClassRelevanceAdvisorySwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.34,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getObjectInstanceHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.9,10.7,isCallback=false,isCallback=false,"Section changed 10.9 -> 10.7, likely due to inserted 2025 services."
OMT serviceUtilization,getObjectInstanceName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.10,10.8,isCallback=false,isCallback=false,"Section changed 10.10 -> 10.8, likely due to inserted 2025 services."
OMT serviceUtilization,getOrderName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.20,10.18,isCallback=false,isCallback=false,"Section changed 10.20 -> 10.18, likely due to inserted 2025 services."
OMT serviceUtilization,getOrderType,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.19,10.17,isCallback=false,isCallback=false,"Section changed 10.19 -> 10.17, likely due to inserted 2025 services."
OMT serviceUtilization,getParameterHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.17,10.15,isCallback=false,isCallback=false,"Section changed 10.17 -> 10.15, likely due to inserted 2025 services."
OMT serviceUtilization,getParameterName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.18,10.16,isCallback=false,isCallback=false,"Section changed 10.18 -> 10.16, likely due to inserted 2025 services."
OMT serviceUtilization,getRangeBounds,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.29,10.27,isCallback=false,isCallback=false,"Section changed 10.29 -> 10.27, likely due to inserted 2025 services."
OMT serviceUtilization,getSendServiceReportsToFileSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.50,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getServiceReportingSwitch,New 2025,Add,Add 2025 requirement,Support Services,,10.46,,isCallback=false,New switch getter/setter/query surface; update switch-control requirements.
OMT serviceUtilization,getTransportationTypeHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.21,10.19,isCallback=false,isCallback=false,"Section changed 10.21 -> 10.19, likely due to inserted 2025 services."
OMT serviceUtilization,getTransportationTypeName,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.22,10.20,isCallback=false,isCallback=false,"Section changed 10.22 -> 10.20, likely due to inserted 2025 services."
OMT serviceUtilization,getUpdateRateValue,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.13,10.11,isCallback=false,isCallback=false,"Section changed 10.13 -> 10.11, likely due to inserted 2025 services."
OMT serviceUtilization,getUpdateRateValueForAttribute,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.14,10.12,isCallback=false,isCallback=false,"Section changed 10.14 -> 10.12, likely due to inserted 2025 services."
OMT serviceUtilization,informAttributeOwnership,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.18,7.18,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,initiateFederateRestore,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.27,4.30,isCallback=true,isCallback=true,"Section changed 4.27 -> 4.30, likely due to inserted 2025 services."
OMT serviceUtilization,initiateFederateSave,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.17,4.20,isCallback=true,isCallback=true,"Section changed 4.17 -> 4.20, likely due to inserted 2025 services."
OMT serviceUtilization,isAttributeOwnedByFederate,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.19,7.19,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,joinFederationExecution,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.9,4.11,isCallback=false,isCallback=false,"Section changed 4.9 -> 4.11, likely due to inserted 2025 services."
OMT serviceUtilization,listFederationExecutionMembers,New 2025,Add,Add 2025 requirement,Federation Management,,4.9,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,listFederationExecutions,Same service,Carry forward,Reuse 2010 behavior requirement,Federation Management,4.7,4.7,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,localDeleteObjectInstance,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Object Management,6.16,6.18,isCallback=false,isCallback=false,"Section changed 6.16 -> 6.18, likely due to inserted 2025 services."
OMT serviceUtilization,modifyLookahead,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Time Management,8.19,8.20,isCallback=false,isCallback=false,"Section changed 8.19 -> 8.20, likely due to inserted 2025 services."
OMT serviceUtilization,multipleObjectInstanceNamesReserved,Same service,Carry forward,Reuse 2010 behavior requirement,Object Management,6.6,6.6,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,negotiatedAttributeOwnershipDivestiture,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.3,7.3,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,nextMessageRequest,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.10,8.10,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,nextMessageRequestAvailable,Same service,Carry forward,Reuse 2010 behavior requirement,Time Management,8.11,8.11,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,normalizeFederateHandle,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Support Services,10.31,10.30,isCallback=false,isCallback=false,"Section changed 10.31 -> 10.30, likely due to inserted 2025 services."
OMT serviceUtilization,normalizeInteractionClassHandle,New 2025,Add,Add 2025 requirement,Support Services,,10.32,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,normalizeObjectClassHandle,New 2025,Add,Add 2025 requirement,Support Services,,10.31,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
OMT serviceUtilization,normalizeObjectInstanceHandle,New 2025,Add,Add 2025 requirement,Support Services,,10.33,,isCallback=false,New 2025 service/callback; add requirement from the new-surface packet.
