id,bucket,area,priority,disposition,source_2010,target_2025,requirement_work,acceptance_criteria,verification_work,binding_scope,differential_query
HLA2025-MOD-009,modified-existing,Exception delta pass,high,modify,2010 negative-path exception rows,2025 Unauthorized InvalidCredentials InvalidFOM and transportation handle exception deltas,Update negative requirements where 2025 changes exception names or adds exception cases,Each modified service row names exact 2025 exception types and keeps 2010 exception names out of native 2025 rows,Negative-path matrix driven by differential exception rows,common+bindings,"reuse_action=Modify exception requirement"
HLA2025-MOD-010,modified-existing,XML logical time naming,high,modify,XML timeStamp and lookahead wording,2025 logicalTime and logicalTimeInterval wording,Replace legacy XML time names with 2025 logical-time names,Round-trip preserves logicalTime/logicalTimeInterval and no native 2025 row requires timeStamp/lookahead spelling,XML parser round-trip and stale-token grep guard,common,"reuse_action=Map existing XML requirement OR 2025_detail contains logicalTime"
HLA2025-NEW-001,new-2025-requirements,Directed interactions,very-high,add,none,2025 directed interaction publication subscription send receive timestamp and callback filtering,Decompose directed interactions into publish unpublish subscribe unsubscribe send receive timestamp OMT and callback rows,Positive delivery reaches only directed recipients; negative delivery excludes non-target federates,Two-federate directed interaction tests plus FOM/OMT parser fixture,common+bindings,"item contains directedInteraction"
HLA2025-NEW-002,new-2025-requirements,Federation execution member discovery,very-high,add,none,listFederationExecutionMembers reportFederationExecutionMembers reportFederationExecutionDoesNotExist,Expand existing starter slice into full SHALL rows for member discovery and absent federation reporting,Existing federation reports exact members; absent federation reports does-not-exist callback,Shim lifecycle tests and member data structure serialization tests,common,"item contains FederationExecutionMembers"
HLA2025-NEW-003,new-2025-requirements,Federate resigned callback,high,add,none,federateResigned callback and reason string,Add lifecycle notification requirements for resignation reason handling cleanup and logging,Resigning federate produces one callback with stable federate identity and reason text,Two-federate resign lifecycle callback test,common+bindings,"item=federateResigned"
HLA2025-NEW-004,new-2025-requirements,Default attribute policy changes,high,add,none,changeDefaultAttributeTransportationType changeDefaultAttributeOrderType,Add default attribute transportation and order policy requirements,Default changes affect later updates without mutating existing explicit per-attribute settings,Object update policy tests for default transportation and order,common,"item contains changeDefaultAttribute"
HLA2025-NEW-005,new-2025-requirements,Handle normalization,high,add,none,object class interaction class object instance and typed normalized handles,Add normalization requirements for typed handles and reporting,Equivalent raw handles normalize to typed values and wrong handle family is rejected,Handle normalization unit tests and binding adapter tests,common+bindings,"2025_detail contains typed handle OR item contains normalize"
HLA2025-NEW-006,new-2025-requirements,OMT reference data types and valueRequired,very-high,add,none,referenceDataTypes valueRequired input/output metadata,Add parser validator import/export preservation and generator requirements for 2025 OMT metadata,Metadata parses validates round-trips and is exposed to code generation without loss,OMT fixture parser validator round-trip and generated model check,common,"service_group=XML/OMT OR service_group=MIM"
HLA2025-NEW-007,new-2025-requirements,MOM service reporting changes,high,add,2010 MOM service reporting assumptions,HLAsetSwitches returned arguments service type directed-interaction reporting,Add 2025 MOM service reporting requirements including returned arguments and directed interaction reports,Reports include service type arguments result and directed-interaction fields when applicable,MOM report serialization tests and service-reporting switch tests,common,"service_group=MIM AND 2025_detail contains service"
HLA2025-RET-001,retired-mapped-2010,Advisory switch enable disable services,high,retire-replace,enableObjectClassRelevanceAdvisorySwitch disableObjectClassRelevanceAdvisorySwitch and peers,set/get switch model,Mark 2010 enable/disable switch rows retired or mapped to 2025 set/get switch rows,No native 2025 requirement carries enable/disable advisory switch as the supported service,Disposition test over retired/mapped rows and switch backlog rows,common,"item contains AdvisorySwitch"
HLA2025-RET-002,retired-mapped-2010,Supplemental callback info helpers,high,retire-map,SupplementalReflectInfo SupplementalReceiveInfo SupplementalRemoveInfo,direct callback parameters,Retire helper-object native rows and map each data element to direct callback parameters,Each helper row has a replacement callback-parameter row or explicit legacy-only status,Disposition test plus callback signature tests,common+bindings,"2010_detail contains Supplemental"
HLA2025-RET-003,retired-mapped-2010,2010 WSDL,high,retire-or-legacy-only,hla1516e.wsdl requirements,FedPro protobuf if in product scope,Decide whether WSDL remains legacy-only or maps to FedPro/protobuf requirements,No 2025 common behavioral row depends on WSDL; FedPro rows are isolated if kept,FedPro contract tests or legacy-only disposition check,fedpro,"item contains WSDL OR 2010_detail contains wsdl"
HLA2025-BND-001,binding-specific,Java 2025 binding surface,high,split-binding,Java hla.rti1516e imports and signatures,Java hla.rti1516_2025 packages factories auth classes callback signatures logical-time generics,Create Java-specific requirement rows separate from common behavior,Java rows mention package/signature/generic differences without redefining common behavior,Java compile/intake signature tests and source-trace checks,java,"service_group contains Java"
HLA2025-BND-002,binding-specific,C++ 2025 binding surface,high,split-binding,C++ rti1516e namespace and auth model,C++ rti1516_2025 namespace auth split library packaging callback deltas,Create C++-specific requirement rows separate from common behavior,C++ rows cover namespace packaging and callback signature deltas only,C++ shim compile/intake signature tests and source-trace checks,cpp,"service_group contains C++"
HLA2025-BND-003,binding-specific,FedPro protobuf 2025 transport,high,split-binding,2010 transport/WSDL assumptions,2025 FedPro/protobuf messages credentials switches directed interactions member discovery,Create FedPro-specific contract rows for message mapping error mapping and session behavior,FedPro rows trace every 2025-only service to a message request response callback or explicit unsupported marker,Protobuf schema tests route round-trip tests and error-mapping tests,fedpro,"service_group contains FedPro OR item contains protobuf"
HLA2025-VER-001,verification-matrix,Positive and negative conformance matrix,medium-high,add,2010 requirement-to-test matrix,2025 positive negative parser binding and migration checks,Generate a verification matrix from backlog rows to test anchors and unsupported-boundary anchors,Every high/very-high backlog row has at least one planned or implemented verification anchor,Backlog schema test and generated traceability matrix check,common+bindings,"all rows"
HLA2025-VER-002,verification-matrix,Migration and stale-reference checks,medium-high,add,2010 package namespace clause references,2025 package namespace clause references,Add checks that prevent stale 2010 namespaces clause numbers and XML names in native 2025 rows,Native 2025 rows do not accidentally cite legacy package WSDL or XML time-name tokens except in retired source fields,CSV lint tests over 2025 requirement files,common+bindings,"all 2025 requirement rows"
