row_id,surface,service_name,section_ref,service_group,implementation_component,implementation_status,verification_status,positive_evidence,negative_evidence,declared_exceptions,overload_count,languages,gaps,notes
RTI-1516-1-2010-0011,RTIambassador,changeInteractionOrderType,1516.1-2010 §8.24,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_changeInteractionOrderType,implemented-handler,scenario-smoke-evidence,,,FederateNotExecutionMember; InteractionClassNotDefined; InteractionClassNotPublished; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0012,RTIambassador,commitRegionModifications,1516.1-2010 §9.3,Data Distribution Management,hla2010.backends.python_rti.PythonRTIBackend._svc_commitRegionModifications,implemented-handler,executable-test-evidence,tests mention commit_region_modifications,,FederateNotExecutionMember; InvalidRegion; NotConnected; RTIinternalError; RegionNotCreatedByThisFederate; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0013,RTIambassador,confirmDivestiture,1516.1-2010 §7.6,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_confirmDivestiture,implemented-handler,handler-only-needs-test,,,AttributeDivestitureWasNotRequested; AttributeNotDefined; AttributeNotOwned; FederateNotExecutionMember; NoAcquisitionPending; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0014,RTIambassador,connect,1516.1-2010 §4.2,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_connect,implemented-handler,executable-test-evidence,tests mention connect,,AlreadyConnected; CallNotAllowedFromWithinCallback; ConnectionFailed; InvalidLocalSettingsDesignator; RTIinternalError; UnsupportedCallbackModel,3,cpp; java,,
RTI-1516-1-2010-0015,RTIambassador,createFederationExecution,1516.1-2010 §4.5,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_createFederationExecution,implemented-handler,executable-test-evidence,tests mention createFederationExecution; tests mention create_federation_execution,,CouldNotCreateLogicalTimeFactory; CouldNotOpenFDD; CouldNotOpenMIM; DesignatorIsHLAstandardMIM; ErrorReadingFDD; ErrorReadingMIM; FederationExecutionAlreadyExists; InconsistentFDD; NotConnected; RTIinternalError,7,cpp; java,,
RTI-1516-1-2010-0016,RTIambassador,createFederationExecutionWithMIM,1516.1-2010 §4.5,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_createFederationExecutionWithMIM,implemented-handler,executable-test-evidence,tests mention create_federation_execution_with_mim,,CouldNotCreateLogicalTimeFactory; CouldNotOpenFDD; CouldNotOpenMIM; DesignatorIsHLAstandardMIM; ErrorReadingFDD; ErrorReadingMIM; FederationExecutionAlreadyExists; InconsistentFDD; NotConnected; RTIinternalError,1,cpp,,
RTI-1516-1-2010-0017,RTIambassador,createRegion,1516.1-2010 §9.2,Data Distribution Management,hla2010.backends.python_rti.PythonRTIBackend._svc_createRegion,implemented-handler,executable-test-evidence,tests mention createRegion; tests mention create_region,,FederateNotExecutionMember; InvalidDimensionHandle; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0018,RTIambassador,decodeAttributeHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeAttributeHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0019,RTIambassador,decodeDimensionHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeDimensionHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0020,RTIambassador,decodeFederateHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeFederateHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0021,RTIambassador,decodeInteractionClassHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeInteractionClassHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0022,RTIambassador,decodeMessageRetractionHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeMessageRetractionHandle,implemented-handler,executable-test-evidence,tests mention decode_message_retraction_handle,,,1,cpp,,
RTI-1516-1-2010-0023,RTIambassador,decodeObjectClassHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeObjectClassHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0024,RTIambassador,decodeObjectInstanceHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeObjectInstanceHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0025,RTIambassador,decodeParameterHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeParameterHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0026,RTIambassador,decodeRegionHandle,1516.1-2010 §12.2,Programming Language Mappings,hla2010.backends.python_rti.PythonRTIBackend._svc_decodeRegionHandle,implemented-handler,handler-only-needs-test,,,,1,cpp,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0027,RTIambassador,deleteObjectInstance,1516.1-2010 §6.14,Object Management,hla2010.backends.python_rti.PythonRTIBackend._svc_deleteObjectInstance,implemented-handler,scenario-smoke-evidence,,,DeletePrivilegeNotHeld; FederateNotExecutionMember; InvalidLogicalTime; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,4,cpp; java,,
RTI-1516-1-2010-0028,RTIambassador,deleteRegion,1516.1-2010 §9.4,Data Distribution Management,hla2010.backends.python_rti.PythonRTIBackend._svc_deleteRegion,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; InvalidRegion; NotConnected; RTIinternalError; RegionInUseForUpdateOrSubscription; RegionNotCreatedByThisFederate; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0029,RTIambassador,destroyFederationExecution,1516.1-2010 §4.6,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_destroyFederationExecution,implemented-handler,executable-test-evidence,tests mention destroyFederationExecution; tests mention destroy_federation_execution,,FederatesCurrentlyJoined; FederationExecutionDoesNotExist; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0030,RTIambassador,disableAsynchronousDelivery,1516.1-2010 §8.15,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_disableAsynchronousDelivery,implemented-handler,scenario-smoke-evidence,,,AsynchronousDeliveryAlreadyDisabled; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0031,RTIambassador,disableAttributeRelevanceAdvisorySwitch,1516.1-2010 §10.36,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_disableAttributeRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention disable_attribute_relevance_advisory_switch,,AttributeRelevanceAdvisorySwitchIsOff; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0032,RTIambassador,disableAttributeScopeAdvisorySwitch,1516.1-2010 §10.38,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_disableAttributeScopeAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention disable_attribute_scope_advisory_switch,,AttributeScopeAdvisorySwitchIsOff; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0033,RTIambassador,disableCallbacks,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_disableCallbacks,implemented-handler,handler-only-needs-test,,,RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0034,RTIambassador,disableInteractionRelevanceAdvisorySwitch,1516.1-2010 §10.40,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_disableInteractionRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention disable_interaction_relevance_advisory_switch,,FederateNotExecutionMember; InteractionRelevanceAdvisorySwitchIsOff; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0035,RTIambassador,disableObjectClassRelevanceAdvisorySwitch,1516.1-2010 §10.34,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_disableObjectClassRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention disable_object_class_relevance_advisory_switch,,FederateNotExecutionMember; NotConnected; ObjectClassRelevanceAdvisorySwitchIsOff; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0036,RTIambassador,disableTimeConstrained,1516.1-2010 §8.7,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_disableTimeConstrained,implemented-handler,scenario-smoke-evidence,,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress; TimeConstrainedIsNotEnabled,2,cpp; java,,
RTI-1516-1-2010-0037,RTIambassador,disableTimeRegulation,1516.1-2010 §8.4,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_disableTimeRegulation,implemented-handler,scenario-smoke-evidence,,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress; TimeRegulationIsNotEnabled,2,cpp; java,,
RTI-1516-1-2010-0038,RTIambassador,disconnect,1516.1-2010 §4.3,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_disconnect,implemented-handler,executable-test-evidence,tests mention disconnect,,CallNotAllowedFromWithinCallback; FederateIsExecutionMember; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0039,RTIambassador,enableAsynchronousDelivery,1516.1-2010 §8.14,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_enableAsynchronousDelivery,implemented-handler,scenario-smoke-evidence,,,AsynchronousDeliveryAlreadyEnabled; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0040,RTIambassador,enableAttributeRelevanceAdvisorySwitch,1516.1-2010 §10.35,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_enableAttributeRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention enable_attribute_relevance_advisory_switch,,AttributeRelevanceAdvisorySwitchIsOn; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0041,RTIambassador,enableAttributeScopeAdvisorySwitch,1516.1-2010 §10.37,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_enableAttributeScopeAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention enable_attribute_scope_advisory_switch,,AttributeScopeAdvisorySwitchIsOn; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0042,RTIambassador,enableCallbacks,1516.1-2010 §10.43,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_enableCallbacks,implemented-handler,handler-only-needs-test,,,RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0043,RTIambassador,enableInteractionRelevanceAdvisorySwitch,1516.1-2010 §10.39,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_enableInteractionRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention enable_interaction_relevance_advisory_switch,,FederateNotExecutionMember; InteractionRelevanceAdvisorySwitchIsOn; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0044,RTIambassador,enableObjectClassRelevanceAdvisorySwitch,1516.1-2010 §10.33,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_enableObjectClassRelevanceAdvisorySwitch,implemented-handler,executable-test-evidence,tests mention enable_object_class_relevance_advisory_switch,,FederateNotExecutionMember; NotConnected; ObjectClassRelevanceAdvisorySwitchIsOn; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0045,RTIambassador,enableTimeConstrained,1516.1-2010 §8.5,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_enableTimeConstrained,implemented-handler,executable-test-evidence,tests mention enableTimeConstrained; tests mention enable_time_constrained,,FederateNotExecutionMember; InTimeAdvancingState; NotConnected; RTIinternalError; RequestForTimeConstrainedPending; RestoreInProgress; SaveInProgress; TimeConstrainedAlreadyEnabled,2,cpp; java,,
RTI-1516-1-2010-0046,RTIambassador,enableTimeRegulation,1516.1-2010 §8.2,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_enableTimeRegulation,implemented-handler,executable-test-evidence,tests mention enable_time_regulation,,FederateNotExecutionMember; InTimeAdvancingState; InvalidLookahead; NotConnected; RTIinternalError; RequestForTimeRegulationPending; RestoreInProgress; SaveInProgress; TimeRegulationAlreadyEnabled,2,cpp; java,,
RTI-1516-1-2010-0047,RTIambassador,evokeCallback,1516.1-2010 §10.41,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_evokeCallback,implemented-handler,handler-only-needs-test,,,CallNotAllowedFromWithinCallback; RTIinternalError,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0048,RTIambassador,evokeMultipleCallbacks,1516.1-2010 §10.42,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_evokeMultipleCallbacks,implemented-handler,executable-test-evidence,tests mention evoke_multiple_callbacks,,CallNotAllowedFromWithinCallback; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0049,RTIambassador,federateRestoreComplete,1516.1-2010 §4.28,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_federateRestoreComplete,implemented-handler,executable-test-evidence,tests mention federate_restore_complete,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreNotRequested; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0050,RTIambassador,federateRestoreNotComplete,1516.1-2010 §4.28,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_federateRestoreNotComplete,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreNotRequested; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0051,RTIambassador,federateSaveBegun,1516.1-2010 §4.18,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_federateSaveBegun,implemented-handler,executable-test-evidence,tests mention federate_save_begun,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress; SaveNotInitiated,2,cpp; java,,
RTI-1516-1-2010-0052,RTIambassador,federateSaveComplete,1516.1-2010 §4.19,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_federateSaveComplete,implemented-handler,executable-test-evidence,tests mention federate_save_complete,,FederateHasNotBegunSave; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress,2,cpp; java,,
RTI-1516-1-2010-0053,RTIambassador,federateSaveNotComplete,1516.1-2010 §4.19,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_federateSaveNotComplete,implemented-handler,handler-only-needs-test,,,FederateHasNotBegunSave; FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0054,RTIambassador,flushQueueRequest,1516.1-2010 §8.12,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_flushQueueRequest,implemented-handler,scenario-smoke-evidence,,,FederateNotExecutionMember; InTimeAdvancingState; InvalidLogicalTime; LogicalTimeAlreadyPassed; NotConnected; RTIinternalError; RequestForTimeConstrainedPending; RequestForTimeRegulationPending; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0055,RTIambassador,getAttributeHandle,1516.1-2010 §10.11,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeHandle,implemented-handler,executable-test-evidence,tests mention get_attribute_handle,,FederateNotExecutionMember; InvalidObjectClassHandle; NameNotFound; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0056,RTIambassador,getAttributeHandleFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeHandleFactory,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected,1,java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0057,RTIambassador,getAttributeHandleSetFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeHandleSetFactory,implemented-handler,executable-test-evidence,tests mention get_attribute_handle_set_factory,,FederateNotExecutionMember; NotConnected,1,java,,
RTI-1516-1-2010-0058,RTIambassador,getAttributeHandleValueMapFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeHandleValueMapFactory,implemented-handler,executable-test-evidence,tests mention get_attribute_handle_value_map_factory,,FederateNotExecutionMember; NotConnected,1,java,,
RTI-1516-1-2010-0059,RTIambassador,getAttributeName,1516.1-2010 §10.12,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeName,implemented-handler,executable-test-evidence,tests mention get_attribute_name,,AttributeNotDefined; FederateNotExecutionMember; InvalidAttributeHandle; InvalidObjectClassHandle; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0060,RTIambassador,getAttributeSetRegionSetPairListFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAttributeSetRegionSetPairListFactory,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected,1,java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0061,RTIambassador,getAutomaticResignDirective,1516.1-2010 §10.2,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAutomaticResignDirective,implemented-handler,executable-test-evidence,tests mention get_automatic_resign_directive,,FederateNotExecutionMember; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0062,RTIambassador,getAvailableDimensionsForClassAttribute,1516.1-2010 §10.23,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAvailableDimensionsForClassAttribute,implemented-handler,executable-test-evidence,tests mention get_available_dimensions_for_class_attribute,,AttributeNotDefined; FederateNotExecutionMember; InvalidAttributeHandle; InvalidObjectClassHandle; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0063,RTIambassador,getAvailableDimensionsForInteractionClass,1516.1-2010 §10.24,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getAvailableDimensionsForInteractionClass,implemented-handler,executable-test-evidence,tests mention get_available_dimensions_for_interaction_class,,FederateNotExecutionMember; InvalidInteractionClassHandle; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0064,RTIambassador,getDimensionHandle,1516.1-2010 §10.25,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionHandle,implemented-handler,executable-test-evidence,tests mention get_dimension_handle,,FederateNotExecutionMember; NameNotFound; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0065,RTIambassador,getDimensionHandleFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionHandleFactory,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected,1,java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0066,RTIambassador,getDimensionHandleSet,1516.1-2010 §10.28,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionHandleSet,implemented-handler,executable-test-evidence,tests mention get_dimension_handle_set,,FederateNotExecutionMember; InvalidRegion; NotConnected; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0067,RTIambassador,getDimensionHandleSetFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionHandleSetFactory,implemented-handler,executable-test-evidence,tests mention get_dimension_handle_set_factory,,FederateNotExecutionMember; NotConnected,1,java,,
RTI-1516-1-2010-0068,RTIambassador,getDimensionName,1516.1-2010 §10.26,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionName,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; InvalidDimensionHandle; NotConnected; RTIinternalError,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0069,RTIambassador,getDimensionUpperBound,1516.1-2010 §10.27,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getDimensionUpperBound,implemented-handler,executable-test-evidence,tests mention get_dimension_upper_bound,,FederateNotExecutionMember; InvalidDimensionHandle; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0070,RTIambassador,getFederateHandle,1516.1-2010 §10.4,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getFederateHandle,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NameNotFound; NotConnected; RTIinternalError,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0071,RTIambassador,getFederateHandleFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getFederateHandleFactory,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected,1,java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0072,RTIambassador,getFederateHandleSetFactory,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getFederateHandleSetFactory,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected,1,java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0073,RTIambassador,getFederateName,1516.1-2010 §10.5,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getFederateName,implemented-handler,executable-test-evidence,tests mention getFederateName,,FederateHandleNotKnown; FederateNotExecutionMember; InvalidFederateHandle; NotConnected; RTIinternalError,2,cpp; java,,
RTI-1516-1-2010-0074,RTIambassador,getHLAversion,1516.1-2010 §10.44,Support Services,hla2010.backends.python_rti.PythonRTIBackend._svc_getHLAversion,implemented-handler,executable-test-evidence,tests mention getHLAversion,,,1,java,,
