category,path_or_owner,name,parent_path,data_type,update_type,ownership,sharing,transportation,order,dimensions,semantics
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAtimeRegulating,,HLAboolean,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Whether the joined federate influences the time advancement of other joined federates
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAasynchronousDelivery,,HLAboolean,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"Whether the RTI shall deliver RO messages to the joined federate while the joined
                     federate's time manager state is not ""Time Advancing"" (only matters if the joined federate is
                     time-constrained)."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederateState,,HLAfederateState,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"State of the joined federate. The MOM may, but is not required to, update any
                     HLAfederateState instance attribute values during the interval after the last federate in the
                     federation execution invokes the Federate Restore Complete service but before the last Federation
                     Restored † callback is invoked at some federate for a given federation restoration."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAtimeManagerState,,HLAtimeState,Conditional,NoTransfer,Publish,HLAreliable,Receive,,State of the joined federate's time manager
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAlogicalTime,,HLAlogicalTime,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Joined federate's logical time. Initial value of this information is initial value of
                     federation time of the Time Representation Abstract Data Type (TRADT)."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAlookahead,,HLAtimeInterval,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Minimum duration into the future that a TSO message will be scheduled. The value shall not
                     be defined if the joined federate is not time-regulating)"
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAGALT,,HLAlogicalTime,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Joined federate's Greatest Available Logical Time (GALT). The value shall not be defined if
                     GALT is not defined for the joined federate."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLALITS,,HLAlogicalTime,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Joined federate's Least Incoming Time Stamp (LITS). The value shall not be defined if LITS
                     is not defined for the joined federate."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAROlength,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,Number of RO messages queued for delivery to the joined federate.
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLATSOlength,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,Number of TSO messages queued for delivery to the joined federate
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAreflectionsReceived,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of times the Reflect Attribute Values † service has been invoked at the joined
                     federate (as opposed to the number of instance attribute value reflections that have been received
                     at the joined federate)."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAupdatesSent,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of updates sent by the joined federate"" in XML and ""Total number of times the
                     Update Attribute Values † service has successfully been invoked by the joined federate (as opposed
                     to the number of instance attribute values that have been updated by the joined federate)."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAinteractionsReceived,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,Total number of interactions received by the joined federate.
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAinteractionsSent,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of interactions sent by the joined federate. This information shall reflect
                     related DDM usage."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesThatCanBeDeleted,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of object instances whose HLAprivilegeToDeleteObject attribute is owned by the
                     joined federate"
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesUpdated,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of object instances for which the joined federate has invoked the Update
                     Attribute Values service."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesReflected,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of object instances for which the joined federate has had a Reflect Attribute
                     Values service invocation."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesDeleted,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of times the Delete Object Instance service was invoked by the joined federate
                     since the federate joined the federation"
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesRemoved,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of times the Remove Object Instance service was invoked for the joined
                     federate since the federate joined the federation."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesRegistered,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of times the Register Object Instance or Register Object Instance with Region
                     service were invoked by the joined federate since the federate joined the federation."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAobjectInstancesDiscovered,,HLAcount,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Total number of times the Discover Object Instance † service was invoked for the joined
                     federate since the federate joined the federation.The value of the HLAobjectInstancesDiscovered
                     attribute shall include multiple invocations of the Discover Object Instance † service for a given
                     object instance that may occur as a result of invocation of the Local Delete Object Instance
                     service at a federate."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAtimeGrantedTime,,HLAmsec,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Wall clock time duration that the federate has spent in the Time Granted state since the
                     last update of this attribute. When the HLAtimeGrantedTime and the HLAtimeAdvancingTime attributes
                     are initially updated, their values shall be the wall-clock time duration that the federate has
                     spent in the state since the federate has been joined to the federation execution."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAtimeAdvancingTime,,HLAmsec,Periodic,NoTransfer,Publish,HLAreliable,Receive,,"Wall clock time duration that the federate has spent in the Time Advancing state since the
                     last update of this attribute. When the HLAtimeGrantedTime and the HLAtimeAdvancingTime attributes
                     are initially updated, their values shall be the wall-clock time duration that the federate has
                     spent in the state since the federate has been joined to the federation execution."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAconveyRegionDesignatorSets,,HLAswitch,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"Value of joined federate's Convey Region Designator Sets Switch. Updated when value of
                     switch changes"
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAconveyProducingFederate,,HLAswitch,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"Value of joined federate's Convey Producing Federate Switch. Updated when value of switch
                     changes"
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAfederationName,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Name of the federation to which the joined federate belongs
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAfederatesInFederation,,HLAhandleList,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Identifiers of joined federates that are joined to the federation
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLARTIversion,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Version of the RTI software
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAMIMdesignator,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,"Designator associated with the MIM specified in the Create Federation Execution service
                     invocation. In case the RTI has supplied the standard MIM, the designator shall be
                     “HLAstandardMIM”."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAFOMmoduleDesignatorList,,HLAmoduleDesignatorList,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"FOM Module designators for the federation as specified in the Create Federation Execution
                     service and Join Federation Execution invocations. If several identical FOM modules are provided
                     only the designator for the first of these FOM modules shall be added to the list."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAcurrentFDD,,HLAunicodeString,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"The Current FDD realized as a result of antecedent successful Create Federation Execution
                     and Join Federation Execution service invocations."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAtimeImplementationName,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,"Name of the time implementation as supplied to the Create Federation Execution service when
                     the federation was created."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAlastSaveName,,HLAunicodeString,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Name associated with the last federation state save (null if no saves have occurred)
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAlastSaveTime,,HLAlogicalTime,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"Logical time at which the last federation state save occurred. If the last save was not a
                     timed save, then the HLAlastSaveTime attribute value shall be an empty (zero-length) HLAlogicalTime
                     array to indicate that the value of the HLAlastSaveTime attribute is undefined. If no timed saves
                     have occurred the value shall be an empty (zero-length) HLAlogicalTime array."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAnextSaveName,,HLAunicodeString,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Name associated with the next federation state save (null if no saves are scheduled)
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAnextSaveTime,,HLAlogicalTime,Conditional,NoTransfer,Publish,HLAreliable,Receive,,"Logical time at which the next federation state timed save is scheduled. If no timed saves
                     are scheduled the value shall be an empty (zero-length) HLAlogicalTime array."
attribute,HLAobjectRoot.HLAmanager.HLAfederation,HLAautoProvide,,HLAswitch,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Value of federation-wide Auto-Provide Switch. Updated when value of switch changes
interactionClass,HLAinteractionRoot,HLAinteractionRoot,,,,,Neither,HLAreliable,TimeStamp,,
interactionClass,HLAinteractionRoot.HLAmanager,HLAmanager,HLAinteractionRoot,,,,Neither,HLAreliable,Receive,,Root class of MOM interactions
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate,HLAfederate,HLAinteractionRoot.HLAmanager,,,,Neither,HLAreliable,Receive,,Root class of MOM interactions that deal with a specific joined federate
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,HLAadjust,HLAinteractionRoot.HLAmanager.HLAfederate,,,,Neither,HLAreliable,Receive,,"Permit a joined federate to adjust the RTI statevariables associated with another joined
                     federate"
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,HLAsetTiming,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,,,,Subscribe,HLAreliable,Receive,,"Adjust the time period between updates of the HLAmanager.HLAfederate object instance for
                        the specified joined federate. If this interaction is never sent, the RTI shall not perform
                        periodic updates"
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,HLAmodifyAttributeState,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,,,,Subscribe,HLAreliable,Receive,,"Modify the ownership state of an attribute of an object instance for the specified
                        joined federate. If the interaction is used to give ownership of the instance attribute to the
                        specified joined federate and another joined federate currently owns the instance attribute, the
                        owning joined federate shall be divested of ownership of the instance attribute before ownership
                        is granted to the specified joined federate. No notification of change of ownership of the
                        instance attribute shall be provided to either joined federate. In order for ownership of the
                        instance attribute to be granted to the specified joined federate, the following conditions
                        shall be true: - The specified joined federate knows about the object instance. - The specified
                        joined federate is publishing the corresponding class attribute at the known class of the
                        specified object instance at that joined federate. - The specified instance attribute is not
                        owned by the RTI (i.e., it is not a predefined attribute of a MOM object class). If one or more
                        of the above conditions are not met, then the interaction shall have no effect and an error
                        shall be reported via an interaction of class HLAmanager. HLAfederate.HLAreport.
                        HLAreportMOMexception."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,HLAsetServiceReporting,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,,,,Subscribe,HLAreliable,Receive,,"Specify whether to report service invocations to or from the specified joined federate
                        via HLAmanager.HLAfederate.HLAreport.HLAreportServiceInvocation interactions (enable or disable
                        Service-Reporting). If the specified joined federate is subscribed to the
                        HLAmanager.HLAfederate.HLAreport.HLAreportServiceInvocation interaction, all attempts to enable
                        service reporting for that joined federate by sending an
                        HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting interaction with an HLAreportingState
                        parameter value of HLAtrue shall fail and be reported via the normal MOM interaction failure
                        means."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,HLAsetExceptionReporting,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,,,,Subscribe,HLAreliable,Receive,,"Specify whether the RTI shall report service invocation exceptions via
                        HLAmanager.HLAfederate.HLAreport. HLAreportException interactions"
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,HLAsetSwitches,HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust,,,,Subscribe,HLAreliable,Receive,,"Set the values of joined federate specific switches. A joined federate may send
                        individual declared parameters of this subclass."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,HLArequest,HLAinteractionRoot.HLAmanager.HLAfederate,,,,Neither,HLAreliable,Receive,,Permit a federate to request RTI data about another federate
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestPublications,HLArequestPublications,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send report interactions that contain the publication data of a
                        joined federate. It shall result in one interaction of class HLAmanager. HLAfederate.HLAreport.
                        HLAreportInteractionPublication and one interaction of class HLAmanager.HLAfederate.
                        HLAreport.HLAreportObjectClassPublication for each object class published. If the joined
                        federate is published to no object classes then one of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportObjectClassPublication shall be sent as a NULL
                        response with the HLAobjectClassCount parameter having a value of 0."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions,HLArequestSubscriptions,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send report interactions that contain the subscription data of a
                        joined federate. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportInteractionSubscription and one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportObjectClassSubscription for each different combination
                        of (object class, passive subscription indicator) values that are subscribed. If the joined
                        federate is subscribed to no object classes, then one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportObjectClassSubscription shell be sent as a NULL
                        response with the HLAobjectClassCount parameter having a value of 0."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesThatCanBeDeleted,HLArequestObjectInstancesThatCanBeDeleted,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the object instances that
                        can be deleted at a joined federate. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesThatCanBeDeleted."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesUpdated,HLArequestObjectInstancesUpdated,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the object instance
                        updating responsibility of a joined federate. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesUpdated."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected,HLArequestObjectInstancesReflected,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the object instances for
                        which a joined federate has had a Reflect Attribute Values service invocation. It shall result
                        in one interaction ofclass HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesReflected."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent,HLArequestUpdatesSent,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the number of updates that
                        a joined federate has generated. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportUpdatesSent for each transportation type."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsSent,HLArequestInteractionsSent,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the number of interactions
                        that a joined federate has generated. This count shall include interactions sent with region. It
                        shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportInteractionsSent for each transportation type."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived,HLArequestReflectionsReceived,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the number of reflections
                        that a joined federate has received. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportReflectionsReceived for each transportation type."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsReceived,HLArequestInteractionsReceived,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the number of interactions
                        that a joined federate has received. It shall result in one interaction of class
                        HLAmanager.HLAfederate.HLAreport.HLAreportInteractionsReceived for each transportation type."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,HLArequestObjectInstanceInformation,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Request that the RTI send a report interaction that contains the information that a
                        joined federate maintains on a single object instance. It shall result in one interaction of
                        class HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstanceInformation"
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,HLArequestFOMmoduleData,HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest,,,,Subscribe,HLAreliable,Receive,,"Requests that the RTI shall send a report interaction with the content of the specified
                        FOM module that was specified by the federate. The FOM module is indicated by the order number
                        in the federates HLAFOMmoduleDesignatorList attribute."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,HLAreport,HLAinteractionRoot.HLAmanager.HLAfederate,,,,Neither,HLAreliable,Receive,,"Report RTI data about a joined federate. The RTI shall send these interactions in response
                     to interactions of class HLAmanager.HLAfederate.HLArequest that correspond to services that are
                     normally invoked by federates."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportObjectClassPublication,HLAreportObjectClassPublication,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestPublications. It shall report the attributes of one
                        object class published by the joined federate. One of these interactions shall be sent for each
                        object class containing attributes that are published by the joined federate. If the joined
                        federate is published to no object classes then a single interaction shall be sent as a NULL
                        response with the HLAobjectClassCount parameter having a value of 0."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportInteractionPublication,HLAreportInteractionPublication,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestPublications. It shall report the interaction
                        classes published by the joined federate. If the joined federate is published to no interaction
                        classes, then a single interaction shall be sent as a NULL response with the
                        HLAinteractionClassList parameter having an undefined value (i.e. 0 length array)."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportObjectClassSubscription,HLAreportObjectClassSubscription,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions. It shall report the attributes of one
                        object class subscribed to by the joined federate. One of these interactions shall be sent for
                        each object class that is subscribed by the joined federate. This information shall reflect
                        related DDM usage. If joined federate has no subscribed object classes, then a single
                        interaction shall be sent as a NULL response with the HLAnumberOfClasses parameter having a
                        value of 0."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportInteractionSubscription,HLAreportInteractionSubscription,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions. It shall report the interaction
                        classes subscribed to by the joined federate. This information shall reflect related DDM usage.
                        If the joined federate has no subscribed interaction classes, then a single interaction shall be
                        sent as a NULL response with the HLAinteractionClassList parameter having an undefined value."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesThatCanBeDeleted,HLAreportObjectInstancesThatCanBeDeleted,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestObject InstancesThatCanBeDeleted. It shall report
                        the number of object instances (by registered class of the object instances) whose
                        HLAprivilegeToDeleteObject attributes are owned by the joined federate."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesUpdated,HLAreportObjectInstancesUpdated,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancessUpdated. It shall report the number
                        of object instances (by registered class of the object instances) for which the joined federate
                        has successfully invoked the Update Attribute Values service. If the joined federate has no
                        object instances that are updated for a given transport type then a single interaction shall be
                        sent as a NULL response with the HLAobjectInstanceCounts parameter having an undefined value."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportObjectInstancesReflected,HLAreportObjectInstancesReflected,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected. It shall report the number
                        of object instances (by registered class of the object instances) for which the joined federate
                        has had a Reflect Attribute Values service invocation. If the joined federate has no object
                        instances that are reflected for a given transport type, then a single interaction shall be sent
                        as a NULL response with the HLAobjectInstanceCounts parameter having an undefined value."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportUpdatesSent,HLAreportUpdatesSent,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent. It shall report the number of updates
                        sent (by registered class of the object instances of the updates) by the joined federate since
                        the beginning of the federation execution. One interaction of this class shall be sent by the
                        RTI for each transportation type used. If the joined federate has no updates sent for a given
                        transportation type, then a single interaction shall be sent as a NULL response with the
                        HLAupdateCounts parameter having an undefined value."
interactionClass,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport.HLAreportReflectionsReceived,HLAreportReflectionsReceived,HLAinteractionRoot.HLAmanager.HLAfederate.HLAreport,,,,Publish,HLAreliable,Receive,,"The interaction shall be sent by the RTI in response to an interaction of class
                        HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived. It shall report the number of
                        reflections received (by registered class of the object instances of the reflects) by the joined
                        federate since the beginning of the federation execution. One interaction of this class shall be
                        sent by the RTI for each transportation type used. If the joined federate has no reflections
                        received for a given transportation type, then a single interaction shall be sent as a NULL
                        response with the HLAreflectCounts parameter having an undefined value."
